threads,pinned_cpus,full_fps,full_p50_ms,full_p95_ms,front_fps,front_p50_ms,front_p95_ms,back_fps,back_p50_ms,speedup_front_vs_full,full_meets_10fps,full_meets_20fps,full_meets_30fps,front_meets_10fps,front_meets_20fps,front_meets_30fps
1,1,5.489,182.022,184.202,15.679,63.459,66.125,8.464,118.072,2.857,False,False,False,True,False,False
2,2,9.963,100.265,101.524,25.905,38.598,39.166,16.241,61.475,2.6,False,False,False,True,True,False
4,4,17.786,56.172,56.869,44.318,22.522,23.122,30.03,33.265,2.492,True,False,False,True,True,True
8,8,29.494,33.781,34.532,65.187,15.313,15.684,52.518,19.005,2.21,True,True,False,True,True,True
16,16,29.886,33.397,34.718,58.58,17.035,17.375,61.722,16.186,1.96,True,True,False,True,True,True
24,24,4.339,30.237,1945.261,3.5,16.292,1699.034,4.366,251.935,0.807,False,False,False,False,False,False
