scenario,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,selected_matched_true_safe_pct,false_admit_selected_pct,false_admit_selected_matched_pct,false_reject_frame_pct,mean_bound_m,p95_true_risk_m,p95_matched_true_risk_m,mean_reward,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,attempts,capture_attempt_pct,delivery_pct_attempted,c1_estimate_miss_count,c1_estimate_miss_pct_attempted,truth_objects,observed_objects,unobserved_gt_objects,observation_coverage_pct
ALL_REAL_REPLAY,clairvoyant,1699,51.03001765744556,48.96998234255444,12.536786344908771,39.199529134785166,0.0,60.80047086521483,71.33608004708653,0.0,0.0,0.0,3.068601852282879,11.641087593242249,9.471590000136295,0.4662304337051009,0.1390601231489592,0.0,0.0,329,19.364331959976457,100.0,0,0.0,3185,1439,1746,45.18053375196232
ALL_REAL_REPLAY,shielded,1699,6.121247792819305,93.8787522071807,4.414361389052384,56.73925838728664,0.0,47.20423778693349,68.98175397292525,11.830488522660389,0.0,8.769864626250735,8.096267464326269,1000000.0,12.0526813432912,0.3164810551795421,0.02904529130070335,0.0070182638441575575,28.66391995291348,82,4.826368452030606,98.78048780487805,1,1.2195121951219512,3185,1439,1746,45.18053375196232
ctrl_busylight_200k,clairvoyant,600,78.33333333333333,21.666666666666668,15.833333333333332,30.5,0.0,69.5,85.0,0.0,0.0,0.0,2.4393063086617133,9.303570344232268,3.277261734499117,0.61123776936686,0.20871606650805208,0.0,0.0,155,25.833333333333336,100.0,0,0.0,1590,466,1124,29.30817610062893
ctrl_busylight_200k,shielded,600,6.333333333333334,93.66666666666667,4.0,58.333333333333336,0.0,51.16666666666667,81.33333333333333,20.5,0.0,9.0,10.144809744552148,1000000.0,6.312689914455504,0.3025904742734921,0.03156142029960686,0.0072500919493295275,44.166666666666664,24,4.0,95.83333333333334,1,4.166666666666666,1590,466,1124,29.30817610062893
ctrl_obeylight_200k,clairvoyant,600,43.833333333333336,56.166666666666664,12.5,53.666666666666664,0.0,46.33333333333333,53.5,0.0,0.0,0.0,4.735435440182206,19.084079311102858,19.084079311102858,0.538507188198626,0.13537463680189157,0.0,0.0,115,19.166666666666668,100.0,0,0.0,1355,808,547,59.6309963099631
ctrl_obeylight_200k,shielded,600,7.166666666666667,92.83333333333333,5.5,79.83333333333333,0.0,27.166666666666668,51.5,5.833333333333333,0.0,15.833333333333332,11.240922678852439,1000000.0,19.084079311102858,0.4516229908030042,0.0328605447714898,0.009240103319038366,31.166666666666664,37,6.166666666666667,100.0,0,0.0,1355,808,547,59.6309963099631
oppwin_fast_test,clairvoyant,499,26.853707414829657,73.14629258517033,8.617234468937877,32.26452905811623,0.0,67.73547094188376,76.35270541082164,0.0,0.0,0.0,1.8210611176798799,8.889271428902282,5.906921314543973,0.20496699864864726,0.05973692834492085,0.0,0.0,59,11.823647294589177,100.0,0,0.0,240,165,75,68.75
oppwin_fast_test,shielded,499,4.609218436873747,95.39078156312625,3.6072144288577155,27.054108216432866,0.0,66.53306613226452,75.1503006012024,8.617234468937877,0.0,0.0,1.8519418193338244,1000000.0,6.783368315865538,0.17068784309447735,0.021432406567609204,0.004873259278730007,7.014028056112225,21,4.208416833667335,100.0,0,0.0,240,165,75,68.75
