guardrail_variant,frames,vulnerable_opportunity_frames,low_confidence_opportunity_frames,mean_matched_reward_finite,mean_offered_mbps,mean_payload_kib_selected,split_pct,shield_feasible_pct,matched_safe_pct,skip_on_observed_vulnerable_count,roi_drop_on_low_confidence_vulnerable_count,guardrail_applied_frames,guardrail_unachievable_frames
disabled,2638,567,312,0.19654539648592526,0.15519461410159213,3.0589840788476117,3.980288097043214,72.51705837755875,91.12964366944655,535,17,0,0
enabled_conf_0.20,2638,567,110,0.14769548182099854,1.1930632539802881,23.685595147839276,29.378316906747536,85.89840788476118,92.7975739196361,0,0,567,0
enabled_conf_0.30_primary,2638,567,312,0.14886848794861993,1.254618153146323,24.96300227445034,29.378316906747536,85.82259287338894,92.75966641394996,0,0,567,0
enabled_conf_0.40,2638,567,364,0.15010729128577646,1.2569347687642154,25.54783927217589,29.378316906747536,85.70887035633056,92.83548142532221,0,0,567,0
