run_group,iface,iface_label,samples,duration_s,avg_tx_mbps,p95_tx_mbps,max_tx_mbps,avg_rx_mbps,p95_rx_mbps,max_rx_mbps,tx_bytes_delta,rx_bytes_delta,tx_packets_delta,rx_packets_delta,tx_drops_delta,rx_drops_delta,tx_errors_delta,rx_errors_delta,ping_attempts,ping_success_rate,avg_ping_rtt_ms,p95_ping_rtt_ms
CAL_A,oaitun_ue1,ue0,51,50.0001,4.11985,6.65146,9.96628,0.000276511,0,0.0138256,25749344,1728,17360,3,0,0,0,0,0,,,
CAL_A,oaitun_ue2,ue1,51,50.0001,4.11998,6.65146,9.97538,0.000368662,0,0.00921705,25749344,2304,17360,4,0,0,0,0,0,,,
