world_tick_frame,radar_frame,local_condition_frame,walker_physics,radar_pps,target_distance_m,walker_actor_id,total_radar_points,person_radius_points,person_bbox_points,depth_window_points,nearest_depth_m,mean_person_radius_depth_m,mean_person_radius_velocity_mps,walker_world_x,walker_world_y,walker_world_z,walker_radar_x_m,walker_radar_y_m,walker_radar_z_m,walker_camera_u,walker_camera_v,walker_camera_depth_m,walker_camera_visible
8641,8640,0,default,48000,20.0,30,4774,9,12,280,0.0001316070556640625,21.26309331258138,-0.052159195558892354,79.22574615478516,20.41878318786621,1.0862798690795898,20.035943030612167,-7.985350413538386,0.18436575857988036,492.7336452083648,356.599914617595,20.035943030612167,1
8642,8641,1,default,48000,20.0,30,4774,13,17,325,0.0048122406005859375,21.451522827148438,-0.053891898634342045,79.22570037841797,20.43343162536621,1.0862798690795898,20.035937967843743,-7.970701905600043,0.18436540455663764,493.00375680654156,356.59992028736804,20.035937967843743,1
8643,8642,2,default,48000,20.0,30,4774,4,6,313,0.0013065338134765625,21.376633167266846,-0.05405780393630266,79.22566223144531,20.44808006286621,1.0862798690795898,20.03594051585568,-7.956053418860169,0.18436558273098402,493.2739238851416,356.5999174338598,20.03594051585568,1
8644,8643,3,default,48000,20.0,30,4772,6,8,325,0.0037059783935546875,21.382056554158527,-0.05393443567057451,79.22562408447266,20.46272850036621,1.0862798690795898,20.035943063867613,-7.941404932120294,0.1843657609053304,493.5440908950263,356.59991458035233,20.035943063867613,1
8645,8644,4,default,48000,20.0,30,4773,5,8,307,0.0016803741455078125,21.433818435668947,-0.053700903058052064,79.22557830810547,20.477375030517578,1.0862798690795898,20.035937995812482,-7.926758331523194,0.18436540651240474,493.814167483648,356.5999202560459,20.035937995812482,1
8646,8645,5,default,48000,20.0,30,4768,5,7,300,0.0014514923095703125,21.38950996398926,-0.053715511411428454,79.22554016113281,20.492023468017578,1.0862798690795898,20.035940543824417,-7.91210984478332,0.18436558468675113,494.0843344588094,356.5999174025377,20.035940543824417,1
8647,8646,6,default,48000,20.0,30,4765,10,16,308,0.0025539398193359375,21.37408313751221,-0.05368376821279526,79.22550201416016,20.506671905517578,1.0862798690795898,20.03594309183635,-7.897461358043445,0.18436576286109752,494.3545013652554,356.5999145490302,20.03594309183635,1
8648,8647,7,default,48000,20.0,30,4775,9,11,316,0.003276824951171875,21.324472851223415,-0.05372788053419855,79.22545623779297,20.521320343017578,1.0862798690795898,20.03593802906793,-7.882812850105102,0.1843654088378548,494.62461337217167,356.59992021880316,20.03593802906793,1
8649,8648,8,default,48000,20.0,30,4778,6,10,322,0.000316619873046875,21.29989465077718,-0.05394429092605909,79.22541809082031,20.535968780517578,1.0862798690795898,20.035940577079863,-7.868164363365228,0.18436558701220118,494.89478024381856,356.59991736529497,20.035940577079863,1
8650,8649,9,default,48000,20.0,30,4773,10,11,328,0.0006313323974609375,21.35017032623291,-0.053385908156633376,79.22537994384766,20.550617218017578,1.0862798690795898,20.035943125091798,-7.853515876625353,0.18436576518654757,495.16494704675006,356.5999145117875,20.035943125091798,1
8651,8650,10,default,48000,20.0,30,4777,8,9,310,7.05718994140625e-05,21.38894557952881,-0.05342041980475187,79.22533416748047,20.565265655517578,1.0862798690795898,20.035938062323375,-7.83886736868701,0.18436541116330485,495.435059258005,356.5999201815605,20.035938062323375,1
8652,8651,11,default,48000,20.0,30,4770,11,12,321,0.0034122467041015625,21.368779095736418,-0.05284469811753793,79.22529602050781,20.579914093017578,1.0862798690795898,20.03594061033531,-7.824218881947136,0.18436558933765124,495.7052260261373,356.5999173280523,20.03594061033531,1
8653,8652,12,default,48000,20.0,30,4763,5,8,321,0.00014495849609375,21.392198944091795,-0.0533014677464962,79.22525787353516,20.594562530517578,1.0862798690795898,20.035943158347244,-7.8095703952072615,0.18436576751199762,495.9753927255544,356.59991447454485,20.035943158347244,1
8654,8653,13,default,48000,20.0,30,4775,14,19,315,0.00069427490234375,21.337084906441824,-0.05291661966059889,79.22521209716797,20.609210968017578,1.0862798690795898,20.03593809557882,-7.794921887268918,0.1843654134887549,496.245505141148,356.5999201443178,20.03593809557882,1
8655,8654,14,default,48000,20.0,30,4777,8,10,333,0.0003948211669921875,21.258551120758057,-0.05290032224729657,79.22517395019531,20.623859405517578,1.0862798690795898,20.035940643590756,-7.780273400529044,0.1843655916631013,496.51567180576586,356.5999172908096,20.035940643590756,1
8656,8655,15,default,48000,20.0,30,4770,8,9,314,0.0025119781494140625,21.27871537208557,-0.053151164669543505,79.22513580322266,20.638507843017578,1.0862798690795898,20.03594319160269,-7.7656249137891695,0.18436576983744768,496.7858384016684,356.5999144373022,20.03594319160269,1
8657,8656,16,default,48000,20.0,30,4777,8,12,301,0.001186370849609375,21.298256397247314,-0.052709412295371294,79.22509002685547,20.653156280517578,1.0862798690795898,20.035938128834268,-7.750976405850826,0.18436541581420496,497.05595102160066,356.5999201070751,20.035938128834268,1
8658,8657,17,default,48000,20.0,30,4777,8,9,322,0.003765106201171875,21.326218843460083,-0.052726094145327806,79.22505187988281,20.667804718017578,1.0862798690795898,20.035940676846202,-7.736327919110952,0.18436559398855135,497.326117582704,356.59991725356696,20.035940676846202,1
8659,8658,18,default,48000,20.0,30,4772,9,14,315,0.0018024444580078125,21.268840789794922,-0.05279810850818952,79.22501373291016,20.682453155517578,1.0862798690795898,20.035943224858137,-7.721679432371078,0.18436577216289773,497.59628407509206,356.5999144000595,20.035943224858137,1
