phase,trial_order,desired_achieved_pusch_snr_db,commanded_noise_power_db,repetitions,clean_attach_first,settle_duration_s,service_duration_s,status
N3A_SUSTAIN_SCREEN,0,6.0,,1,True,10.0,60.0,BLOCKED_PENDING_TARGET_TO_COMMAND_CALIBRATION
N3A_SUSTAIN_SCREEN,1,4.0,,1,True,10.0,60.0,BLOCKED_PENDING_TARGET_TO_COMMAND_CALIBRATION
N3A_SUSTAIN_SCREEN,2,3.0,,1,True,10.0,60.0,BLOCKED_PENDING_TARGET_TO_COMMAND_CALIBRATION
N3A_SUSTAIN_SCREEN,3,2.0,,1,True,10.0,60.0,BLOCKED_PENDING_TARGET_TO_COMMAND_CALIBRATION
N3A_REFINEMENT,TBD_AFTER_SCREEN,TBD_BRACKET_MIDPOINT,,MAX_2_TARGETS,True,10.0,60.0,BLOCKED_PENDING_SCREEN_BRACKET
N3A_BOUNDARY_REPLICATION,TBD_AFTER_REFINEMENT,LOWEST_PASS_AND_ADJACENT_FAIL,,3,True,10.0,60.0,BLOCKED_PENDING_REFINED_BRACKET
N3B_COLD_ATTACH_CONFIRMATION,TBD_AFTER_N3A,LOWEST_REPLICATED_N3A_PASS,,3,False,10.0,60.0,BLOCKED_PENDING_N3A_SELECTION
N3_UPPER_BOUNDARY_VERIFICATION,0,24.0,,1,True,10.0,60.0,BLOCKED_PENDING_TARGET_TO_COMMAND_CALIBRATION
N3_UPPER_BOUNDARY_VERIFICATION,1,24.5,,1,True,10.0,60.0,BLOCKED_PENDING_TARGET_TO_COMMAND_CALIBRATION
N3_UPPER_BOUNDARY_VERIFICATION,2,50.5,-50.0,1,True,10.0,60.0,REFERENCE_ONLY
