action_id,profile_id,family,quantizer,q_e4,attempted,delivered,decoded,completed,delivery_rate,completion_rate,profile_measured_wall_seconds,measured_sequential_throughput_frames_per_second,detection_count_median,ranker_calls,encoder_calls,decoder_calls,compression_calls,decompression_calls,tail_calls,front_gpu_ms_median,front_gpu_ms_p95,ranker_gpu_ms_median,ranker_gpu_ms_p95,ae_encode_gpu_ms_median,ae_encode_gpu_ms_p95,quantize_pack_ms_median,quantize_pack_ms_p95,zstd_compress_ms_median,zstd_compress_ms_p95,frame_context_encode_ms_median,frame_context_encode_ms_p95,sfd1_fragment_send_ms_median,sfd1_fragment_send_ms_p95,ue_prepare_ms_median,ue_prepare_ms_p95,localhost_delivery_ms_median,localhost_delivery_ms_p95,envelope_context_validate_ms_median,envelope_context_validate_ms_p95,camera_pose_reconstruct_ms_median,camera_pose_reconstruct_ms_p95,zstd_decompress_ms_median,zstd_decompress_ms_p95,dequant_scatter_ms_median,dequant_scatter_ms_p95,ae_decode_gpu_ms_median,ae_decode_gpu_ms_p95,tail_gpu_ms_median,tail_gpu_ms_p95,p025_serialize_ms_median,p025_serialize_ms_p95,back_ms_median,back_ms_p95,capture_partition_ue_call_ms_median,capture_partition_ue_call_ms_p95,capture_partition_ue_to_first_send_ms_median,capture_partition_ue_to_first_send_ms_p95,capture_partition_reassembly_to_edge_call_ms_median,capture_partition_reassembly_to_edge_call_ms_p95,capture_partition_edge_call_ms_median,capture_partition_edge_call_ms_p95,capture_to_edge_result_ms_median,capture_to_edge_result_ms_p95,scientific_inner_bytes_median,scientific_inner_bytes_p95,sfd1_base_header_bytes_median,sfd1_base_header_bytes_p95,sfd1_fixed_context_bytes_median,sfd1_fixed_context_bytes_p95,sfd1_stream_id_bytes_median,sfd1_stream_id_bytes_p95,sfd1_context_overhead_bytes_median,sfd1_context_overhead_bytes_p95,complete_sfd1_v2_bytes_median,complete_sfd1_v2_bytes_p95,udp_chunk_header_bytes_median,udp_chunk_header_bytes_p95,estimated_ip_udp_wire_bytes_median,estimated_ip_udp_wire_bytes_p95,udp_application_bytes_median,udp_application_bytes_p95,estimated_on_wire_bytes_median,estimated_on_wire_bytes_p95,datagram_count_median,datagram_count_p95
0,split_noae_uint8_q0000,noAE,UINT8,0,300,300,300,300,1.0,1.0,52.89535386300002,5.671575631708708,31,0,0,0,300,300,300,0.9085440039634705,1.0432000160217285,0.0,0.0,0.0,0.0,40.14931,48.432187,6.98353,8.300208,0.337863,0.420101,1.5548,2.632307,48.901379,56.904368,2.152407,2.961264,0.214279,0.332453,0.152452,0.238661,3.003779,3.221337,38.725878,77.781914,0.0,0.0,73.23795318603516,89.53910064697266,7.925557,12.754887,127.073776,167.462998,48.901379,56.904368,0.416723,0.453424,0.176122,0.240878,127.101981,167.489294,176.550816,220.711123,3573199,3616674,36,36,144,144,105,109,249,253,3573484,3616959,2296,2320,8036,8120,3575780,3619279,3583816,3627399,287,290
1,split_noae_uint8_q3000,noAE,UINT8,3000,300,300,300,300,1.0,1.0,51.203342936000006,5.858992456312383,32,300,0,0,300,300,300,0.9312639832496643,1.077407956123352,0.18479999899864197,0.30851200222969055,0.0,0.0,34.382645,40.781065,4.964177,6.63463,0.220948,0.311196,1.493524,1.955935,42.321426,50.091007,1.615988,2.270544,0.167928,0.255802,0.163806,0.250414,2.093961,2.253612,39.661574,91.308215,0.0,0.0,74.00415802001953,90.25603485107422,8.222292,12.755463,128.941303,178.788803,42.321426,50.091007,0.29848,0.342811,0.132987,0.175569,128.966879,178.813704,170.747751,221.539493,2515164,2553552,36,36,144,144,105,109,249,253,2515449,2553837,1616,1640,5656,5740,2517065,2555477,2522721,2561217,202,205
2,split_noae_uint8_q5000,noAE,UINT8,5000,300,300,300,300,1.0,1.0,46.962792916999945,6.388035748431898,33,300,0,0,300,300,300,0.9220479726791382,1.079807996749878,0.18297599256038666,0.27667200565338135,0.0,0.0,32.061198,37.553942,3.67217,5.019259,0.149572,0.224209,0.970932,1.386265,37.901063,44.42129,1.20722,1.930965,0.159056,0.203449,0.163263,0.238456,1.516169,1.611905,33.102465,77.75113,0.0,0.0,72.63426971435547,84.52674865722656,8.339813,12.376257,121.058579,164.0602,37.901063,44.42129,0.192226,0.251187,0.11036,0.19706,121.081124,164.084319,157.042458,206.320665,1790391,1813855,36,36,144,144,105,109,249,253,1790676,1814144,1152,1168,4032,4088,1791828,1815312,1795860,1819400,144,146
6,split_noae_uint6_q0000,noAE,UINT6,0,300,300,300,300,1.0,1.0,57.568474363,5.211185519844414,31,0,0,0,300,300,300,0.9202560186386108,1.03929603099823,0.0,0.0,0.0,0.0,48.537434,61.832221,4.512092,5.372504,0.180754,0.305374,1.206073,2.140641,54.70315,67.950328,1.721829,2.995624,0.17605,0.26479,0.153263,0.245495,2.25272,2.446935,37.876063,83.619169,0.0,0.0,73.95011138916016,94.07437133789062,8.013657,12.873456,134.308702,180.355071,54.70315,67.950328,0.270475,0.32944,0.139011,0.209451,134.333951,180.379275,190.216581,243.648672,2743761,2792025,36,36,144,144,105,109,249,253,2744046,2792310,1760,1792,6160,6272,2745806,2794102,2751966,2800374,220,224
7,split_noae_uint6_q3000,noAE,UINT6,3000,300,300,300,300,1.0,1.0,53.201148807999985,5.638975975550518,31,300,0,0,300,300,300,0.9290559887886047,1.0882240533828735,0.18464000523090363,0.3028160035610199,0.0,0.0,38.96522,44.383907,3.001314,3.561316,0.153735,0.232859,1.105048,1.479716,44.646586,51.924506,1.278658,2.113805,0.159602,0.20624,0.165256,0.244877,1.543546,1.675837,33.691056,79.576694,0.0,0.0,73.17174530029297,88.2916488647461,8.153565,12.667581,132.343317,184.539587,44.646586,51.924506,0.226766,0.242996,0.105461,0.160768,132.368082,184.563481,174.710894,222.076452,1953773,1980370,36,36,144,144,105,109,249,253,1954058,1980655,1256,1272,4396,4452,1955314,1981927,1959710,1986379,157,159
8,split_noae_uint6_q5000,noAE,UINT6,5000,300,300,300,300,1.0,1.0,48.211082670999964,6.222635613625343,33,300,0,0,300,300,300,0.9222400188446045,1.0551680326461792,0.18320000171661377,0.3561600148677826,0.0,0.0,33.21169,41.666197,2.202436,2.736716,0.101655,0.14436,0.740133,1.137349,37.24998,46.250084,0.966577,1.69577,0.118307,0.162166,0.169255,0.256841,1.101939,1.199997,31.457163,74.592544,0.0,0.0,73.163330078125,90.60800170898438,8.326425,12.271211,125.299437,171.898817,37.24998,46.250084,0.145889,0.176433,0.082836,0.099405,125.322758,171.921666,159.540286,213.116968,1396448,1411313,36,36,144,144,105,109,249,253,1396737,1411598,896,912,3136,3192,1397633,1412510,1400769,1415702,112,114
12,split_noae_uint4_q0000,noAE,UINT4,0,300,300,300,300,1.0,1.0,53.853054457999974,5.570714660836372,32,0,0,0,300,300,300,0.9192960262298584,1.089311957359314,0.0,0.0,0.0,0.0,45.788761,57.638438,3.642727,4.128039,0.157116,0.183342,0.768821,1.232002,50.884821,62.922813,1.110445,2.008229,0.15416,0.182312,0.150561,0.242941,1.528653,1.661066,37.945761,86.787479,0.0,0.0,74.22860717773438,93.47468566894531,8.195111,13.273813,129.466813,176.541885,50.884821,62.922813,0.171993,0.201746,0.094257,0.112248,129.489945,176.565841,179.519444,229.343824,1477792,1550701,36,36,144,144,105,109,249,253,1478077,1550986,952,1000,3332,3500,1479029,1551986,1482361,1555486,119,125
13,split_noae_uint4_q3000,noAE,UINT4,3000,300,300,300,300,1.0,1.0,48.96418536699999,6.126927217340955,32,300,0,0,300,300,300,0.930400013923645,1.0921599864959717,0.1847359985113144,0.3054080009460449,0.0,0.0,35.739529,43.803692,2.435675,3.17468,0.116998,0.160735,0.641338,0.943564,40.604374,49.666553,0.855238,1.658922,0.11927,0.146747,0.164467,0.238567,1.033481,1.147847,29.989497,79.084994,0.0,0.0,73.54022216796875,88.54576110839844,8.231237,12.37912,123.92591,176.123558,40.604374,49.666553,0.124195,0.170039,0.081626,0.179584,123.950995,176.146808,162.111257,216.575151,1095195,1124555,36,36,144,144,105,109,249,253,1095480,1124840,704,728,2464,2548,1096184,1125568,1098648,1128116,88,91
14,split_noae_uint4_q5000,noAE,UINT4,5000,300,300,300,300,1.0,1.0,46.063124926000015,6.512801736355213,32,300,0,0,300,300,300,0.9234240055084229,1.0733760595321655,0.18352000415325165,0.3072960078716278,0.0,0.0,33.413959,39.198235,1.620748,2.214433,0.087712,0.123731,0.451915,0.916159,37.160169,43.687971,0.721149,1.70298,0.092343,0.141525,0.182966,0.242378,0.737374,0.842719,23.317129,68.275516,0.0,0.0,73.63705444335938,89.61023712158203,8.467848,12.552039,117.823005,167.865371,37.160169,43.687971,0.086343,0.126253,0.063339,0.225477,117.845359,167.884944,152.526763,203.24421,799577,819472,36,36,144,144,105,109,249,253,799862,819757,520,528,1820,1848,800382,820285,802202,822133,65,66
18,split_ae128_uint8_q0000,AE128,UINT8,0,300,300,300,300,1.0,1.0,46.84134941999998,6.404597726467466,33,0,300,300,300,300,300,0.9185919761657715,1.0725120306015015,0.0,0.0,0.09894400089979172,0.16675199568271637,34.796932,41.397228,1.831052,2.549057,0.180827,0.274374,1.022594,2.107402,38.46059,45.151928,1.59567,2.624279,0.187522,0.265084,0.122507,0.219974,1.796592,2.008312,31.477776,72.007639,0.3274880051612854,0.4074240028858185,73.87830352783203,93.77737426757812,8.43771,13.325939,120.229151,172.136486,38.46059,45.151928,0.261156,0.377555,0.140375,0.307143,120.257512,172.163632,154.128114,215.215641,2344795,2371229,36,36,144,144,106,110,250,254,2345081,2371515,1504,1520,5264,5320,2346585,2373035,2351849,2378355,188,190
