wall_time_s,elapsed_s,frame_index,chunk_index,chunk_bytes,frame_bytes,period_s,scheduled_frame_time_s,send_lag_ms
1787365998.830177,0.000052,0,0,12500,12500,0.100000,0.000000,0.001
1787365998.930344,0.100218,1,0,12500,12500,0.100000,0.100000,0.120
1787365999.030292,0.200166,2,0,12500,12500,0.100000,0.200000,0.114
1787365999.130310,0.300184,3,0,12500,12500,0.100000,0.300000,0.115
1787365999.230406,0.400281,4,0,12500,12500,0.100000,0.400000,0.199
1787365999.330320,0.500194,5,0,12500,12500,0.100000,0.500000,0.114
1787365999.430322,0.600196,6,0,12500,12500,0.100000,0.600000,0.115
1787365999.530321,0.700195,7,0,12500,12500,0.100000,0.700000,0.116
1787365999.630353,0.800228,8,0,12500,12500,0.100000,0.800000,0.120
1787365999.730373,0.900247,9,0,12500,12500,0.100000,0.900000,0.122
1787365999.831117,1.000991,10,0,12500,12500,0.100000,1.000000,0.911
1787365999.930603,1.100477,11,0,12500,12500,0.100000,1.100000,0.409
1787366000.030304,1.200178,12,0,12500,12500,0.100000,1.200000,0.115
1787366000.130364,1.300238,13,0,12500,12500,0.100000,1.300000,0.129
1787366000.230295,1.400169,14,0,12500,12500,0.100000,1.400000,0.113
1787366000.330443,1.500318,15,0,12500,12500,0.100000,1.500000,0.255
1787366000.430314,1.600188,16,0,12500,12500,0.100000,1.600000,0.114
1787366000.530306,1.700180,17,0,12500,12500,0.100000,1.700000,0.121
1787366000.630292,1.800166,18,0,12500,12500,0.100000,1.800000,0.114
1787366000.730290,1.900164,19,0,12500,12500,0.100000,1.900000,0.113
1787366000.830292,2.000166,20,0,12500,12500,0.100000,2.000000,0.112
1787366000.930295,2.100169,21,0,12500,12500,0.100000,2.100000,0.120
1787366001.030298,2.200172,22,0,12500,12500,0.100000,2.200000,0.120
1787366001.130306,2.300180,23,0,12500,12500,0.100000,2.300000,0.112
1787366001.230284,2.400158,24,0,12500,12500,0.100000,2.400000,0.112
1787366001.330291,2.500165,25,0,12500,12500,0.100000,2.500000,0.112
1787366001.430299,2.600173,26,0,12500,12500,0.100000,2.600000,0.120
1787366001.530293,2.700167,27,0,12500,12500,0.100000,2.700000,0.114
1787366001.630322,2.800196,28,0,12500,12500,0.100000,2.800000,0.121
1787366001.730299,2.900173,29,0,12500,12500,0.100000,2.900000,0.120
1787366001.830307,3.000180,30,0,12500,12500,0.100000,3.000000,0.120
1787366001.930218,3.100092,31,0,12500,12500,0.100000,3.100000,0.039
1787366002.030288,3.200162,32,0,12500,12500,0.100000,3.200000,0.113
1787366002.130287,3.300161,33,0,12500,12500,0.100000,3.300000,0.112
1787366002.230289,3.400163,34,0,12500,12500,0.100000,3.400000,0.113
1787366002.330296,3.500170,35,0,12500,12500,0.100000,3.500000,0.113
1787366002.430291,3.600165,36,0,12500,12500,0.100000,3.600000,0.113
1787366002.530293,3.700167,37,0,12500,12500,0.100000,3.700000,0.113
1787366002.630315,3.800189,38,0,12500,12500,0.100000,3.800000,0.114
1787366002.730306,3.900180,39,0,12500,12500,0.100000,3.900000,0.121
1787366002.830341,4.000215,40,0,12500,12500,0.100000,4.000000,0.156
1787366002.930329,4.100203,41,0,12500,12500,0.100000,4.100000,0.135
1787366003.030295,4.200169,42,0,12500,12500,0.100000,4.200000,0.116
1787366003.130544,4.300418,43,0,12500,12500,0.100000,4.300000,0.347
1787366003.230293,4.400167,44,0,12500,12500,0.100000,4.400000,0.115
1787366003.330281,4.500155,45,0,12500,12500,0.100000,4.500000,0.111
1787366003.430278,4.600152,46,0,12500,12500,0.100000,4.600000,0.108
1787366003.530277,4.700152,47,0,12500,12500,0.100000,4.700000,0.110
1787366003.630271,4.800146,48,0,12500,12500,0.100000,4.800000,0.108
1787366003.730270,4.900144,49,0,12500,12500,0.100000,4.900000,0.107
1787366003.830272,5.000146,50,0,12500,12500,0.100000,5.000000,0.107
1787366003.930282,5.100156,51,0,12500,12500,0.100000,5.100000,0.111
1787366004.030272,5.200146,52,0,12500,12500,0.100000,5.200000,0.108
1787366004.130290,5.300164,53,0,12500,12500,0.100000,5.300000,0.110
1787366004.230335,5.400209,54,0,12500,12500,0.100000,5.400000,0.114
1787366004.330269,5.500144,55,0,12500,12500,0.100000,5.500000,0.108
1787366004.430298,5.600172,56,0,12500,12500,0.100000,5.600000,0.116
1787366004.530298,5.700172,57,0,12500,12500,0.100000,5.700000,0.120
1787366004.630289,5.800164,58,0,12500,12500,0.100000,5.800000,0.112
1787366004.730217,5.900091,59,0,12500,12500,0.100000,5.900000,0.038
1787366004.830306,6.000180,60,0,12500,12500,0.100000,6.000000,0.122
