plateau_index,commanded_noise_power_db,event_time_text,event_wall_ns_approx,rnti,frame,slot,instantaneous_pusch_snr_db,mcs,join_status
0,-10,11:25:11.291881,1787336711291880960,54415,144,7,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.292323,1787336711292323072,54415,144,8,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.292618,1787336711292617984,54415,144,9,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.295484,1787336711295484160,54415,144,17,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.295928,1787336711295928064,54415,144,18,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.296256,1787336711296256000,54415,144,19,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.299145,1787336711299144960,54415,145,7,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.299538,1787336711299537920,54415,145,8,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.299848,1787336711299848192,54415,145,9,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.302789,1787336711302788864,54415,145,17,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.303184,1787336711303184128,54415,145,18,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.306962,1787336711306961920,54415,146,8,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.307167,1787336711307166976,54415,146,9,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.314338,1787336711314338048,54415,147,8,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.381489,1787336711381489152,54415,156,7,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.385571,1787336711385571072,54415,156,17,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.389406,1787336711389405952,54415,157,7,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.393582,1787336711393582080,54415,157,17,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.397596,1787336711397595904,54415,158,7,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.398085,1787336711398085120,54415,158,8,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.398448,1787336711398447872,54415,158,9,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.401600,1787336711401600000,54415,158,17,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.402081,1787336711402081024,54415,158,18,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.402441,1787336711402440960,54415,158,19,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.405620,1787336711405620224,54415,159,7,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.406055,1787336711406054912,54415,159,8,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.406427,1787336711406426880,54415,159,9,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.409419,1787336711409419008,54415,159,17,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.409949,1787336711409949184,54415,159,18,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.414439,1787336711414438912,54415,160,9,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.480343,1787336711480343040,54415,168,17,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.484330,1787336711484329984,54415,169,7,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.488184,1787336711488184064,54415,169,17,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.492337,1787336711492336896,54415,170,7,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.496216,1787336711496216064,54415,170,17,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.496640,1787336711496640000,54415,170,18,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.497043,1787336711497042944,54415,170,19,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.500181,1787336711500180992,54415,171,7,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.500548,1787336711500547840,54415,171,8,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.500906,1787336711500905984,54415,171,9,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.504142,1787336711504142080,54415,171,17,19.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.504499,1787336711504498944,54415,171,18,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.508514,1787336711508514048,54415,172,8,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.508732,1787336711508732160,54415,172,9,20.0,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.512443,1787336711512443136,54415,172,18,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.512833,1787336711512833024,54415,172,19,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
0,-10,11:25:11.515903,1787336711515902976,54415,173,7,19.5,28,DESCRIPTIVE_APPROXIMATE_NOT_CAUSAL
