trace_index,plateau_index,value_transition_index,repeat_index,is_value_transition,commanded_noise_power_db,scheduled_monotonic_ns,scheduled_wall_time_ns,send_monotonic_ns,send_wall_time_ns,response_received_monotonic_ns,response_received_wall_time_ns,handler_bracket_ms,response_before_next_boundary,response_sha256,status,control_session_id,ran_epoch_id
0,0,0,0,True,-10,1551356154222930,1787336711090678232,1551356154416307,1787336711090871827,1551356154523915,1787336711090979158,0.107608,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
1,0,0,1,False,-10,1551356254222930,1787336711190678232,1551356254376238,1787336711190831555,1551356254473551,1787336711190928792,0.097313,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
2,0,0,2,False,-10,1551356354222930,1787336711290678232,1551356354297787,1787336711290773167,1551356354498105,1787336711290953343,0.200318,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
3,0,0,3,False,-10,1551356454222930,1787336711390678232,1551356454494625,1787336711390950094,1551356454605960,1787336711391061230,0.111335,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
4,0,0,4,False,-10,1551356554222930,1787336711490678232,1551356554294701,1787336711490750127,1551356554540964,1787336711490996290,0.246263,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
5,0,0,5,False,-10,1551356654222930,1787336711590678232,1551356654297066,1787336711590752406,1551356654411473,1787336711590866717,0.114407,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
6,0,0,6,False,-10,1551356754222930,1787336711690678232,1551356754308583,1787336711690764981,1551356754410280,1787336711690865521,0.101697,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
7,0,0,7,False,-10,1551356854222930,1787336711790678232,1551356854336655,1787336711790792194,1551356854463842,1787336711790919094,0.127187,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
8,0,0,8,False,-10,1551356954222930,1787336711890678232,1551356954624011,1787336711891079444,1551356954743488,1787336711891198727,0.119477,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
9,0,0,9,False,-10,1551357054222930,1787336711990678232,1551357054435915,1787336711990891595,1551357054822138,1787336711991277500,0.386223,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
10,0,0,10,False,-10,1551357154222930,1787336712090678232,1551357154307223,1787336712090762865,1551357154484064,1787336712090939312,0.176841,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
11,0,0,11,False,-10,1551357254222930,1787336712190678232,1551357254309013,1787336712190764934,1551357254393758,1787336712190848962,0.084745,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
12,0,0,12,False,-10,1551357354222930,1787336712290678232,1551357354300698,1787336712290756361,1551357354430001,1787336712290885369,0.129303,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
13,0,0,13,False,-10,1551357454222930,1787336712390678232,1551357454304562,1787336712390760730,1551357454410351,1787336712390865569,0.105789,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
14,0,0,14,False,-10,1551357554222930,1787336712490678232,1551357554296077,1787336712490751466,1551357554372715,1787336712490827951,0.076638,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
15,0,0,15,False,-10,1551357654222930,1787336712590678232,1551357654304663,1787336712590760447,1551357654428002,1787336712590883240,0.123339,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
16,0,0,16,False,-10,1551357754222930,1787336712690678232,1551357754294516,1787336712690750253,1551357754476862,1787336712690932094,0.182346,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
17,0,0,17,False,-10,1551357854222930,1787336712790678232,1551357854258686,1787336712790714050,1551357854347028,1787336712790802237,0.088342,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
18,0,0,18,False,-10,1551357954222930,1787336712890678232,1551357954309799,1787336712890765966,1551357954428884,1787336712890884125,0.119085,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
19,0,0,19,False,-10,1551358054222930,1787336712990678232,1551358054377212,1787336712990832607,1551358054471987,1787336712990927260,0.094775,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
20,0,0,20,False,-10,1551358154222930,1787336713090678232,1551358154301347,1787336713090757004,1551358154403570,1787336713090858797,0.102223,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
21,0,0,21,False,-10,1551358254222930,1787336713190678232,1551358254299360,1787336713190754770,1551358254520203,1787336713190975435,0.220843,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
22,0,0,22,False,-10,1551358354222930,1787336713290678232,1551358354265910,1787336713290722106,1551358354409055,1787336713290864871,0.143145,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
23,0,0,23,False,-10,1551358454222930,1787336713390678232,1551358454293721,1787336713390749069,1551358454408193,1787336713390863397,0.114472,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
24,0,0,24,False,-10,1551358554222930,1787336713490678232,1551358554295501,1787336713490751058,1551358554433618,1787336713490888855,0.138117,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
25,0,0,25,False,-10,1551358654222930,1787336713590678232,1551358654303783,1787336713590759286,1551358654520741,1787336713590976032,0.216958,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
26,0,0,26,False,-10,1551358754222930,1787336713690678232,1551358754300599,1787336713690755935,1551358754621642,1787336713691076952,0.321043,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
27,0,0,27,False,-10,1551358854222930,1787336713790678232,1551358854294332,1787336713790749781,1551358854793299,1787336713791248607,0.498967,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
28,0,0,28,False,-10,1551358954222930,1787336713890678232,1551358954298472,1787336713890753928,1551358954405046,1787336713890860331,0.106574,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
29,0,0,29,False,-10,1551359054222930,1787336713990678232,1551359054306564,1787336713990762418,1551359054472398,1787336713990927635,0.165834,True,e3acbe7596cbff50c743821797ecf46a6734bbab54bf309085c944c1cf1275e3,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
30,1,1,0,True,-8,1551359154222930,1787336714090678232,1551359154298760,1787336714090754072,1551359154530802,1787336714090986076,0.232042,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
31,1,1,1,False,-8,1551359254222930,1787336714190678232,1551359254294535,1787336714190749998,1551359254440658,1787336714190895931,0.146123,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
32,1,1,2,False,-8,1551359354222930,1787336714290678232,1551359354705647,1787336714291161336,1551359355753229,1787336714292208614,1.047582,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
33,1,1,3,False,-8,1551359454222930,1787336714390678232,1551359454296991,1787336714390752397,1551359455058251,1787336714391513574,0.76126,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
34,1,1,4,False,-8,1551359554222930,1787336714490678232,1551359554293323,1787336714490748737,1551359554617419,1787336714491072749,0.324096,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
35,1,1,5,False,-8,1551359654222930,1787336714590678232,1551359654286858,1787336714590742281,1551359655085978,1787336714591541260,0.79912,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
36,1,1,6,False,-8,1551359754222930,1787336714690678232,1551359754304885,1787336714690760750,1551359754638948,1787336714691094282,0.334063,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
37,1,1,7,False,-8,1551359854222930,1787336714790678232,1551359854299409,1787336714790754807,1551359854614661,1787336714791069988,0.315252,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
38,1,1,8,False,-8,1551359954222930,1787336714890678232,1551359954459695,1787336714890915032,1551359954548391,1787336714891003632,0.088696,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
39,1,1,9,False,-8,1551360054222930,1787336714990678232,1551360054290689,1787336714990746170,1551360054369723,1787336714990824960,0.079034,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
40,1,1,10,False,-8,1551360154222930,1787336715090678232,1551360154292165,1787336715090747691,1551360154409420,1787336715090864626,0.117255,True,a4fdcf92c56b02cdc66b6d7693e93a6604baa680d7ce1823a09d6d3a0ecaf396,ACK_VALIDATED,ed8a6b3c-c54d-4025-80e9-84fa25cdfa43,b6bb50e5-232d-4439-ab18-b40a573b0957
