speed_band,full_n,equal_n,mean_speed_mph,latency_ms,equal_n_mean_error_m,equal_n_p10_error_m,equal_n_p90_error_m
~23 mph,17,17,23.53,160,2.39,2.39,2.39
~23 mph,17,17,23.53,180,2.59,2.59,2.59
~23 mph,17,17,23.53,215,2.949,2.949,2.949
~23 mph,17,17,23.53,247,3.284,3.284,3.284
~23 mph,17,17,23.53,300,3.846,3.846,3.846
~28 mph,39,17,27.58,0,1.187,1.065,1.305
~28 mph,39,17,27.58,25,1.13,0.994,1.259
~28 mph,39,17,27.58,37,1.123,0.979,1.271
~28 mph,39,17,27.58,50,1.141,0.989,1.299
~28 mph,39,17,27.58,67,1.197,1.032,1.361
~28 mph,39,17,27.58,75,1.236,1.068,1.402
~28 mph,39,17,27.58,93,1.347,1.175,1.519
~28 mph,39,17,27.58,101,1.404,1.229,1.58
~28 mph,39,17,27.58,115,1.513,1.332,1.697
~28 mph,39,17,27.58,136,1.695,1.505,1.891
~28 mph,39,17,27.58,160,1.93,1.733,2.136
~28 mph,39,17,27.58,180,2.142,1.939,2.354
~28 mph,39,17,27.58,215,2.536,2.322,2.754
~28 mph,39,17,27.58,247,2.909,2.689,3.131
~28 mph,39,17,27.58,300,3.54,3.312,3.765
~32 mph,51,17,33.01,0,1.294,1.188,1.401
~32 mph,51,17,33.01,25,1.367,1.222,1.508
~32 mph,51,17,33.01,37,1.432,1.272,1.59
~32 mph,51,17,33.01,50,1.521,1.347,1.693
~32 mph,51,17,33.01,67,1.663,1.469,1.855
~32 mph,51,17,33.01,75,1.739,1.536,1.94
~32 mph,51,17,33.01,93,1.933,1.72,2.147
~32 mph,51,17,33.01,101,2.029,1.812,2.245
~32 mph,51,17,33.01,115,2.204,1.984,2.427
~32 mph,51,17,33.01,136,2.479,2.257,2.706
~32 mph,51,17,33.01,160,2.805,2.581,3.034
~32 mph,51,17,33.01,180,3.082,2.857,3.312
~32 mph,51,17,33.01,215,3.575,3.346,3.806
~32 mph,51,17,33.01,247,4.031,3.803,4.267
~32 mph,51,17,33.01,300,4.793,4.565,5.031
