frame_id,result_received,target_gt_present,target_visible,target_forward_m,target_lateral_m,target_radar_points,target_pixel_x,candidate_vehicle_predictions,matched_prediction_score,nearest_error_m,forward_error_m,lateral_error_m,radar_support_score
56543,1,1,1,14.999889728998124,-0.00022843332694755247,1935.0,639.9971276573854,2,0.20115844905376434,1.7990623073315832,1.217622628762403,-1.3243943217890115,0.9999991655349731
56544,1,1,1,14.999889728998124,-0.00022843332694755247,1879.0,639.9971276573854,1,0.2038751095533371,3.3765509790387047,2.87260346983795,-1.7746114558184862,0.9999994039535522
56545,1,1,1,14.999889728998124,-0.00022843332694755247,1808.0,639.9971276573854,2,0.2678660452365875,1.2504180109230365,1.2416768269079157,-0.14759356205679466,1.0
56546,1,1,1,14.999889728998124,-0.00022843332694755247,1915.0,639.9971276573854,1,0.2613002359867096,1.3964310240809095,1.3938933537205587,-0.08414822320947356,0.9999998807907104
56547,1,1,1,14.999889728998124,-0.00022843332694755247,1828.0,639.9971276573854,2,0.2945852279663086,1.2991687639541947,1.2874869205992463,-0.1738301082095387,0.9999998807907104
56548,1,1,1,14.999889728998124,-0.00022843332694755247,1861.0,639.9971276573854,2,0.31670305132865906,1.4257930638312741,1.4152768571124226,-0.17285045152198802,0.9999998807907104
56549,1,1,1,14.999889728998124,-0.00022843332694755247,1859.0,639.9971276573854,2,0.32011598348617554,1.3626541797133793,1.3410014981788942,-0.24195329171619823,0.9999998807907104
56550,1,1,1,14.999889728998124,-0.00022843332694755247,1806.0,639.9971276573854,3,0.29510989785194397,1.3486706175281964,1.3302206809534627,-0.22231818312408172,0.9999998807907104
56551,1,1,1,14.999889728998124,-0.00022843332694755247,1987.0,639.9971276573854,3,0.311074823141098,1.4201031341198376,1.40069443196078,-0.23398294769288944,1.0
56552,1,1,1,14.999889728998124,-0.00022843332694755247,1883.0,639.9971276573854,2,0.30912768840789795,1.375431613193084,1.3551540477770336,-0.23530752084124015,0.9999998807907104
56553,1,1,1,14.999889728998124,-0.00022843332694755247,1850.0,639.9971276573854,3,0.29104357957839966,1.3969707848328683,1.3581961704385226,-0.32684940918210675,0.9999998807907104
56554,1,1,1,14.999889728998124,-0.00022843332694755247,1901.0,639.9971276573854,2,0.27725228667259216,1.4829508429293996,1.4656945156490444,-0.2255721377770982,0.9999998807907104
56555,1,1,1,14.999889728998124,-0.00022843332694755247,1880.0,639.9971276573854,2,0.29836368560791016,1.4788423962162216,1.4620669547835439,-0.22211495351846802,0.9999998807907104
