task,transport,source,frames_total,returned_frames,receive_rate,missed_frames,front_ms_median,back_ms_median,round_trip_ms_median,round_trip_ms_p95,app_total_ms_median,payload_kib_median,payload_kib_p95,payload_chunks_median
OD,Loopback,month1_latency_od_loopback_20260604_162245.csv,1911,1911,1.0,0,12.106274953112006,4.318094812333584,8.249785052612424,19.06972855795175,20.35606000572443,86.61328125,88.12255859375,2.0
OD,OAI,month1_latency_od_oai_20260604_163229.csv,1011,1011,1.0,0,13.812861172482371,4.859327105805278,74.93874500505626,142.63936353381723,88.75160617753863,86.337890625,88.00927734375,2.0
SEG,Loopback,month1_latency_seg_loopback_20260604_162655.csv,1770,1770,1.0,0,32.31694898568094,1.1363265803083777,13.413684559054673,17.126424494199455,45.73063354473561,397.9404296875,411.39653320312505,7.0
SEG,OAI,month1_latency_seg_oai_20260604_163731.csv,775,766,0.9883870967741936,9,31.76971198990941,1.6382599715143442,107.874064007774,201.0739590623416,139.6437759976834,396.2607421875,414.91767578125,7.0
