ue_id,frame_id,message_id,scheduled_raw_ns,first_chunk_raw_ns,complete_raw_ns,complete_latency_ms,payload_bytes,chunks,onwire_bytes,checksum_expected,checksum_actual,checksum_ok,source_ip
1,200000000,736870912,875494382367031,875494383352089,875494383558804,1.191773,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000000,368435456,875494632367031,875494633110583,875494633454336,1.087305,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000001,736870913,875494882367031,875494883145796,875494883579376,1.212345,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000001,368435457,875495132367031,875495133285074,875495133420368,1.053337,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000002,736870914,875495382367031,875495383266039,875495383374835,1.007804,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000002,368435458,875495632367031,875495633106771,875495633171007,0.803976,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000003,736870915,875495832367031,875495833204817,875495833266690,0.899659,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000003,368435459,875496082367031,875496085072355,875496085451523,3.084492,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000004,736870916,875496332367031,875496333192315,875496333328873,0.961842,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000004,368435460,875496582367031,875496583149418,875496583261340,0.894309,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000005,736870917,875496832367031,875496833187457,875496833300799,0.933768,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000005,368435461,875497082367031,875497083227042,875497083332010,0.964979,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000006,736870918,875497332367031,875497333280272,875497333400395,1.033364,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000006,368435462,875497532367031,875497533156450,875497533245825,0.878794,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000007,736870919,875497782367031,875497783040282,875497783184698,0.817667,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000007,368435463,875498032367031,875498033094018,875498033168289,0.801258,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000008,736870920,875498282367031,875498283207176,875498283389211,1.02218,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000008,368435464,875498532367031,875498533058225,875498533124884,0.757853,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000009,736870921,875498782367031,875498783111799,875498783181120,0.814089,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000009,368435465,875499032367031,875499033101387,875499033436756,1.069725,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000010,736870922,875499232367031,875499233210047,875499233710062,1.343031,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000010,368435466,875499482367031,875499483174387,875499483291839,0.924808,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000011,736870923,875499732367031,875499733179278,875499733289243,0.922212,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000011,368435467,875499982367031,875499983133487,875499983232518,0.865487,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000012,736870924,875500232367031,875500233258080,875500233384400,1.017369,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000012,368435468,875500482367031,875500483156994,875500483266618,0.899587,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000013,736870925,875500682367031,875500683125851,875500683215995,0.848964,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000013,368435469,875500932367031,875500933167046,875500933281855,0.914824,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000014,736870926,875501182367031,875501183219947,875501183341775,0.974744,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000014,368435470,875501432367031,875501433242073,875501433597416,1.230385,409600,7,409852,3512885954,3512885954,1,127.0.0.1
1,200000015,736870927,875501682367031,875501683129109,875501683203594,0.836563,409600,7,409852,3346413535,3346413535,1,127.0.0.1
0,100000015,368435471,875501932367031,875501933408206,875501933498287,1.131256,409600,7,409852,3512885954,3512885954,1,127.0.0.1
