time,mono_sec,mono_nsec,ue_id,rb_id,sdu_bytes
20:04:37.292809,1582522,356353947,1,1,1501
20:04:37.293277,1582522,356822132,1,1,1501
20:04:37.293291,1582522,356835857,1,1,1501
20:04:37.293296,1582522,356840889,1,1,1501
20:04:37.293300,1582522,356845746,1,1,1501
20:04:37.293424,1582522,356969437,1,1,1501
20:04:37.293451,1582522,356996353,1,1,1501
20:04:37.293457,1582522,357002804,1,1,1501
20:04:37.293533,1582522,357077853,1,1,689
20:04:37.393615,1582522,457160474,1,1,1501
20:04:37.393975,1582522,457520286,1,1,1501
20:04:37.393983,1582522,457527979,1,1,1501
20:04:37.393987,1582522,457532720,1,1,1501
20:04:37.393990,1582522,457535757,1,1,1501
20:04:37.393994,1582522,457538990,1,1,1501
20:04:37.393996,1582522,457541799,1,1,1501
20:04:37.394049,1582522,457594429,1,1,1501
20:04:37.394411,1582522,457956196,1,1,689
20:04:37.493781,1582522,557325811,1,1,1501
20:04:37.494030,1582522,557574854,1,1,1501
20:04:37.494037,1582522,557582188,1,1,1501
20:04:37.494042,1582522,557587094,1,1,1501
20:04:37.494045,1582522,557590307,1,1,1501
20:04:37.494048,1582522,557593592,1,1,1501
20:04:37.494051,1582522,557596445,1,1,1501
20:04:37.494055,1582522,557600016,1,1,1501
20:04:37.494318,1582522,557862853,1,1,689
20:04:37.592977,1582522,656522152,1,1,1501
20:04:37.593525,1582522,657069970,1,1,1501
20:04:37.593535,1582522,657079983,1,1,1501
20:04:37.593540,1582522,657085002,1,1,1501
20:04:37.593543,1582522,657088093,1,1,1501
20:04:37.593546,1582522,657091030,1,1,1501
20:04:37.593549,1582522,657093945,1,1,1501
20:04:37.593552,1582522,657096898,1,1,1501
20:04:37.593809,1582522,657353863,1,1,689
20:04:37.694105,1582522,757649910,1,1,1501
20:04:37.694607,1582522,758152335,1,1,1501
20:04:37.694616,1582522,758161050,1,1,1501
20:04:37.694620,1582522,758165071,1,1,1501
20:04:37.694642,1582522,758187163,1,1,1501
20:04:37.694646,1582522,758191227,1,1,1501
20:04:37.694656,1582522,758200863,1,1,1501
20:04:37.694904,1582522,758449045,1,1,1501
20:04:37.694912,1582522,758456841,1,1,689
20:04:37.791364,1582522,854909522,1,1,1501
20:04:37.791427,1582522,854972528,1,1,1501
20:04:37.791435,1582522,854980274,1,1,1501
20:04:37.791440,1582522,854985153,1,1,1501
20:04:37.791444,1582522,854989590,1,1,1501
20:04:37.791449,1582522,854994001,1,1,1501
20:04:37.791453,1582522,854998195,1,1,1501
20:04:37.791460,1582522,855005472,1,1,1501
20:04:37.791701,1582522,855246066,1,1,689
20:04:37.894389,1582522,957933849,1,1,1501
20:04:37.894725,1582522,958270663,1,1,1501
20:04:37.894740,1582522,958285001,1,1,1501
20:04:37.894745,1582522,958290414,1,1,1501
20:04:37.894750,1582522,958294908,1,1,1501
20:04:37.894755,1582522,958300469,1,1,1501
