seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
0,1590130638698636,1787375485575153945,1,1,1590130660210406,1,21.5118
1,1590130738755129,1787375485675210512,1,1,1590130762977050,1,24.2219
2,1590130838751957,1787375485775207347,1,1,1590130852284303,1,13.5323
3,1590130938752120,1787375485875207530,1,1,1590130958875613,1,20.1235
4,1590131038759653,1787375485975215167,1,1,1590131059100285,1,20.3406
5,1590131138774837,1787375486075230263,1,1,1590131152146904,1,13.3721
6,1590131238753450,1787375486175208845,1,1,1590131250983169,1,12.2297
7,1590131338757259,1787375486275212715,1,1,1590131360946120,1,22.1889
8,1590131438756447,1787375486375211834,1,1,1590131450483548,1,11.7271
9,1590131538756678,1787375486475212010,1,1,1590131562142343,1,23.3857
10,1590131638753030,1787375486575208516,1,1,1590131663456495,1,24.7035
11,1590131738757686,1787375486675213192,1,1,1590131753748621,1,14.9909
12,1590131838762649,1787375486775218082,1,1,1590131862192831,1,23.4302
13,1590131938758130,1787375486875213846,1,1,1590131957336038,1,18.5779
14,1590132038757601,1787375486975213360,1,1,1590132052809177,1,14.0516
15,1590132138756851,1787375487075212795,1,1,1590132160563363,1,21.8065
16,1590132238752163,1787375487175207688,1,1,1590132261026129,1,22.2740
17,1590132338757736,1787375487275213312,1,1,1590132357530948,1,18.7732
18,1590132438838326,1787375487375293768,1,1,1590132451354380,1,12.5161
19,1590132538844918,1787375487475300187,1,1,1590132560999437,1,22.1545
20,1590132638751388,1787375487575207390,1,1,1590132660526799,1,21.7754
21,1590132738758946,1787375487675214726,1,1,1590132753600992,1,14.8420
22,1590132838752012,1787375487775207364,1,1,1590132862756529,1,24.0045
23,1590132938750643,1787375487875206098,1,1,1590132957170546,1,18.4199
24,1590133038977674,1787375487975433239,1,1,1590133063969640,1,24.9920
25,1590133138751654,1787375488075207381,1,1,1590133158136139,1,19.3845
26,1590133238751214,1787375488175206649,1,1,1590133259830626,1,21.0794
27,1590133338901365,1787375488275356903,1,1,1590133354256190,1,15.3548
28,1590133438773999,1787375488375229632,1,1,1590133461913416,1,23.1394
29,1590133538854578,1787375488475310228,1,1,1590133558125169,1,19.2706
30,1590133638761062,1787375488575216612,1,1,1590133651508084,1,12.7470
31,1590133738762683,1787375488675218317,1,1,1590133761585855,1,22.8232
32,1590133838777061,1787375488775232782,1,1,1590133855536147,1,16.7591
33,1590133938758393,1787375488875214049,1,1,1590133951252549,1,12.4942
34,1590134038751934,1787375488975207328,1,1,1590134060505381,1,21.7534
35,1590134138754720,1787375489075210649,1,1,1590134157296373,1,18.5417
36,1590134238752058,1787375489175207695,1,1,1590134260272633,1,21.5206
37,1590134338766737,1787375489275222746,1,1,1590134351072480,1,12.3057
38,1590134438765463,1787375489375221017,1,1,1590134460466722,1,21.7013
39,1590134538753247,1787375489475208811,1,1,1590134554472937,1,15.7197
40,1590134638753799,1787375489575209261,1,1,1590134660842322,1,22.0885
41,1590134738767161,1787375489675222855,1,1,1590134754892739,1,16.1256
42,1590134838751960,1787375489775207606,1,1,1590134860650878,1,21.8989
43,1590134938756814,1787375489875212244,1,1,1590134960216055,1,21.4592
44,1590135038754635,1787375489975210019,1,1,1590135052588426,1,13.8338
45,1590135138757583,1787375490075213143,1,1,1590135162507332,1,23.7497
46,1590135238752613,1787375490175208098,1,1,1590135258612401,1,19.8598
47,1590135338775238,1787375490275230830,1,1,1590135361387706,1,22.6125
48,1590135438756028,1787375490375211525,1,1,1590135455642839,1,16.8868
