1787367987995979374,1582633059525555,connecting to 127.0.0.1:2031
1787367987996012737,1582633059557742,turning ON GNB_MAC_UL_MCS_DECISION
1787367987996015444,1582633059560380,time,rnti,frame,slot,sched_frame,sched_slot,avg_snr_x10,mcs_table,ul_bler_mcs_before,selected_mcs,pre_phr_mcs,post_phr_mcs,final_mcs,estimated_ul_buffer,sched_ul_bytes,B,min_rb,available_rb_before,available_rb_after,ph,pcmax,rb_size_final,tbs_final,force_ul_mcs
1787367989071073098,1582634134618017,20:06:29.070599,13,1018,12,1018,18,493,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989071074640,1582634134619577,20:06:29.070912,13,1018,13,1018,19,493,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989074298592,1582634137843717,20:06:29.073387,13,1019,1,1019,7,494,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989074424926,1582634137969851,20:06:29.073750,13,1019,2,1019,8,494,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989074433467,1582634137978415,20:06:29.074214,13,1019,3,1019,9,494,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989154266647,1582634217812945,20:06:29.152708,13,5,2,5,8,495,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367989159211073,1582634222756378,20:06:29.158878,13,6,1,6,7,495,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989160291764,1582634223836953,20:06:29.159191,13,6,2,6,8,495,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989160302008,1582634223846956,20:06:29.159541,13,6,3,6,9,495,0,28,28,28,28,28,20516,12425,8091,5,106,106,48,20,85,8197,-1
1787367989162464553,1582634226009752,20:06:29.162152,13,6,11,6,17,495,0,28,28,28,28,28,20516,20622,0,5,5,5,48,20,5,106,-1
1787367989224168615,1582634287714909,20:06:29.223621,13,16,2,16,8,496,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,437,-1
1787367989264925125,1582634328470561,20:06:29.264314,13,22,11,22,17,497,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367989268185601,1582634331730815,20:06:29.267581,13,23,1,23,7,497,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367989271233565,1582634334778727,20:06:29.270650,13,23,11,23,17,497,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989271237996,1582634334782909,20:06:29.271023,13,23,12,23,18,497,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,10247,-1
1787367989272294698,1582634335839650,20:06:29.271324,13,23,13,23,19,497,0,28,28,28,28,28,20516,12425,8091,5,94,94,48,20,85,8197,-1
1787367989274497798,1582634338042768,20:06:29.273753,13,24,1,24,7,497,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
1787367989274500300,1582634338045209,20:06:29.274230,13,24,2,24,8,497,0,28,28,28,28,28,20516,2178,18338,5,106,106,48,20,106,9222,-1
1787367989275504681,1582634339049650,20:06:29.274725,13,24,3,24,9,497,0,28,28,28,28,28,20516,11400,9116,5,106,106,48,20,95,9222,-1
1787367989341943056,1582634405488767,20:06:29.341291,13,34,2,34,8,498,0,28,28,28,28,28,0,0,0,5,5,5,61,20,5,480,-1
1787367989364059056,1582634427604399,20:06:29.363421,13,37,11,37,17,498,0,28,28,28,28,28,0,0,0,5,5,5,48,20,5,106,-1
1787367989367086271,1582634430631411,20:06:29.366596,13,38,1,38,7,498,0,28,28,28,28,28,0,106,0,5,5,5,48,20,5,106,-1
1787367989370251266,1582634433796364,20:06:29.369917,13,38,11,38,17,499,0,28,28,28,28,28,20516,0,20516,5,106,106,48,20,106,2178,-1
