channel,policy,frames,returned,delivery_pct,payload_p50_kib,active_duration_s,active_app_frames_per_s,active_app_mbps_mean,active_snr_p50_db,active_mcs_p50,active_mcs_p95,active_ul_sched_mbps_mean,active_ul_first_tx_mbps_mean,active_ul_retx_mbps_mean,active_ul_retx_rate_pct_mean,active_ul_grant_rate_hz_mean,active_tbs_avg_bytes,active_rlc_buffer_p95_kib,active_bsr_lcg1_p95_kib,active_rlc_drain_mbps_mean,active_filtered_bler_p95_pct,front_build_p50_ms,uplink_p50_ms,uplink_p95_ms,capture_result_p50_ms,capture_result_p95_ms,edge_tail_p50_ms,downlink_p50_ms,pdcp_to_gnb_p50_ms,pdcp_to_gnb_p95_ms,rlc_queue_little_ms,sparse_branch_pct,decrease_branch_count,ul_olla_bler_status,run_group,abbr,overall_ul_sched_mbps,overall_ul_first_tx_mbps,overall_ul_retx_mbps,overall_ul_grant_rate_hz,overall_mcs_avg,overall_mcs_p50,overall_mcs_p95,overall_tbs_avg_bytes,overall_tbs_p95_bytes,overall_retx_rate_pct,overall_rlc_buffer_p95_kib,overall_bsr_lcg_p95_kib,overall_rlc_sdu_drain_mbps,snr_p50_db,snr_p05_db,snr_p95_db,filtered_bler_p50_pct,filtered_bler_p95_pct,window_bler_p95_pct,active_app_mbps_p95,active_ul_sched_mbps_p95
Clean,Vanilla OAI,1300,1207,92.84615384615384,1049.06640625,525.0,2.4761904761904763,21.282192472380952,50.3,7.0,9.0,22.131204662857144,22.131204662857144,0.0,0.0,1969.9733333333334,1368.1536859641817,1048.336689453125,1071.31859375,21.708305904761904,0.0,55.32833706820384,143.71585845947266,158.39262008666992,210.4182989569381,256.6258752834983,7.198985083959997,2.9999290127307177,87.7,134.5,89.8,71.96157074899729,0.0,available,downlink_oai_default106_fair_clear_vanilla_fps10_track2_sinr_clear_20260803_clear_vanilla,Vanilla,21.392456,21.392456,0.0,1907.568907,7.364091,7.0,13.0,1401.814121,3521.0,0.0,111768.47578125,1051.5615234375,19.670915,50.3,50.3,50.4,0.0,0.0,0.0,34.9347456,35.751739199999996
Clean,AIMD,300,276,92.0,1046.75048828125,112.0,2.6785714285714284,22.930522571428572,50.4,28.0,28.0,24.465954214285713,24.465954214285713,0.0,0.0,514.1160714285714,6140.564946619217,764.0167968749998,1022.3166748046875,23.35576714285714,0.0,55.658878991380334,36.99922561645508,43.31469535827637,103.37532847188413,138.63844028674066,6.503275013528764,2.27973994333297,16.2,28.4,14.4,93.30636495796726,0.0,available,downlink_oai_default106_fair_clear_aimd_cap_fps10_track2_fair_grant_20260801_clear_aimd_cap,AIMD,21.366571,21.366571,0.0,461.088728,26.956775,28.0,28.0,5792.424027,10247.0,0.0,7299.51591796875,1002.940478515625,18.81706,50.4,50.3,50.9,0.0,0.0,0.0,51.0052616,51.3023368
Clean,SINR lookup,1300,1197,92.07692307692308,1047.37353515625,409.0,3.1784841075794623,27.29422912469438,50.4,28.0,28.0,29.081358004889974,29.081358004889974,0.0,0.0,586.3105134474328,6371.983823529412,789.5681640624999,1035.0883203125,27.787648234718827,,53.74038149602711,37.37163543701172,42.893362045288086,102.51097602304071,142.15346523560586,6.796676083467901,2.545712050050497,16.2,28.2,14.1,,,N/A,downlink_oai_default106_fair_clear_sinr_fps10_track2_sinr_clear_20260803_clear_sinr,SINR,27.950171,27.950171,0.0,567.177074,28.0,28.0,28.0,6159.930528,10247.0,0.0,25009.79833984375,1009.1931640625,25.145238,50.4,50.3,50.9,,,,51.9285424,54.6330544
Mild AWGN,Vanilla OAI,300,292,97.33333333333334,1043.6708984375,160.0,1.875,16.008779349999998,19.5,24.0,26.0,17.548164149999998,16.731172400000002,0.81699175,3.0013085102372967,392.71875,5939.629791465561,1065.5509375000001,1034.542392578125,16.3236688,11.515974999999996,54.99245447572321,249.31466579437256,342.03821420669556,318.59496457036585,473.3145384932868,7.125784002710134,4.753803485073149,134.6,267.2,143.6,48.98506319417847,70.0,available,downlink_oai_default106_awgn_mild_track2_vanilla_fps10_track2_sinr_awgn_ladder_20260803_mild_vanilla,Vanilla,15.948114,15.205627,0.742487,358.291099,22.701866,25.0,27.0,5563.951283,9737.0,3.4607,8487.148046875,1023.4658203125,14.443235,19.5,19.4,19.6,2.6744,13.98615,33.3333,25.7306256,27.5037988
Mild AWGN,AIMD,300,290,96.66666666666667,1043.90087890625,155.0,1.935483870967742,16.53233264516129,19.5,24.0,26.0,17.92068949677419,17.265003303225807,0.6556861935483871,2.4710543058394427,369.7225806451613,6129.531598513011,1064.9898046875,1036.7148291015624,16.841505032258066,6.878169999999997,57.067706948146224,243.05403232574463,279.9139142036438,315.9497244632803,362.47417886625044,7.287987507879734,4.612033546436578,126.0,229.6,126.9,48.9065606361829,217.0,available,downlink_oai_default106_fair_mild_awgn_aimd_cap_fps10_track2_fair_grant_20260801_mild_aimd_cap,AIMD,16.299933,15.703629,0.596304,337.570365,24.538046,25.0,27.0,6035.753876,9737.0,2.9337999999999997,8154.193359375,1017.0283203125,14.901545,19.5,19.5,19.6,3.9752,8.91274,30.4347,25.749608,26.7017608
Mild AWGN,SINR lookup,300,299,99.66666666666667,1046.23046875,145.0,2.0689655172413794,17.716410979310346,19.5,24.0,24.0,18.499785158620686,18.499785158620686,0.0,0.0,401.6551724137931,5779.270967741935,1067.7538671875,1036.502265625,18.072014013793105,,55.18682795809582,247.56121635437012,275.47919750213623,318.11380002181977,373.18408099235967,7.285695988684893,4.895948921330273,127.6,230.4,126.4,,,N/A,downlink_oai_default106_awgn_mild_track2_sinr_fps10_track2_sinr_awgn_ladder_20260803_mild_sinr,SINR,16.712435,16.712435,0.0,364.156288,24.0,24.0,24.0,5736.697386,8197.0,0.0,7640.728857421875,1017.695556640625,15.851373,19.5,19.5,19.6,,,,25.7922592,25.082659199999995
