time,mono_sec,mono_nsec,ue_id,lcid,pdu_bytes
21:24:34.029829,896119,93374097,1,4,94
21:24:34.040900,896119,104445208,1,4,464
21:24:34.041191,896119,104736163,1,4,959
21:24:34.041192,896119,104737594,1,4,1208
21:24:34.041748,896119,105293266,1,4,304
21:24:34.041749,896119,105293947,1,4,1507
21:24:34.041749,896119,105294716,1,4,356
21:24:34.046321,896119,109866731,1,4,464
21:24:34.046868,896119,110412934,1,4,697
21:24:34.046869,896119,110413971,1,4,1473
21:24:34.047479,896119,111024822,1,4,39
21:24:34.047480,896119,111025369,1,4,1507
21:24:34.047481,896119,111026107,1,4,621
21:24:34.052105,896119,115650748,1,4,464
21:24:34.052673,896119,116218597,1,4,432
21:24:34.052674,896119,116219379,1,4,1507
21:24:34.052675,896119,116220151,1,4,226
21:24:34.053216,896119,116760973,1,4,1286
21:24:34.053216,896119,116761602,1,4,884
21:24:34.057815,896119,121360294,1,4,464
21:24:34.058332,896119,121877218,1,4,169
21:24:34.058332,896119,121877841,1,4,1507
21:24:34.058333,896119,121878580,1,4,491
21:24:34.058980,896119,122524859,1,4,1021
21:24:34.058980,896119,122525318,1,4,860
21:24:34.063626,896119,127171177,1,4,464
21:24:34.064291,896119,127836380,1,4,193
21:24:34.064292,896119,127837149,1,4,1507
21:24:34.064292,896119,127837607,1,4,464
21:24:34.064780,896119,128325199,1,4,1048
21:24:34.064781,896119,128326037,1,4,1122
21:24:34.069301,896119,132846526,1,4,390
21:24:34.069302,896119,132847219,1,4,72
21:24:34.070265,896119,133810238,1,4,1440
21:24:34.070266,896119,133810901,1,4,730
21:24:34.070404,896119,133949809,1,4,782
21:24:34.070405,896119,133950621,1,4,1388
21:24:34.074969,896119,138514357,1,4,124
21:24:34.074970,896119,138515371,1,4,337
21:24:34.075468,896119,139013450,1,4,1175
21:24:34.075469,896119,139013949,1,4,863
21:24:34.076055,896119,139600586,1,4,649
21:24:34.076056,896119,139601551,1,4,1507
21:24:34.076057,896119,139602204,1,4,12
21:24:34.081685,896119,145229870,1,4,464
21:24:34.081804,896119,145349199,1,4,1041
21:24:34.081805,896119,145349883,1,4,1129
21:24:34.082243,896119,145787884,1,4,383
21:24:34.082243,896119,145788497,1,4,1498
21:24:34.086407,896119,149952544,1,4,14
21:24:34.086408,896119,149953307,1,4,447
21:24:34.086915,896119,150459936,1,4,1065
21:24:34.086915,896119,150460506,1,4,877
21:24:34.087501,896119,151045937,1,4,635
21:24:34.087501,896119,151046562,1,4,1310
21:24:34.092094,896119,155639074,1,4,202
21:24:34.092095,896119,155640601,1,4,259
