tick,tick_raw_ns,observation_available_raw_ns,ue0_c_hat_mbps,ue1_c_hat_mbps,ue0_source_event_raw_ns,ue1_source_event_raw_ns
1153,894296033720884,894296033858272,0.005972383497043364,0.005985500759041892,894295964262450,894295939837695
1154,894296083720884,894296083801989,0.005972383497043364,0.005985500759041892,894295964262450,894295939837695
1155,894296133720884,894296133806703,0.005972383497043364,0.005985500759041892,894296080440215,894296057143433
1156,894296183720884,894296183804336,0.005972383497043364,0.005985500759041892,894296080440215,894296057143433
1157,894296233720884,894296233803456,0.005972383497043364,0.005985500759041892,894296080440215,894296173139123
1158,894296283720884,894296283814029,0.005972383497043364,0.005985500759041892,894296197566907,894296173139123
1159,894296333720884,894296333815616,0.005972383497043364,0.005985500759041892,894296197566907,894296173139123
1160,894296383720884,894296383805657,0.005972383497043364,0.005985500759041892,894296313115044,894296289989936
1161,894296433720884,894296433791363,0.005972383497043364,0.005985500759041892,894296313115044,894296289989936
1162,894296483720884,894296483809955,0.005972383497043364,0.005985500759041892,894296429392448,894296405976174
1163,894296533720884,894296533806213,0.005972383497043364,0.005985500759041892,894296429392448,894296405976174
1164,894296583720884,894296583809320,0.005972383497043364,0.005985500759041892,894296429392448,894296522277726
1165,894296633720884,894296633838731,0.005972383497043364,0.005985500759041892,894296545533907,894296522277726
1166,894296683720884,894296683827006,0.005972383497043364,0.005985500759041892,894296545533907,894296522277726
1167,894296733720884,894296733910377,0.005972383497043364,0.005985500759041892,894296662250626,894296638136378
1168,894296783720884,894296783796599,0.005972383497043364,0.005985500759041892,894296662250626,894296638136378
1169,894296833720884,894296833804860,0.005972383497043364,0.005985500759041892,894296778956102,894296755121212
1170,894296883720884,894296883806278,0.005972383497043364,0.005985500759041892,894296778956102,894296755121212
1171,894296933720884,894296933815050,0.005972383497043364,0.005985500759041892,894296778956102,894296873910624
1172,894296983720884,894296983807302,0.005972383497043364,0.005985500759041892,894296897353941,894296873910624
1173,894297033720884,894297033806726,0.005972383497043364,0.005985500759041892,894296897353941,894296873910624
1174,894297083720884,894297083808188,0.005972383497043364,0.005985500759041892,894297016453647,894296992929836
1175,894297133720884,894297133806262,0.005972383497043364,0.005985500759041892,894297016453647,894296992929836
1176,894297183720884,894297183802221,0.005972383497043364,0.005985500759041892,894297132827356,894297109309315
1177,894297233720884,894297233800377,0.005972383497043364,0.005985500759041892,894297132827356,894297109309315
1178,894297283720884,894297283809541,0.005972383497043364,0.005985500759041892,894297132827356,894297224492666
1179,894297333720884,894297333797720,0.005972383497043364,0.005985500759041892,894297246976913,894297224492666
1180,894297383720884,894297383802303,0.005972383497043364,0.005985500759041892,894297246976913,894297224492666
1181,894297433720884,894297433807709,0.005972383497043364,0.005985500759041892,894297375621552,894297340100810
1182,894297483720884,894297483794550,0.005972383497043364,0.005985500759041892,894297375621552,894297340100810
1183,894297533720884,894297533805753,0.005972383497043364,0.005985500759041892,894297375621552,894297465908839
1184,894297583720884,894297583795333,0.005972383497043364,0.005985500759041892,894297489310062,894297465908839
1185,894297633720884,894297633808541,0.005972383497043364,0.005985500759041892,894297489310062,894297581850999
1186,894297683720884,894297683795387,0.005972383497043364,0.005985500759041892,894297604988757,894297581850999
1187,894297733720884,894297733802944,0.005972383497043364,0.005985500759041892,894297604988757,894297581850999
1188,894297783720884,894297783824923,0.005972383497043364,0.005985500759041892,894297720130134,894297696732310
1189,894297833720884,894297833797364,0.005972383497043364,0.005985500759041892,894297720130134,894297696732310
1190,894297883720884,894297883802512,0.005972383497043364,0.005985500759041892,894297720130134,894297813598265
1191,894297933720884,894297933809760,0.005972383497043364,0.005985500759041892,894297836647744,894297813598265
1192,894297983720884,894297983888489,0.005972383497043364,0.005985500759041892,894297836647744,894297813598265
1193,894298033720884,894298033802691,0.005972383497043364,0.005985500759041892,894297836647744,894297813598265
1194,894298083720884,894298083813047,0.005972383497043364,0.005985500759041892,894298030990133,894298007461063
1195,894298133720884,894298133796291,0.005972383497043364,0.005985500759041892,894298030990133,894298007461063
1196,894298183720884,894298183807509,0.005972383497043364,0.005985500759041892,894298030990133,894298122180830
1197,894298233720884,894298233809186,0.005972383497043364,0.005985500759041892,894298145325638,894298122180830
1198,894298283720884,894298283808141,0.005972383497043364,0.005985500759041892,894298145325638,894298122180830
1199,894298333720884,894298333802099,0.005972383497043364,0.005985500759041892,894298260280358,894298236977965
