ego_x,ego_y,ego_z
-25.522138596,69.715927124,0.000000000
-24.022138596,69.717842102,0.000000000
-22.522138596,69.719757080,0.000000000
-21.022142410,69.721679688,0.000000000
-19.522142410,69.723594666,0.000000000
-18.022142410,69.725517273,0.000000000
-16.522146225,69.727432251,0.000000000
-15.022146225,69.729347229,0.000000000
-13.522146225,69.731269836,0.000000000
-12.022150040,69.733184814,0.000000000
-10.522150040,69.735107422,0.000000000
-9.022150040,69.737022400,0.000000000
-7.522153854,69.738937378,0.000000000
-6.022153854,69.740859985,0.000000000
-4.522155762,69.742774963,0.000000000
-3.022156000,69.744689941,0.000000000
-1.522157788,69.746612549,0.000000000
-0.022157814,69.748527527,0.000000000
1.477840304,69.750450134,0.000000000
2.977838278,69.752365112,0.000000000
4.477838516,69.754280090,0.000000000
5.977836609,69.756202698,0.000000000
7.477834702,69.758117676,0.000000000
8.977834702,69.760040283,0.000000000
10.477832794,69.761955261,0.000000000
11.977831841,69.763870239,0.000000000
13.477830887,69.765792847,0.000000000
14.977828979,69.767707825,0.000000000
16.477827072,69.769622803,0.000000000
17.977827072,69.771545410,0.000000000
19.477825165,69.773460388,0.000000000
20.977823257,69.775382996,0.000000000
22.477823257,69.777297974,0.000000000
