ego_x,ego_y,ego_z
6.516562939,-60.901016235,0.000000000
9.500884056,-60.900856018,0.000000000
12.500884056,-60.902076721,0.000000000
15.500880241,-60.903305054,0.000000000
18.500879288,-60.904533386,0.000000000
21.500879288,-60.905754089,0.000000000
24.500879288,-60.906982422,0.000000000
27.500879288,-60.908203125,0.000000000
30.500879288,-60.909431458,0.000000000
33.500881195,-60.910659790,0.000000000
36.500881195,-60.911880493,0.000000000
39.500881195,-60.913108826,0.000000000
42.500881195,-60.914337158,0.000000000
45.500881195,-60.915557861,0.000000000
48.500881195,-60.916786194,0.000000000
51.500881195,-60.918014526,0.000000000
54.500881195,-60.919235229,0.000000000
57.500881195,-60.920463562,0.000000000
