ego_x,ego_y,ego_z
25.642295837,66.281341553,0.000000000
24.142295837,66.279418945,0.000000000
22.642297745,66.277503967,0.000000000
21.142297745,66.275581360,0.000000000
19.642299652,66.273666382,0.000000000
18.142301559,66.271751404,0.000000000
16.642301559,66.269828796,0.000000000
15.142303467,66.267913818,0.000000000
13.642305374,66.265998840,0.000000000
12.142306328,66.264076233,0.000000000
10.642307281,66.262161255,0.000000000
9.142309189,66.260238647,0.000000000
7.642309189,66.258323669,0.000000000
6.142311096,66.256408691,0.000000000
4.642313004,66.254486084,0.000000000
3.142313242,66.252571106,0.000000000
1.642315030,66.250648499,0.000000000
0.142316967,66.248733521,0.000000000
-1.357683063,66.246818542,0.000000000
-2.857681036,66.244895935,0.000000000
-4.357681274,66.242980957,0.000000000
-5.857679367,66.241065979,0.000000000
-7.357679367,66.239143372,0.000000000
-8.857675552,66.237228394,0.000000000
-10.357675552,66.235305786,0.000000000
-11.857675552,66.233390808,0.000000000
-13.357671738,66.231475830,0.000000000
-14.857671738,66.229553223,0.000000000
-16.357671738,66.227638245,0.000000000
-17.857667923,66.225715637,0.000000000
-19.357667923,66.223800659,0.000000000
-20.857667923,66.221885681,0.000000000
-22.357664108,66.219963074,0.000000000
-23.857664108,66.218048096,0.000000000
-25.357664108,66.216125488,0.000000000
-26.857660294,66.214210510,0.000000000
-28.268901825,66.190597534,0.000000000
-29.623638153,66.066238403,0.000000000
-30.964206696,65.834609985,0.000000000
-32.282127380,65.497184753,0.000000000
-33.569072723,65.056098938,0.000000000
-34.816898346,64.514152527,0.000000000
-36.017707825,63.874752045,0.000000000
-37.163913727,63.141963959,0.000000000
-38.216030121,62.341384888,0.000000000
-39.126056671,61.450984955,0.000000000
-39.913864136,60.450832367,0.000000000
-40.566337585,59.357563019,0.000000000
-41.072612762,58.189392090,0.000000000
-41.424266815,56.965751648,0.000000000
-41.615444183,55.707023621,0.000000000
-41.653518677,54.353664398,0.000000000
-41.657741547,52.853672028,0.000000000
-41.661960602,51.353675842,0.000000000
-41.666179657,49.853683472,0.000000000
-41.670402527,48.353687286,0.000000000
-41.674621582,46.853694916,0.000000000
-41.678844452,45.353698730,0.000000000
-41.683063507,43.853706360,0.000000000
-41.687282562,42.353710175,0.000000000
-41.691505432,40.853717804,0.000000000
-41.695724487,39.353725433,0.000000000
-41.699947357,37.853729248,0.000000000
-41.704166412,36.353736877,0.000000000
-41.708389282,34.853740692,0.000000000
-41.712608337,33.353748322,0.000000000
-41.716831207,31.853752136,0.000000000
-41.721050262,30.353759766,0.000000000
-41.725273132,28.853765488,0.000000000
-41.729492188,27.353771210,0.000000000
-41.733715057,25.853776932,0.000000000
-41.737934113,24.353782654,0.000000000
-41.742156982,22.853788376,0.000000000
-41.746379852,21.353794098,0.000000000
-41.750598907,19.853801727,0.000000000
-41.754821777,18.353807449,0.000000000
-41.759040833,16.853813171,0.000000000
-41.763263702,15.353818893,0.000000000
-41.767482758,13.853824615,0.000000000
-41.771705627,12.353830338,0.000000000
-41.775924683,10.853836060,0.000000000
-41.780147552,9.353843689,0.000000000
-41.784366608,7.853847980,0.000000000
-41.788589478,6.353855610,0.000000000
-41.792808533,4.853859425,0.000000000
-41.797031403,3.353866816,0.000000000
-41.801250458,1.853870749,0.000000000
-41.805473328,0.353878349,0.000000000
-41.809692383,-1.146113992,0.000000000
-41.813915253,-2.646109104,0.000000000
-41.818134308,-4.146102905,0.000000000
-41.822357178,-5.646097183,0.000000000
-41.826580048,-7.146090984,0.000000000
-41.832901001,-8.660694122,0.000000000
-41.841297150,-10.160670280,0.000000000
-41.849227905,-11.653601646,0.000000000
-41.853183746,-13.136893272,0.000000000
-41.852428436,-14.620189667,0.000000000
-41.846935272,-16.103475571,0.000000000
-41.836894989,-17.591596603,0.000000000
-41.825576782,-19.091552734,0.000000000
-41.814258575,-20.591510773,0.000000000
-41.802940369,-22.091466904,0.000000000
-41.791622162,-23.591424942,0.000000000
-41.780303955,-25.091382980,0.000000000
-41.768985748,-26.591339111,0.000000000
-41.757667542,-28.091297150,0.000000000
-41.746349335,-29.591253281,0.000000000
-41.735031128,-31.091211319,0.000000000
-41.723712921,-32.591171265,0.000000000
-41.712394714,-34.091129303,0.000000000
-41.701076508,-35.591087341,0.000000000
-41.689758301,-37.091041565,0.000000000
