ego_x,ego_y,ego_z
59.413364410,24.849102020,0.000000000
61.413356781,24.854660034,0.000000000
63.413349152,24.860216141,0.000000000
65.413337708,24.865774155,0.000000000
67.413330078,24.871330261,0.000000000
69.413322449,24.876888275,0.000000000
71.413314819,24.882444382,0.000000000
73.413307190,24.888002396,0.000000000
75.413299561,24.893558502,0.000000000
77.413299561,24.899116516,0.000000000
79.413284302,24.904672623,0.000000000
83.043273926,24.914760590,0.000000000
83.043273926,24.914760590,0.000000000
85.043266296,24.920316696,0.000000000
87.043258667,24.925874710,0.000000000
89.043251038,24.931430817,0.000000000
91.043243408,24.936988831,0.000000000
93.260314941,24.802600861,0.000000000
95.443290710,24.386388779,0.000000000
97.555358887,23.695146561,0.000000000
99.562004089,22.740167618,0.000000000
101.430458069,21.537046432,0.000000000
103.130195618,20.105442047,0.000000000
104.633460999,18.468734741,0.000000000
105.910308838,16.723594666,0.000000000
107.020530701,14.871212006,0.000000000
107.956581116,12.925009727,0.000000000
108.710609436,10.901317596,0.000000000
109.276298523,8.817115784,0.000000000
109.648895264,6.689895153,0.000000000
109.825271606,4.537504196,0.000000000
109.849266052,2.486750364,0.000000000
109.862899780,0.486796767,0.000000000
109.876533508,-1.512923360,0.000000000
109.896400452,-4.425507069,0.000000000
109.896400452,-4.425507069,0.000000000
109.910041809,-6.425460815,0.000000000
109.929878235,-9.334196091,0.000000000
109.929878235,-9.334196091,0.000000000
