ego_x,ego_y,ego_z
106.016487122,51.269329071,0.000000000
106.030128479,49.269374847,0.000000000
106.043762207,47.269424438,0.000000000
106.057403564,45.269470215,0.000000000
106.078407288,42.189540863,0.000000000
106.078407288,42.189540863,0.000000000
106.092048645,40.189586639,0.000000000
106.105690002,38.189632416,0.000000000
106.119323730,36.189682007,0.000000000
106.132965088,34.189727783,0.000000000
106.146606445,32.189773560,0.000000000
106.160247803,30.189817429,0.000000000
106.173881531,28.189863205,0.000000000
106.187522888,26.189910889,0.000000000
106.201164246,24.189956665,0.000000000
106.214805603,22.190004349,0.000000000
106.228439331,20.190050125,0.000000000
106.242080688,18.190097809,0.000000000
106.255722046,16.190143585,0.000000000
106.269363403,14.190189362,0.000000000
106.283004761,12.190237045,0.000000000
106.296638489,10.190282822,0.000000000
106.310279846,8.190328598,0.000000000
106.323921204,6.190374851,0.000000000
106.337562561,4.190424442,0.000000000
106.351196289,2.190469980,0.000000000
106.364837646,0.190515801,0.000000000
106.378479004,-1.809438467,0.000000000
106.396484375,-4.449376106,0.000000000
106.396484375,-4.449376106,0.000000000
106.410125732,-6.449329853,0.000000000
106.429962158,-9.358065605,0.000000000
106.429962158,-9.358065605,0.000000000
