ego_x,ego_y,ego_z
57.500881195,-67.920463562,0.000000000
54.500881195,-67.919235229,0.000000000
51.500881195,-67.918014526,0.000000000
48.500881195,-67.916786194,0.000000000
45.500881195,-67.915557861,0.000000000
42.500881195,-67.914337158,0.000000000
39.500881195,-67.913108826,0.000000000
36.500881195,-67.911880493,0.000000000
33.500881195,-67.910659790,0.000000000
30.500879288,-67.909431458,0.000000000
27.500879288,-67.908203125,0.000000000
24.500879288,-67.906982422,0.000000000
21.500879288,-67.905754089,0.000000000
18.500879288,-67.904533386,0.000000000
15.500880241,-67.903305054,0.000000000
12.500884056,-67.902076721,0.000000000
9.500884056,-67.900856018,0.000000000
6.516562939,-67.901016235,0.000000000
3.569830418,-67.923736572,0.000000000
0.586922646,-67.969902039,0.000000000
-2.423286915,-68.016944885,0.000000000
-5.442325592,-68.051559448,0.000000000
-8.442161560,-68.082801819,0.000000000
-11.441999435,-68.114044189,0.000000000
-14.441836357,-68.145294189,0.000000000
-17.441675186,-68.176536560,0.000000000
-20.441511154,-68.207778931,0.000000000
-23.441349030,-68.239028931,0.000000000
