wall_time_iso,elapsed_s,run_id,run_group,stream_id,transport_label,role,frame_id,carla_timestamp,result_received,front_ms,back_ms,round_trip_ms,transport_round_trip_ms_estimate,total_pipeline_ms_estimate,feature_payload_bytes,feature_payload_bytes_uncompressed,feature_payload_chunks,result_payload_bytes_estimate,result_payload_chunks_estimate,mask_present,segmentation_class_count,gt_camera_available,miou_binary,miou_3class_macro,miou_vehicle_iou,miou_person_iou,gt_vehicle_pixels,gt_person_pixels,object_count,radar_projected_points,spatial_map_enabled,spatial_map_dropped_packets,bind_host,remote_host,camera_source_port,remote_port,remote_source_port,camera_result_port,camera_width,camera_height,model_input_width,model_input_height,quantization_mode,entropy_coder
2026-07-16T00:07:50.854,6.880081052077003,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812817,97911.05550163554,True,46.26601294148713,6.219453061930835,38.8873799238354,32.66792686190456,85.15339286532253,1131059,2903040,19,2897,1,True,3,0,nan,nan,nan,nan,0,0,1,422,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:50.940,6.9660840830765665,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812818,97911.15550163703,True,43.61410206183791,5.629241932183504,38.0453709512949,32.416129019111395,81.65947301313281,1135183,2903040,19,2341,1,True,2,0,nan,nan,nan,nan,0,0,0,420,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.028,7.054086645017378,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812819,97911.25550163852,True,46.27883294597268,5.811393028125167,37.899379967711866,32.0879869395867,84.17821291368455,1134389,2903040,19,2357,1,True,2,0,nan,nan,nan,nan,0,0,0,419,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.128,7.154154794989154,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812820,97911.35550164,True,44.73824903834611,15.719522954896092,49.50344399549067,33.78392104059458,94.24169303383678,1136077,2903040,19,2356,1,True,2,0,nan,nan,nan,nan,0,0,0,404,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.215,7.240219324012287,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812821,97911.4555016415,True,44.3626589840278,5.838796962052584,38.522189017385244,32.68339205533266,82.88484800141305,1137750,2903040,19,2247,1,True,2,0,nan,nan,nan,nan,0,0,0,418,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.302,7.327345699071884,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812822,97911.55550164299,True,44.801095966249704,5.94870001077652,38.211841019801795,32.263141009025276,83.0129369860515,1127277,2903040,19,2929,1,True,3,0,nan,nan,nan,nan,0,0,1,406,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.396,7.421823801007122,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812823,97911.65550164448,True,50.17772305291146,7.873957045376301,43.206873000599444,35.33291595522314,93.3845960535109,1131261,2903040,19,2362,1,True,3,0,nan,nan,nan,nan,0,0,0,423,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.488,7.513478200067766,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812824,97911.75550164597,True,46.329722041264176,5.6597699876874685,39.63666001800448,33.97689003031701,85.96638205926865,1133657,2903040,19,2398,1,True,2,0,nan,nan,nan,nan,0,0,0,404,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.579,7.604233996011317,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812825,97911.85550164746,True,45.73387198615819,6.040050997398794,39.5716120256111,33.53156102821231,85.3054840117693,1134856,2903040,19,2377,1,True,2,0,nan,nan,nan,nan,0,0,0,429,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
2026-07-16T00:07:51.683,7.708569822018035,20260716_000743_front_fusion_ego_2853,ctrl_floor_30mph,fusion_ego_2853,front,front,6812826,97911.95550164895,True,46.975785051472485,16.9470829423517,49.821509048342705,32.874426105991006,96.79729409981519,1134592,2903040,19,2770,1,True,2,0,nan,nan,nan,nan,0,0,1,402,False,0,127.0.0.1,127.0.0.1,51001,51002,51003,51004,854,480,768,432,per_channel_uint8,zlib
