episode_id,step_index,timestamp_s,action_id,mode,profile_id,target_fps,channel_rung_true,channel_rung_observed,true_capacity_mbps,estimated_capacity_mbps,offered_mbps,captured,actual_delivery,actual_latency_ms,c1_estimate_miss,pending_count,scheduler_credit,true_expected_g_m,true_risk_p95_m,true_expected_reward,true_safe,payload_provenance,rate_provenance,truth_object_count,observed_object_count,controller,controller_training,controller_feedback_source,controller_feedback_reward,selection_changed_from_greedy,shield_feasible,shield_over_budget,shield_ood,degraded_tier_used,shield_bound_m,shield_expected_g_m,shield_risk_sigma_m,shield_expected_task_utility,shield_prb_cost,shield_expected_reward,matched_true_expected_reward,selected_true_safe,matched_true_risk_p95_m,selected_matched_true_safe,matched_true_unobserved_sentinel,selected_raw_safe,selected_admitted_split,raw_safe_action_count,candidate_action_count,raw_safe_action_ids,candidate_action_ids,false_admit_selected,false_admit_selected_matched,true_feasible_frame,matched_true_feasible_frame,false_reject_frame,false_reject_frame_matched,clairvoyant_best_action_id,clairvoyant_best_mode,shield_skip_clairvoyant_split,clairvoyant_best_reward,selected_in_true_candidate_set,oracle_reward_gap_safe_only,oracle_action_set_mismatch,unobserved_gt_object_count,bandit_score,bandit_mean,bandit_bonus,bandit_action_updates,scenario,scenario_family,replay_split
pcvv2_dense_tr01,10,0.5,SKIP,SKIP,,0,mid,strong,17.292218971275084,10.248632754613201,0.0,False,,,False,0,0.0,1.2235374326439596,1.2235374326439596,0.8843749031748611,True,none,none,2,2,linucb,True,matched_true_expected_reward,0.8843749031748611,False,False,True,False,False,2.4088090676625016,2.2640847184484643,0.0,0.9149633389909602,0.0,0.8583612210297485,0.8843749031748611,True,1.2235374326439596,True,False,False,False,0,1,,SKIP,False,False,True,True,True,True,SKIP,SKIP,False,0.8843749031748611,True,0.0,False,0,1.2179288711287153,0.7407763296151798,0.47715254151263264,5,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,11,0.55,SKIP,SKIP,,0,mid,strong,17.292218971275084,11.899492844218187,0.0,False,,,False,0,0.0,1.3085422287374402,1.3085422287374402,0.8822497832725241,True,none,none,2,2,linucb,True,matched_true_expected_reward,0.8822497832725241,False,False,True,False,False,3.143492064290999,2.9520061738741705,0.0,0.9149633389909602,0.0,0.8411631846441059,0.8822497832725241,True,1.3085422287374402,True,False,False,False,0,1,,SKIP,False,False,True,True,True,True,SKIP,SKIP,False,0.8822497832725241,True,0.0,False,0,1.1940437260144265,0.7957484259225421,0.39829530009098163,6,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,12,0.6000000000000001,SKIP,SKIP,,0,mid,mid,17.292218971275084,17.080221401574455,0.0,False,,,False,0,0.0,1.423366372427265,1.423366372427265,0.8793791796802786,True,none,none,2,2,linucb,True,matched_true_expected_reward,0.8793791796802786,False,False,True,False,False,4.008413208621115,3.7719316451342517,0.0,0.9149633389909602,0.0,0.8206650478626039,0.8793791796802786,True,1.423366372427265,True,False,False,False,0,1,,SKIP,False,False,True,True,True,True,SKIP,SKIP,False,0.8793791796802786,True,0.0,False,0,1.1765236602445754,0.8399662781075163,0.33655738213615616,7,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,13,0.65,SKIP,SKIP,,0,mid,mid,17.292218971275084,18.044936804400106,0.0,False,,,False,0,0.0,1.5693823956488542,1.5693823956488542,0.8757287790997388,True,none,none,2,2,linucb,True,matched_true_expected_reward,0.8757287790997388,False,False,True,False,False,4.628667218381384,4.349740314131275,0.0,0.9149633389909602,0.0,0.8062198311376783,0.8757287790997388,True,1.5693823956488542,True,False,False,False,0,1,,SKIP,False,False,True,True,True,True,SKIP,SKIP,False,0.8757287790997388,True,0.0,False,0,1.1577200668830936,0.8503764326351267,0.30734363424706396,8,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,14,0.7000000000000001,SKIP,SKIP,,0,mid,mid,17.292218971275084,17.88132355807645,0.0,False,,,False,0,0.0,1.7460996128983362,1.7460996128983362,0.8713108486685017,True,none,none,2,2,linucb,True,matched_true_expected_reward,0.8713108486685017,False,False,True,False,False,5.254134142894938,4.9330495416209486,0.0,0.9149633389909602,0.0,0.7916371004504364,0.8713108486685017,True,1.7460996128983362,True,False,False,False,0,1,,SKIP,False,False,True,True,True,True,SKIP,SKIP,False,0.8713108486685017,True,0.0,False,0,1.1426975516278173,0.854430954826598,0.28826659680031647,9,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,15,0.75,SKIP,SKIP,,0,mid,mid,17.292218971275084,16.946341484527004,0.0,False,,,False,0,0.0,1.9539373494322458,1.9539373494322458,0.866114905255154,True,none,none,2,2,linucb,True,matched_true_expected_reward,0.866114905255154,False,False,True,False,False,4.64977733535195,4.291263050181415,0.0,0.9149633389909602,0.0,0.8076817627364248,0.866114905255154,True,1.9539373494322458,True,False,False,False,0,1,,SKIP,False,False,True,True,True,True,SKIP,SKIP,False,0.866114905255154,True,0.0,False,0,1.106720863689244,0.8343376827095697,0.2723831809787715,10,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,16,0.8,SKIP,SKIP,,0,mid,mid,17.292218971275084,17.516601732622068,0.0,False,,,False,0,0.0,2.1906113591296164,2.1906113591296164,0.8601980550127197,False,none,none,2,2,linucb,True,matched_true_expected_reward,0.8601980550127197,False,False,True,False,False,3.7812571143924774,3.390275756208421,0.0,0.9149633389909602,0.0,0.8302064450857496,0.8601980550127197,False,2.1906113591296164,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.8601980550127197,True,0.0,False,0,1.1021142419872672,0.8204786038698737,0.28163563811649056,11,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,17,0.8500000000000001,SKIP,SKIP,,0,mid,mid,17.292218971275084,17.05162006303565,0.0,False,,,False,0,0.0,2.4616922230582787,2.4616922230582787,0.8534210334145031,False,none,none,2,2,linucb,True,matched_true_expected_reward,0.8534210334145031,False,False,True,False,False,4.128162008334041,3.69444985739155,0.0,0.9149633389909602,0.0,0.8226020925561714,0.8534210334145031,False,2.4616922230582787,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.8534210334145031,True,0.0,False,0,1.0948656590612786,0.8251070988683773,0.2697585601919985,12,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,18,0.9,SKIP,SKIP,,0,mid,mid,17.292218971275084,15.90537150394421,0.0,False,,,False,0,0.0,2.7606665389313916,2.7606665389313916,0.8459466755176753,False,none,none,2,2,linucb,True,matched_true_expected_reward,0.8459466755176753,False,False,True,False,False,5.273763271770611,4.792443893616555,0.0,0.9149633389909602,0.0,0.7951522416505463,0.8459466755176753,False,2.7606665389313916,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.8459466755176753,True,0.0,False,0,1.0875845421833599,0.8355378982760765,0.25204664390638054,13,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
pcvv2_dense_tr01,19,0.9500000000000001,SKIP,SKIP,,0,mid,mid,17.292218971275084,16.03627342049122,0.0,False,,,False,0,0.0,3.1000801513234197,3.1000801513234197,0.8374613352078747,False,none,none,2,2,linucb,True,matched_true_expected_reward,0.8374613352078747,False,False,True,False,False,5.935547379243039,5.411277811338243,0.0,0.9149633389909602,0.0,0.7796813937075041,0.8374613352078747,False,3.1000801513234197,False,False,False,False,0,1,,SKIP,False,False,False,False,False,False,SKIP,SKIP,False,0.8374613352078747,True,0.0,False,0,1.0857298760796328,0.8407999661014065,0.24492990997732347,14,policy_corpus_vehicle_v2__train__dense__01,dense_urban,train
