profile,family,quantizer,bit_width,q,q_e4,layout,original_inner_median_bytes,compressed_median_bytes,compressed_p95_bytes,compression_ratio,size_change_fraction,forward_layout_median_ms,zstd_compression_median_ms,zstd_decompression_median_ms,inverse_layout_median_ms,complete_codec_median_ms,codec_latency_change_median_ms
noAE_UINT8_q00000,noAE,UINT8,8,0.00,0,CURRENT_CELL_MAJOR,5507116.0,3575780.5,3617265.55,0.6493596832829561,0.0,0.0063035,6.646507,4.253919,0.0055325,10.750102,0.011764499999999956
noAE_UINT8_q00000,noAE,UINT8,8,0.00,0,CHANNEL_MAJOR,5507116.0,3362738.5,3418413.3,0.6087288260883736,-0.0625706495807774,18.152227,8.4412305,4.196614,9.3533715,40.187518,29.449180499999997
noAE_UINT8_q00000,noAE,UINT8,8,0.00,0,CHANNEL_MAJOR_MODULAR_DELTA,5507116.0,3403829.5,3585901.8,0.6159743636120067,-0.05141267702695029,38.9416745,8.1050935,3.815315,60.9920245,112.009584,101.2712465
noAE_UINT8_q03000,noAE,UINT8,8,0.30,3000,CURRENT_CELL_MAJOR,3858348.0,2518367.5,2551842.7,0.6526399907745492,0.0,0.0058075,4.8725195,2.1176045,0.006868,7.0219995,0.013307999999999431
noAE_UINT8_q03000,noAE,UINT8,8,0.30,3000,CHANNEL_MAJOR,3858348.0,2410758.0,2434724.4,0.6245608649252219,-0.043023912488113214,10.452621,6.1972155,2.9472495,5.6808505,25.4184125,18.409720999999998
noAE_UINT8_q03000,noAE,UINT8,8,0.30,3000,CHANNEL_MAJOR_MODULAR_DELTA,3858348.0,2548985.0,2603010.95,0.6575192061634928,0.007476120767826444,24.869567,5.7378235,2.7338805,39.1212125,72.667392,65.65870050000001
noAE_UINT8_q05000,noAE,UINT8,8,0.50,5000,CURRENT_CELL_MAJOR,2757292.0,1790119.5,1816662.05,0.649830238781384,0.0,0.0054375,3.6406315,1.5209875,0.006399,5.1679435,0.01058849999999989
noAE_UINT8_q05000,noAE,UINT8,8,0.50,5000,CHANNEL_MAJOR,2757292.0,1730939.5,1752771.25,0.6279809138821714,-0.033623127388141216,3.56314,4.314264,2.1001915,1.9711915,12.1978615,7.0405065
noAE_UINT8_q05000,noAE,UINT8,8,0.50,5000,CHANNEL_MAJOR_MODULAR_DELTA,2757292.0,1865321.0,1916559.1,0.6755751431114296,0.039617892171845526,15.523474,4.0515465,1.9666695,28.6764675,50.195714,45.038359
noAE_UINT8_q07000,noAE,UINT8,8,0.70,7000,CURRENT_CELL_MAJOR,1656236.0,1065089.0,1082038.3,0.6432697959409166,0.0,0.00455,2.3117015,0.9431985,0.003145,3.266103,0.007629500000000178
noAE_UINT8_q07000,noAE,UINT8,8,0.70,7000,CHANNEL_MAJOR,1656236.0,1038094.5,1051370.15,0.626846609948703,-0.025530789873619564,1.529217,2.67979,1.2514175,0.783419,6.2476215,2.989148
noAE_UINT8_q07000,noAE,UINT8,8,0.70,7000,CHANNEL_MAJOR_MODULAR_DELTA,1656236.0,1143420.0,1174071.05,0.6914871138910759,0.07495660180909214,8.7157705,2.485943,1.1883845,15.93879,28.360235,25.1017615
noAE_UINT8_q09000,noAE,UINT8,8,0.90,9000,CURRENT_CELL_MAJOR,555180.0,349383.5,355307.05,0.6300990078668179,0.0,0.0032685,0.895606,0.326691,0.0017785,1.229727,0.006300500000000042
noAE_UINT8_q09000,noAE,UINT8,8,0.90,9000,CHANNEL_MAJOR,555180.0,344607.0,349817.5,0.620876872140567,-0.01463601054931385,0.4592515,0.9949505,0.432446,0.1860525,2.0754515,0.8520249999999998
noAE_UINT8_q09000,noAE,UINT8,8,0.90,9000,CHANNEL_MAJOR_MODULAR_DELTA,555180.0,394200.5,402038.95,0.7115912012770633,0.12933236268080273,2.9234735,0.9403365,0.4088095,5.385374,9.688331,8.4649045
noAE_UINT8_q09800,noAE,UINT8,8,0.98,9800,CURRENT_CELL_MAJOR,114860.0,71279.5,72134.75,0.6200468913242208,0.0,0.002374,0.202205,0.0836445,0.0012865,0.2910775,0.004178499999999974
noAE_UINT8_q09800,noAE,UINT8,8,0.98,9800,CHANNEL_MAJOR,114860.0,70384.0,71239.9,0.6119908883640954,-0.01299257051820768,0.049835,0.2083425,0.0945305,0.0391285,0.389815,0.10291600000000001
noAE_UINT8_q09800,noAE,UINT8,8,0.98,9800,CHANNEL_MAJOR_MODULAR_DELTA,114860.0,82731.5,84151.25,0.7194717346117012,0.1603505229663209,0.563721,0.202284,0.0970165,1.117076,1.9795535,1.6926545
