scenario,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,selected_matched_true_safe_pct,false_admit_selected_pct,false_admit_selected_matched_pct,false_reject_frame_pct,mean_bound_m,p95_true_risk_m,p95_matched_true_risk_m,mean_reward,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,attempts,capture_attempt_pct,delivery_pct_attempted,truth_objects,observed_objects,unobserved_gt_objects,observation_coverage_pct
ALL_REAL_REPLAY,clairvoyant,1699,72.3955267804591,27.604473219540903,12.183637433784579,7.062978222483814,0.0,92.93702177751618,95.3502060035315,0.0,0.0,0.0,1.1604349676351617,2.3683560261162913,1.993797630487315,0.6085671791191585,0.05231486976173546,0.0,0.0,103,6.062389640965274,100.0,3185,1439,1746,45.18053375196232
ALL_REAL_REPLAY,shielded,1699,73.63154796939376,26.36845203060624,29.193643319599765,31.54796939376104,0.0,83.51971748087111,92.81930547380813,10.123602118893468,0.824014125956445,2.177751618599176,1.389398957426706,8.133028182630886,2.140781315656346,0.3748774273100825,0.05447494925998893,0.007721322326238372,34.255444379046494,58,3.4137728075338436,100.0,3185,1439,1746,45.18053375196232
ctrl_busylight_200k,clairvoyant,600,61.16666666666667,38.83333333333333,4.833333333333333,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.275762884319863,1.9491507123997676,1.81889292519261,0.8411362763620787,0.05815903930446531,0.0,0.0,30,5.0,100.0,1590,466,1124,29.30817610062893
ctrl_busylight_200k,shielded,600,69.66666666666667,30.333333333333336,26.666666666666668,28.499999999999996,0.0,82.66666666666667,100.0,17.333333333333336,0.0,4.833333333333333,1.3611161093343207,30.695622671696167,1.790906545465143,0.40484211010373156,0.06356135691237301,0.00538864698357736,44.0,19,3.166666666666667,100.0,1590,466,1124,29.30817610062893
ctrl_obeylight_200k,clairvoyant,600,89.66666666666666,10.333333333333334,9.833333333333332,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.3845292269640213,1.991435143252183,1.991435143252183,0.7073495925289403,0.059364095079294694,0.0,0.0,47,7.833333333333334,100.0,1355,808,547,59.6309963099631
ctrl_obeylight_200k,shielded,600,88.16666666666667,11.833333333333334,40.666666666666664,43.5,0.0,91.0,92.83333333333333,3.5000000000000004,1.6666666666666667,1.3333333333333335,1.9215098822143863,2.0252841919138502,2.0237424941449786,0.5410335209143222,0.06086564141752521,0.003279187732748018,41.5,21,3.5000000000000004,100.0,1355,808,547,59.6309963099631
oppwin_fast_test,clairvoyant,499,65.13026052104209,34.86973947895792,23.847695390781563,24.04809619238477,0.0,75.95190380761522,84.16833667334669,0.0,0.0,0.0,0.7523121107050283,2.3972673969740637,2.3831615204857206,0.21014852903574863,0.03681178976940388,0.0,0.0,26,5.210420841683367,100.0,240,165,75,68.75
oppwin_fast_test,shielded,499,60.92184368737475,39.078156312625254,18.43687374749499,20.841683366733466,0.0,75.55110220440882,84.16833667334669,9.418837675350701,0.8016032064128256,0.0,0.7835936547870735,2.4520355845485056,2.3785929921814115,0.13906086250300184,0.0358652100095837,0.013170085483097008,13.827655310621243,18,3.6072144288577155,100.0,240,165,75,68.75
