profile_id,display_profile_id,sensitivity_floor_id,quality_floor_config_sha256,max_recall_drop,max_class_recall_drop,max_localization_increase_m,max_fp_per_frame_increase,recall_drop,vehicle_recall_drop,pedestrian_recall_drop,localization_increase_m,vehicle_localization_increase_m,pedestrian_localization_increase_m,vehicle_precision_drop,pedestrian_precision_drop,fp_per_frame_increase,vehicle_fp_per_frame_increase,pedestrian_fp_per_frame_increase,miou_drop_secondary,screen_basis,incremental_recall_gate_pass,incremental_vehicle_recall_gate_pass,incremental_pedestrian_recall_gate_pass,incremental_aggregate_localization_gate_pass,incremental_aggregate_fp_gate_pass,roi_incremental_screen_pass,absolute_object_quality_gate_status,class_precision_localization_gate_status,difficult_object_gate_status,difficult_nonempty_gate_status,quality_gate_status,quality_gate_reason,segmentation_used_as_veto,final_eligible,decision_status
ae128__u6__q0.9__zstd3__ckpt601984b96d85,ae128/u6/q0.9,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,0.00512952,0.00445705,0.00628931,0.11712105,0.10299583,0.14307595,0.02446575,0.02702788,0.14338575,0.10453284,0.03885291,0.47183622,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,False,False,False,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,True,True,True,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,-0.00025648,0.0,-0.00069881,0.0017377,0.0023299,0.00052595,-0.00162295,-0.00081277,-0.00786309,-0.00693802,-0.00092507,0.05972564,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,True,True,True,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae128__u8__q0.5__zstd3__ckpt601984b96d85,ae128/u8/q0.5,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,-0.00128238,-0.00324149,0.00209644,0.06536164,0.05344396,0.08806151,0.00708246,0.01196411,0.05180389,0.0346901,0.01711378,0.08878944,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,True,False,False,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae128__u8__q0.7__zstd3__ckpt601984b96d85,ae128/u8/q0.7,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,-0.00128238,-0.00324149,0.00209644,0.06927578,0.05732851,0.09202934,0.0086437,0.01497702,0.06336725,0.04162812,0.02173913,0.13604864,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,True,False,False,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae128__u8__q0.98__zstd3__ckpt601984b96d85,ae128/u8/q0.98,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,0.05488587,0.06766613,0.03284416,0.32990833,0.36344597,0.26483877,0.01815461,0.04217155,0.04764107,-0.00370028,0.05134135,0.6255697,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,False,False,False,False,True,False,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae128__u8__q0.9__zstd3__ckpt601984b96d85,ae128/u8/q0.9,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,0.00512952,0.00405186,0.00698812,0.11210451,0.09823203,0.13786395,0.02344352,0.02720732,0.13922294,0.10037003,0.03885291,0.49847788,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,False,False,False,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,True,True,True,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae32__u4__q0.3__zstd3__ckpt10cebbeede4d,ae32/u4/q0.3,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,0.0010259,0.00162075,0.0,-0.00225336,-0.00364421,1.501e-05,0.00010924,0.00428168,0.00462535,-0.0013876,0.00601295,0.10638196,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,True,True,True,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,ae32/u4/q0.5,prior_reference_exploratory,f9f27f22602233504b3d861b2b99075bd176df27ad1195d93531f4de14ec8d2e,0.02,0.02,0.1,0.05,0.00512952,0.00364668,0.00768693,0.05082751,0.03867384,0.07434692,0.00555992,0.01795719,0.04209066,0.01942646,0.0226642,0.16537045,ROI_INCREMENTAL_VS_SAME_MODEL_QUANT_Q0_NOT_ABSOLUTE_SERVICE_FLOOR,True,True,True,True,True,True,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REPORTED_NOT_GATED_IN_INCREMENTAL_SCREEN,UNRESOLVED_NOT_USED_TO_PASS,UNRESOLVED_NO_SELECTED_ABSOLUTE_FLOOR,REVIEW_REQUIRED,INCREMENTAL_SCREEN_ONLY_ABSOLUTE_AND_DIFFICULT_OBJECT_GATES_UNRESOLVED,False,False,EXPLORATORY_ONLY_REVIEW_REQUIRED
