anchor_id,source_id,evidence_kind,n_frames,latency_p50_ms,latency_p95_ms,profile_specific,map_update_done_observed,note
fresh_L_fast,fresh_L_by_condition,direct_capture_to_map_update_done,190.0,67.86,100.43,False,True,fresh uplink-only loopback condition
fresh_L_normal,fresh_L_by_condition,direct_capture_to_map_update_done,190.0,67.83,106.08,False,True,fresh uplink-only loopback condition
fresh_L_veryfast,fresh_L_by_condition,direct_capture_to_map_update_done,190.0,66.51,94.67,False,True,fresh uplink-only loopback condition
fast rasterizer (conservative design anchor; 40-frame profile),registered_L_anchors,registered_historical_latency_anchor,,93.3,136.1,False,True,"ideal loopback, uplink-only, no-AE u8, zstd, 200k PPS"
legacy rasterizer (pre-optimization),registered_L_anchors,registered_historical_latency_anchor,,180.7,247.5,False,True,"same recipe, python per-point radar raster"
core split->map (NOT the staleness lag),registered_L_anchors,registered_historical_latency_anchor,,37.7,80.2,False,True,backbone_input->map_update_done; excludes sensor prep
