profile_id,display_profile_id,stratum_axis,stratum_value,evidence_level,n_frames,n_gt,n_gt_vehicle,n_gt_pedestrian,tp,fp,fn,tp_vehicle,fp_vehicle,fn_vehicle,tp_pedestrian,fp_pedestrian,fn_pedestrian,recall,precision,f1,recall_vehicle,precision_vehicle,f1_vehicle,recall_pedestrian,precision_pedestrian,f1_pedestrian,fp_per_frame,fp_vehicle_per_frame,fp_pedestrian_per_frame,xy_mae_m,xy_rmse_m,xy_mae_vehicle_m,xy_mae_pedestrian_m,payload_bytes_mean,payload_bytes_p50,payload_bytes_p95,payload_bytes_min,payload_bytes_max,miou,iou_background,iou_vehicle,iou_person
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2115,1706,261,1160,1158,119,955,548,142,0.89015152,0.55352002,0.68258835,0.90695856,0.50043141,0.64498193,0.87055606,0.63539587,0.73461538,2.51251841,1.70544919,0.80706922,1.00246346,1.31643211,0.882038,1.14873942,80727.1089838,80054.0,89089.4,70352,96264,0.65842289,0.94115902,0.46781643,0.5662932
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2416,1893,294,1160,1169,119,1256,724,175,0.89151292,0.56068693,0.68841715,0.90695856,0.49806784,0.64301552,0.8777079,0.63434343,0.73644093,2.04427646,1.26241901,0.78185745,1.01184218,1.32895069,0.882038,1.13172502,80755.18034557,80148.5,88159.5,70352,96264,0.65192736,0.94737056,0.41988581,0.5885257
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3239,2953,326,2284,2377,184,955,576,142,0.9085554,0.52309432,0.66393359,0.92544571,0.4900236,0.64076308,0.87055606,0.62377531,0.72678843,2.06215084,1.6599162,0.40223464,0.92482633,1.23316907,0.83120242,1.14873942,81122.32192737,80621.0,88285.6,70352,96988,0.63359649,0.93930984,0.44596564,0.515514
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,density_bin,0,frame_aggregate,483,0,0,0,0,25,0,0,10,0,0,15,0,,0.0,,,0.0,,,0.0,,0.05175983,0.02070393,0.0310559,,,,,81311.39337474,81057.0,87592.4,74812,92297,0.37073445,0.96218333,0.04642443,0.10359558
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1473,1469,106,1078,1204,56,395,265,50,0.9328689,0.50067981,0.65162575,0.95061728,0.47239264,0.63114754,0.88764045,0.59848485,0.71493213,1.34647113,1.1035747,0.24289643,0.79126147,1.04121752,0.70852947,1.01704652,81043.50687443,80642.0,87186.0,71086,92786,0.6060139,0.94520003,0.37398015,0.49886151
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,density_bin,3-4,frame_aggregate,453,1528,940,588,1389,1189,139,863,880,77,526,309,62,0.90903141,0.53878976,0.67657087,0.91808511,0.49512335,0.64330973,0.89455782,0.62994012,0.7392832,2.62472406,1.94260486,0.68211921,0.97775319,1.2941502,0.91322195,1.08362857,81432.49448124,80577.0,90120.6,70352,96988,0.66285462,0.94358045,0.52301357,0.52196984
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,density_bin,5+,frame_aggregate,135,792,394,398,678,482,114,343,304,51,335,178,63,0.85606061,0.58448276,0.69467213,0.87055838,0.5301391,0.65898175,0.84170854,0.65302144,0.73545554,3.57037037,2.25185185,1.31851852,1.17446259,1.53808395,1.01038198,1.34246154,80187.91851852,80149.0,86532.8,72646,92748,0.64948429,0.92329407,0.39249989,0.6326589
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3540,3140,359,2284,2388,184,1256,752,175,0.90792511,0.52994012,0.6692504,0.92544571,0.48886986,0.63977591,0.8777079,0.62549801,0.7304449,1.87016081,1.42227516,0.44788565,0.93782852,1.24954308,0.83120242,1.13172502,81079.66349017,80573.0,87896.4,70352,96988,0.63774561,0.94302816,0.42302839,0.54718026
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,all,ALL,frame_aggregate,2162,3899,2468,1431,3536,3170,363,2284,2390,184,1252,780,179,0.9068992,0.52728899,0.66685526,0.92544571,0.48866068,0.63959675,0.87491265,0.61614173,0.72307248,1.46623497,1.10545791,0.36077706,0.94493669,1.26341937,0.83820667,1.13964226,61041.53237743,60279.0,70398.55,50821,79323,0.55570063,0.92191635,0.28350362,0.46168193
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2109,1711,267,1158,1151,121,951,560,146,0.88762626,0.55209424,0.68076178,0.90539484,0.50151581,0.64548495,0.86690975,0.62938451,0.72929448,2.51988218,1.69513991,0.82474227,1.01185156,1.33252433,0.88979316,1.16047787,61584.62297496,60342.0,71662.8,51146,79323,0.60238107,0.90941545,0.35056374,0.54716403
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2410,1901,300,1158,1162,121,1252,739,179,0.88929889,0.55903503,0.68651189,0.90539484,0.49913793,0.64351209,0.87491265,0.62882973,0.73173583,2.05291577,1.25485961,0.79805616,1.01959028,1.34119263,0.88979316,1.13964226,60966.73866091,59997.0,70656.25,51146,79323,0.57741976,0.91903896,0.30910415,0.50411618
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3235,2950,330,2284,2365,184,951,585,146,0.90743338,0.52303961,0.66358974,0.92544571,0.49128845,0.64184347,0.86690975,0.61914062,0.72236992,2.06005587,1.65153631,0.40851955,0.93294544,1.24990837,0.83820667,1.16047787,61784.26117318,60670.5,71342.85,50821,79323,0.58218943,0.90996561,0.33908039,0.49752229
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,density_bin,0,frame_aggregate,483,0,0,0,0,30,0,0,14,0,0,16,0,,0.0,,,0.0,,,0.0,,0.0621118,0.02898551,0.03312629,,,,,59746.35610766,59237.0,64645.8,53073,68632,0.36054104,0.94438818,0.03201159,0.10522337
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1477,1475,102,1083,1214,51,394,261,51,0.93540215,0.50033875,0.65195321,0.95502646,0.47148455,0.63130283,0.88539326,0.60152672,0.71636364,1.35197067,1.1127406,0.23923006,0.80090591,1.0529263,0.71457601,1.03820357,60976.01649863,60320.0,70100.5,50821,74819,0.52001449,0.91976816,0.27804981,0.36222549
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,density_bin,3-4,frame_aggregate,453,1528,940,588,1380,1182,148,856,858,84,524,324,64,0.90314136,0.53864169,0.67481663,0.9106383,0.49941657,0.64506405,0.89115646,0.61792453,0.72980501,2.60927152,1.89403974,0.71523179,0.98815532,1.31924117,0.92524127,1.09093095,62478.98233996,61009.0,72292.0,51146,79323,0.60556359,0.9088548,0.39256361,0.51527236
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,density_bin,5+,frame_aggregate,135,792,394,398,679,483,113,345,304,49,334,179,64,0.85732323,0.58433735,0.69498465,0.87563452,0.53158706,0.66155321,0.83919598,0.65107212,0.73326015,3.57777778,2.25185185,1.32592593,1.17040319,1.53747212,1.01035271,1.33572479,61381.40740741,60305.0,71416.3,52442,75511,0.60453464,0.89872741,0.31732503,0.59755147
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3536,3140,363,2284,2376,184,1252,764,179,0.9068992,0.52965848,0.66874704,0.92544571,0.49012876,0.64085297,0.87491265,0.62103175,0.72642878,1.87016081,1.41512805,0.45503276,0.94493669,1.26341937,0.83820667,1.13964226,61414.11733175,60476.0,70871.2,50821,79323,0.56889326,0.91520346,0.31840324,0.47307309
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,all,ALL,frame_aggregate,2162,3899,2468,1431,3334,3139,565,2112,2296,356,1222,843,209,0.85509105,0.51506257,0.64288469,0.85575365,0.47912886,0.61431065,0.85394829,0.59176755,0.69908467,1.45189639,1.06197965,0.38991674,1.21200668,1.53136685,1.14221682,1.33262549,15976.49444958,15900.5,19212.65,9584,23237,0.19248275,0.28238092,0.03949446,0.25557286
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,1985,1679,391,1060,1086,219,925,593,172,0.83543771,0.54175764,0.65728477,0.82877248,0.49394222,0.6189781,0.84320875,0.60935441,0.70745698,2.47275405,1.5994109,0.87334315,1.28432369,1.60863163,1.20745678,1.37240901,16791.85272459,16633.0,19636.8,12355,23237,0.25312293,0.31403012,0.06290529,0.38243338
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2282,1887,428,1060,1091,219,1222,796,209,0.84206642,0.54737347,0.66346853,0.82877248,0.49279405,0.6180758,0.85394829,0.60555005,0.70861119,2.03779698,1.17818575,0.85961123,1.27448402,1.59744462,1.20745678,1.33262549,16367.3174946,16241.0,19335.75,9584,23237,0.25623377,0.31273149,0.04706259,0.40890723
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3037,2909,528,2112,2283,356,925,626,172,0.85189341,0.51076354,0.63862896,0.85575365,0.48054608,0.61547428,0.84320875,0.59638943,0.69864048,2.03142458,1.59427374,0.43715084,1.21232804,1.53241917,1.14221682,1.37240901,16590.7325419,16472.5,19624.9,11594,23237,0.19374767,0.30179138,0.05944706,0.22000457
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,density_bin,0,frame_aggregate,483,0,0,0,0,22,0,0,8,0,0,14,0,,0.0,,,0.0,,,0.0,,0.04554865,0.01656315,0.02898551,,,,,14552.34782609,14557.0,17333.9,10415,19853,0.08485648,0.21345342,0.00256615,0.03854988
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1420,1501,159,1027,1205,107,393,296,52,0.89930336,0.48613489,0.63111111,0.90564374,0.46012545,0.61021985,0.88314607,0.57039187,0.69312169,1.37580202,1.10449129,0.27131072,1.06955044,1.35682606,1.00425428,1.24018441,16048.64252979,15922.0,19091.0,9584,21879,0.16364048,0.29378636,0.04045826,0.15667681
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,density_bin,3-4,frame_aggregate,453,1528,940,588,1269,1110,259,767,786,173,502,324,86,0.83049738,0.5334174,0.64960328,0.81595745,0.49388281,0.6153229,0.8537415,0.60774818,0.71004243,2.45033113,1.73509934,0.71523179,1.26901304,1.58481685,1.24712777,1.3024513,16970.1192053,16807.0,20014.0,11966,21845,0.24188488,0.31957734,0.07509474,0.33098256
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,density_bin,5+,frame_aggregate,135,792,394,398,645,506,147,318,297,76,327,209,71,0.81439394,0.56038228,0.66392177,0.8071066,0.51707317,0.63032706,0.82160804,0.61007463,0.70021413,3.74814815,2.2,1.54814815,1.41347457,1.76839058,1.33473515,1.49004685,17154.54814815,17009.0,20927.0,13158,23237,0.27620461,0.32279135,0.06192559,0.4438969
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3334,3117,565,2112,2288,356,1222,829,209,0.85509105,0.5168191,0.64425121,0.85575365,0.48,0.61502621,0.85394829,0.59580692,0.70189546,1.85646218,1.3627159,0.49374628,1.21200668,1.53136685,1.14221682,1.33262549,16386.18046456,16266.0,19512.5,9584,23237,0.20494851,0.30293637,0.05133845,0.26057071
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,all,ALL,frame_aggregate,2162,3899,2468,1431,3517,3357,382,2271,2534,197,1246,823,185,0.90202616,0.51163806,0.65292862,0.92017828,0.47263267,0.62450158,0.87071978,0.6022233,0.712,1.55272895,1.1720629,0.38066605,0.99213315,1.32099908,0.8790528,1.19823706,36259.67668825,35998.0,41001.45,28368,47050,0.37252386,0.67065586,0.08494584,0.36196988
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2090,1796,286,1152,1214,127,938,582,159,0.87962963,0.5378281,0.66751836,0.90070367,0.48689772,0.63209877,0.85505925,0.61710526,0.71685136,2.64506627,1.78792342,0.85714286,1.06090708,1.395043,0.93396902,1.21680542,36468.1443299,36260.0,41714.7,29142,46805,0.38379125,0.66392182,0.12317747,0.36427447
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2398,2004,312,1152,1231,127,1246,773,185,0.88487085,0.54475239,0.67435321,0.90070367,0.48342426,0.62916439,0.87071978,0.6171372,0.72231884,2.16414687,1.32937365,0.83477322,1.07128261,1.4037677,0.93396902,1.19823706,36163.20302376,35948.0,41156.5,29142,46805,0.38863677,0.66726462,0.09450455,0.40414115
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3209,3119,356,2271,2504,197,938,615,159,0.90014025,0.50711125,0.64874153,0.92017828,0.47560209,0.62708822,0.85505925,0.60399227,0.70792453,2.17807263,1.74860335,0.42946927,0.97777887,1.30670917,0.8790528,1.21680542,36540.85824022,36266.0,41532.1,28368,47050,0.36905817,0.65776224,0.11831878,0.3310935
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,density_bin,0,frame_aggregate,483,0,0,0,0,30,0,0,13,0,0,17,0,,0.0,,,0.0,,,0.0,,0.0621118,0.02691511,0.03519669,,,,,35904.04968944,35743.0,39648.3,28664,42019,0.26284926,0.70447945,0.00562084,0.07844751
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1480,1573,99,1083,1282,51,397,291,48,0.93730209,0.48476908,0.63903282,0.95502646,0.45792812,0.61903401,0.89213483,0.57703488,0.70079435,1.44179652,1.17506874,0.26672777,0.85052851,1.12289956,0.76253845,1.09056185,36092.659945,35843.0,41006.0,28368,45364,0.38104624,0.66322432,0.08487301,0.39504139
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,density_bin,3-4,frame_aggregate,453,1528,940,588,1357,1248,171,843,933,97,514,315,74,0.88808901,0.52092131,0.65666586,0.89680851,0.47466216,0.62076583,0.87414966,0.62002413,0.72547636,2.75496689,2.05960265,0.69536424,1.01987249,1.35048225,0.93529016,1.15859411,36945.93377483,36583.0,42288.2,29889,47050,0.3624502,0.65608612,0.14412718,0.2871373
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,density_bin,5+,frame_aggregate,135,792,394,398,680,506,112,345,306,49,335,200,63,0.85858586,0.57335582,0.6875632,0.87563452,0.52995392,0.66028708,0.84170854,0.62616822,0.71811361,3.74814815,2.26666667,1.48148148,1.24497516,1.62528904,1.10739176,1.38666554,36579.0,36724.0,41823.7,29464,45283,0.42854281,0.6534432,0.11061863,0.5215666
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3517,3327,382,2271,2521,197,1246,806,185,0.90202616,0.51388077,0.65475193,0.92017828,0.47391486,0.62561983,0.87071978,0.60721248,0.71547517,1.98153663,1.50148898,0.48004765,0.99213315,1.32099908,0.8790528,1.19823706,36361.98034544,36111.0,41300.8,28368,47050,0.37920675,0.66055166,0.10358737,0.37348123
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,all,ALL,frame_aggregate,2162,3899,2468,1431,3549,3018,350,2280,2293,188,1269,725,162,0.91023339,0.54042942,0.67819606,0.92382496,0.49857861,0.64763528,0.88679245,0.63640923,0.7410219,1.39592969,1.06059204,0.33533765,0.88008039,1.19310651,0.77478524,1.06926317,132269.02913969,132551.0,135398.85,123879,138238,0.8187278,0.99644528,0.9133833,0.54635482
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2119,1645,257,1154,1123,125,965,522,132,0.89183502,0.56296493,0.69022801,0.9022674,0.5068072,0.64904387,0.87967183,0.64895763,0.74690402,2.42268041,1.6539028,0.76877761,0.93845532,1.25994732,0.81698418,1.08371719,131514.45655376,132025.0,134991.5,123879,138020,0.83260298,0.99487322,0.92212823,0.5808075
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2423,1817,287,1154,1128,125,1269,689,162,0.89409594,0.57146226,0.69726619,0.9022674,0.50569676,0.64813255,0.88679245,0.64811032,0.74889348,1.96220302,1.21814255,0.74406048,0.94911048,1.26867569,0.81698418,1.06926317,131776.75053996,132206.5,135004.0,123879,138020,0.83769988,0.99568544,0.91421166,0.60320254
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3245,2823,320,2280,2279,188,965,544,132,0.91023843,0.53477258,0.67372573,0.92382496,0.50010967,0.64892557,0.87967183,0.63949636,0.74059862,1.97136872,1.59148045,0.37988827,0.8666556,1.1796875,0.77478524,1.08371719,131966.65782123,132339.0,135129.0,123879,138020,0.81635561,0.99544129,0.92386562,0.52975993
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,density_bin,0,frame_aggregate,483,0,0,0,0,23,0,0,9,0,0,14,0,,0.0,,,0.0,,,0.0,,0.04761905,0.01863354,0.02898551,,,,,133048.51345756,133387.0,136470.5,127577,138238,0.56541545,0.99858468,0.58567126,0.11199039
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1482,1377,97,1079,1144,55,403,233,42,0.93856871,0.51836306,0.66786841,0.95149912,0.48538012,0.64283587,0.90561798,0.6336478,0.74560592,1.26214482,1.04857929,0.21356554,0.75088973,1.0026191,0.6716457,0.96305924,132291.83318057,132615.0,135154.5,126113,137523,0.80803288,0.99660269,0.91662526,0.51087069
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,density_bin,3-4,frame_aggregate,453,1528,940,588,1381,1156,147,859,854,81,522,302,66,0.90379581,0.54434371,0.67945879,0.91382979,0.50145943,0.64756879,0.8877551,0.63349515,0.73937677,2.55187638,1.88520971,0.66666667,0.91326622,1.23291375,0.85383033,1.01107356,131776.57836645,132170.0,135229.0,123879,138020,0.81994372,0.99463825,0.92965664,0.53553628
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,density_bin,5+,frame_aggregate,135,792,394,398,686,462,106,342,286,52,344,176,54,0.86616162,0.59756098,0.70721649,0.8680203,0.54458599,0.66927593,0.86432161,0.66153846,0.74945534,3.42222222,2.11851852,1.3037037,1.09237036,1.46036763,0.90165023,1.28198165,130948.36296296,131392.0,134510.3,124570,136125,0.84759833,0.99309216,0.89769871,0.65200413
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3549,2995,350,2280,2284,188,1269,711,162,0.91023339,0.54232885,0.67968974,0.92382496,0.49956179,0.64846416,0.88679245,0.64090909,0.74406332,1.78379988,1.36033353,0.42346635,0.88008039,1.19310651,0.77478524,1.06926317,132044.79392496,132374.0,135140.9,123879,138020,0.82575529,0.99580383,0.91987934,0.56158271
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,all,ALL,frame_aggregate,2162,3899,2468,1431,3544,3043,355,2280,2308,188,1264,735,167,0.90895101,0.53802945,0.67594888,0.92382496,0.49694856,0.6462585,0.88329839,0.63231616,0.73702624,1.40749306,1.06753006,0.339963,0.87042501,1.17786419,0.76906415,1.05325946,197473.99167438,197298.0,203740.85,188383,210265,0.75584038,0.98754537,0.73362069,0.54635508
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2117,1656,259,1156,1127,123,961,529,136,0.89099327,0.56109197,0.68856725,0.90383112,0.50635129,0.64907355,0.87602552,0.64496644,0.7429455,2.43888071,1.65979381,0.77908689,0.93573097,1.25068227,0.82368989,1.07050671,197103.22974963,197151.0,203221.3,188383,210265,0.76414061,0.9800438,0.73095279,0.58142523
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2420,1828,290,1156,1130,123,1264,698,167,0.89298893,0.56967985,0.69560218,0.90383112,0.50568679,0.64852735,0.88329839,0.64424057,0.74506337,1.97408207,1.22030238,0.7537797,0.9435973,1.25762391,0.82368989,1.05325946,197156.88660907,197170.5,203035.75,188383,210265,0.77163816,0.98483248,0.72652592,0.60355607
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3241,2850,324,2280,2298,188,961,552,136,0.90911641,0.53209654,0.67129246,0.92382496,0.49803408,0.6471757,0.87602552,0.63516193,0.73639847,1.99022346,1.6047486,0.38547486,0.85844592,1.16525966,0.76906415,1.07050671,197361.65153631,197151.5,203861.45,188383,210265,0.7500982,0.98186842,0.73831139,0.5301148
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,density_bin,0,frame_aggregate,483,0,0,0,0,21,0,0,7,0,0,14,0,,0.0,,,0.0,,,0.0,,0.04347826,0.01449275,0.02898551,,,,,197893.79089027,198072.0,203759.9,191609,209847,0.56633854,0.99857722,0.58568284,0.11475556
