profile_id,display_profile_id,network_regime,profile_payload_p95_bytes,estimated_chunk_count_p95,estimated_udp_ip_bytes_p95,target_offer_hz,target_feature_offer_mbps,estimated_udp_ip_offer_mbps,lower_layer_onwire_offer_status,capacity_reference_mbps,load_ratio,screening_prediction,capacity_uncertainty_relation,evidence_status,directly_measured,network_certification,profile_quality_status
ae32__u6__q0.3__zstd3__ckpt10cebbeede4d,ae32/u6/q0.3,clear,129576.7,3,129684.7,10.0,10.366136,10.374776,UNKNOWN_NOT_ESTIMATED,36.683697,0.28281708,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u8__q0.5__zstd3__ckpt10cebbeede4d,ae32/u8/q0.5,clear,129943.4,3,130051.4,10.0,10.395472,10.404112,UNKNOWN_NOT_ESTIMATED,36.683697,0.28361678,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,clear,135398.85,3,135506.85,10.0,10.831908,10.840548,UNKNOWN_NOT_ESTIMATED,36.683697,0.29551405,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u6__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.3,clear,157179.35,3,157287.35,10.0,12.574348,12.582988,UNKNOWN_NOT_ESTIMATED,36.683697,0.34301308,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u8__q0.7__zstd3__ckpt601984b96d85,ae128/u8/q0.7,clear,158005.75,3,158113.75,10.0,12.64046,12.6491,UNKNOWN_NOT_ESTIMATED,36.683697,0.3448153,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u8__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.5,clear,165171.55,3,165279.55,10.0,13.213724,13.222364,UNKNOWN_NOT_ESTIMATED,36.683697,0.36044251,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u6__q0.5__zstd3__ckpt601984b96d85,ae128/u6/q0.5,clear,168224.15,3,168332.15,10.0,13.457932,13.466572,UNKNOWN_NOT_ESTIMATED,36.683697,0.36709964,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u8__q0.3__zstd3__ckpt10cebbeede4d,ae32/u8/q0.3,clear,169829.65,3,169937.65,10.0,13.586372,13.595012,UNKNOWN_NOT_ESTIMATED,36.683697,0.37060092,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u6__q0.9__zstd3__ckptf319e2a5e8fb,noae/u6/q0.9,clear,173559.5,3,173667.5,10.0,13.88476,13.8934,UNKNOWN_NOT_ESTIMATED,36.683697,0.378735,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u6__q0__zstd3__ckpt10cebbeede4d,ae32/u6/q0,clear,179634.8,3,179742.8,10.0,14.370784,14.379424,UNKNOWN_NOT_ESTIMATED,36.683697,0.39198405,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u4__q0.7__zstd3__ckptf319e2a5e8fb,noae/u4/q0.7,clear,202247.2,4,202391.2,10.0,16.179776,16.191296,UNKNOWN_NOT_ESTIMATED,36.683697,0.4413758,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,clear,203740.85,4,203884.85,10.0,16.299268,16.310788,UNKNOWN_NOT_ESTIMATED,36.683697,0.44463316,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u8__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.3,clear,206753.65,4,206897.65,10.0,16.540292,16.551812,UNKNOWN_NOT_ESTIMATED,36.683697,0.45120349,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u8__q0.9__zstd3__ckptf319e2a5e8fb,noae/u8/q0.9,clear,209089.75,4,209233.75,10.0,16.72718,16.7387,UNKNOWN_NOT_ESTIMATED,36.683697,0.45629807,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u6__q0__zstd3__ckptc6a2362c7c2d,ae64/u6/q0,clear,209216.95,4,209360.95,10.0,16.737356,16.748876,UNKNOWN_NOT_ESTIMATED,36.683697,0.45657546,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u8__q0.5__zstd3__ckpt601984b96d85,ae128/u8/q0.5,clear,216832.65,4,216976.65,10.0,17.346612,17.358132,UNKNOWN_NOT_ESTIMATED,36.683697,0.47318382,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u8__q0__zstd3__ckpt10cebbeede4d,ae32/u8/q0,clear,235560.85,4,235704.85,10.0,18.844868,18.856388,UNKNOWN_NOT_ESTIMATED,36.683697,0.51402638,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,clear,265042.0,5,265222.0,10.0,21.20336,21.21776,UNKNOWN_NOT_ESTIMATED,36.683697,0.57839754,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u4__q0.5__zstd3__ckptf319e2a5e8fb,noae/u4/q0.5,clear,265454.1,5,265634.1,10.0,21.236328,21.250728,UNKNOWN_NOT_ESTIMATED,36.683697,0.57929625,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u6__q0__zstd3__ckpt601984b96d85,ae128/u6/q0,clear,268254.95,5,268434.95,10.0,21.460396,21.474796,UNKNOWN_NOT_ESTIMATED,36.683697,0.58540436,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u8__q0__zstd3__ckptc6a2362c7c2d,ae64/u8/q0,clear,279947.95,5,280127.95,10.0,22.395836,22.410236,UNKNOWN_NOT_ESTIMATED,36.683697,0.61090451,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u4__q0.3__zstd3__ckptf319e2a5e8fb,noae/u4/q0.3,clear,315701.05,6,315917.05,10.0,25.256084,25.273364,UNKNOWN_NOT_ESTIMATED,36.683697,0.68895357,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u6__q0.7__zstd3__ckptf319e2a5e8fb,noae/u6/q0.7,clear,348148.7,6,348364.7,10.0,27.851896,27.869176,UNKNOWN_NOT_ESTIMATED,36.683697,0.75971558,projected_below_capacity,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,clear,350948.6,6,351164.6,10.0,28.075888,28.093168,UNKNOWN_NOT_ESTIMATED,36.683697,0.76582161,projected_below_capacity,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u4__q0__zstd3__ckptf319e2a5e8fb,noae/u4/q0,clear,416840.8,7,417092.8,10.0,33.347264,33.367424,UNKNOWN_NOT_ESTIMATED,36.683697,0.90959818,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u8__q0.7__zstd3__ckptf319e2a5e8fb,noae/u8/q0.7,clear,438598.65,8,438886.65,10.0,35.087892,35.110932,UNKNOWN_NOT_ESTIMATED,36.683697,0.95712632,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u6__q0.5__zstd3__ckptf319e2a5e8fb,noae/u6/q0.5,clear,486754.95,9,487078.95,10.0,38.940396,38.966316,UNKNOWN_NOT_ESTIMATED,36.683697,1.06222434,projected_boundary,inside_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u6__q0.3__zstd3__ckptf319e2a5e8fb,noae/u6/q0.3,clear,601363.1,11,601759.1,10.0,48.109048,48.140728,UNKNOWN_NOT_ESTIMATED,36.683697,1.31231942,projected_above_capacity,above_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u8__q0.5__zstd3__ckptf319e2a5e8fb,noae/u8/q0.5,clear,637162.85,11,637558.85,10.0,50.973028,51.004708,UNKNOWN_NOT_ESTIMATED,36.683697,1.3903917,projected_above_capacity,above_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u8__q0.3__zstd3__ckptf319e2a5e8fb,noae/u8/q0.3,clear,802558.1,14,803062.1,10.0,64.204648,64.244968,UNKNOWN_NOT_ESTIMATED,36.683697,1.75132207,projected_above_capacity,above_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u6__q0__zstd3__ckptf319e2a5e8fb,noae/u6/q0,clear,822827.2,14,823331.2,10.0,65.826176,65.866496,UNKNOWN_NOT_ESTIMATED,36.683697,1.79552503,projected_above_capacity,above_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u8__q0__zstd3__ckptf319e2a5e8fb,noae/u8/q0,clear,1096245.95,19,1096929.95,10.0,87.699676,87.754396,UNKNOWN_NOT_ESTIMATED,36.683697,2.39219062,projected_above_capacity,above_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u4__q0.98__zstd3__ckpt10cebbeede4d,ae32/u4/q0.98,mid,8281.0,1,8317.0,10.0,0.66248,0.66536,UNKNOWN_NOT_ESTIMATED,19.711695,0.03375458,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u6__q0.98__zstd3__ckpt10cebbeede4d,ae32/u6/q0.98,mid,11619.65,1,11655.65,10.0,0.929572,0.932452,UNKNOWN_NOT_ESTIMATED,19.711695,0.04730451,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u4__q0.98__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.98,mid,11808.8,1,11844.8,10.0,0.944704,0.947584,UNKNOWN_NOT_ESTIMATED,19.711695,0.04807217,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u8__q0.98__zstd3__ckpt10cebbeede4d,ae32/u8/q0.98,mid,13013.45,1,13049.45,10.0,1.041076,1.043956,UNKNOWN_NOT_ESTIMATED,19.711695,0.05296125,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u6__q0.98__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.98,mid,16843.45,1,16879.45,10.0,1.347476,1.350356,UNKNOWN_NOT_ESTIMATED,19.711695,0.06850532,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u8__q0.98__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.98,mid,19050.5,1,19086.5,10.0,1.52404,1.52692,UNKNOWN_NOT_ESTIMATED,19.711695,0.07746264,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u4__q0.98__zstd3__ckpt601984b96d85,ae128/u4/q0.98,mid,19212.65,1,19248.65,10.0,1.537012,1.539892,UNKNOWN_NOT_ESTIMATED,19.711695,0.07812073,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,ae32/u4/q0.9,mid,20277.35,1,20313.35,10.0,1.622188,1.625068,UNKNOWN_NOT_ESTIMATED,19.711695,0.08244182,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u4__q0.9__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.9,mid,27483.8,1,27519.8,10.0,2.198704,2.201584,UNKNOWN_NOT_ESTIMATED,19.711695,0.11168923,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u6__q0.98__zstd3__ckpt601984b96d85,ae128/u6/q0.98,mid,28007.85,1,28043.85,10.0,2.240628,2.243508,UNKNOWN_NOT_ESTIMATED,19.711695,0.11381609,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u8__q0.98__zstd3__ckpt601984b96d85,ae128/u8/q0.98,mid,31893.6,1,31929.6,10.0,2.551488,2.554368,UNKNOWN_NOT_ESTIMATED,19.711695,0.12958642,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
