profile_id,display_profile_id,network_regime,profile_payload_p95_bytes,estimated_chunk_count_p95,estimated_udp_ip_bytes_p95,target_offer_hz,target_feature_offer_mbps,estimated_udp_ip_offer_mbps,lower_layer_onwire_offer_status,capacity_reference_mbps,load_ratio,screening_prediction,capacity_uncertainty_relation,evidence_status,directly_measured,network_certification,profile_quality_status
ae32__u6__q0.9__zstd3__ckpt10cebbeede4d,ae32/u6/q0.9,mid,32393.45,1,32429.45,10.0,2.591476,2.594356,UNKNOWN_NOT_ESTIMATED,19.711695,0.13161506,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u4__q0.7__zstd3__ckpt10cebbeede4d,ae32/u4/q0.7,mid,37757.55,1,37793.55,10.0,3.020604,3.023484,UNKNOWN_NOT_ESTIMATED,19.711695,0.15338529,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u8__q0.9__zstd3__ckpt10cebbeede4d,ae32/u8/q0.9,mid,38929.0,1,38965.0,10.0,3.11432,3.1172,UNKNOWN_NOT_ESTIMATED,19.711695,0.15813962,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u4__q0.9__zstd3__ckpt601984b96d85,ae128/u4/q0.9,mid,41001.45,1,41037.45,10.0,3.280116,3.282996,UNKNOWN_NOT_ESTIMATED,19.711695,0.16655067,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u6__q0.9__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.9,mid,44009.2,1,44045.2,10.0,3.520736,3.523616,UNKNOWN_NOT_ESTIMATED,19.711695,0.17875764,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u4__q0.98__zstd3__ckptf319e2a5e8fb,noae/u4/q0.98,mid,48485.95,1,48521.95,10.0,3.878876,3.881756,UNKNOWN_NOT_ESTIMATED,19.711695,0.19692655,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u4__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.7,mid,50707.5,1,50743.5,10.0,4.0566,4.05948,UNKNOWN_NOT_ESTIMATED,19.711695,0.20594272,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,ae32/u4/q0.5,mid,53124.35,1,53160.35,10.0,4.249948,4.252828,UNKNOWN_NOT_ESTIMATED,19.711695,0.21575151,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u8__q0.9__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.9,mid,53607.6,1,53643.6,10.0,4.288608,4.291488,UNKNOWN_NOT_ESTIMATED,19.711695,0.21771278,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u6__q0.9__zstd3__ckpt601984b96d85,ae128/u6/q0.9,mid,67419.0,2,67491.0,10.0,5.39352,5.39928,UNKNOWN_NOT_ESTIMATED,19.711695,0.27391252,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u4__q0.3__zstd3__ckpt10cebbeede4d,ae32/u4/q0.3,mid,67666.95,2,67738.95,10.0,5.413356,5.419116,UNKNOWN_NOT_ESTIMATED,19.711695,0.27491882,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u6__q0.7__zstd3__ckpt10cebbeede4d,ae32/u6/q0.7,mid,67757.6,2,67829.6,10.0,5.420608,5.426368,UNKNOWN_NOT_ESTIMATED,19.711695,0.27528673,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.5,mid,68073.1,2,68145.1,10.0,5.445848,5.451608,UNKNOWN_NOT_ESTIMATED,19.711695,0.27656719,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u6__q0.98__zstd3__ckptf319e2a5e8fb,noae/u6/q0.98,mid,68901.75,2,68973.75,10.0,5.51214,5.5179,UNKNOWN_NOT_ESTIMATED,19.711695,0.27993026,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u4__q0.7__zstd3__ckpt601984b96d85,ae128/u4/q0.7,mid,70398.55,2,70470.55,10.0,5.631884,5.637644,UNKNOWN_NOT_ESTIMATED,19.711695,0.28600503,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
noae__u8__q0.98__zstd3__ckptf319e2a5e8fb,noae/u8/q0.98,mid,74063.0,2,74135.0,10.0,5.92504,5.9308,UNKNOWN_NOT_ESTIMATED,19.711695,0.30087722,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u4__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.3,mid,81274.35,2,81346.35,10.0,6.501948,6.507708,UNKNOWN_NOT_ESTIMATED,19.711695,0.33014452,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u8__q0.9__zstd3__ckpt601984b96d85,ae128/u8/q0.9,mid,81498.9,2,81570.9,10.0,6.519912,6.525672,UNKNOWN_NOT_ESTIMATED,19.711695,0.33105585,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u8__q0.7__zstd3__ckpt10cebbeede4d,ae32/u8/q0.7,mid,85995.4,2,86067.4,10.0,6.879632,6.885392,UNKNOWN_NOT_ESTIMATED,19.711695,0.34930492,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae128__u4__q0.5__zstd3__ckpt601984b96d85,ae128/u4/q0.5,mid,87825.4,2,87897.4,10.0,7.026032,7.031792,UNKNOWN_NOT_ESTIMATED,19.711695,0.35673198,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae64__u6__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.7,mid,89852.75,2,89924.75,10.0,7.18822,7.19398,UNKNOWN_NOT_ESTIMATED,19.711695,0.36495999,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
ae32__u4__q0__zstd3__ckpt10cebbeede4d,ae32/u4/q0,mid,94873.8,2,94945.8,10.0,7.589904,7.595664,UNKNOWN_NOT_ESTIMATED,19.711695,0.38533794,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED
