profile_id,display_profile_id,model_family,ae_bottleneck,quantization_mode,roi_drop_fraction,entropy_coder,entropy_level,checkpoint_sha256,eval_set_sha256,n_frames,n_gt,n_gt_vehicle,n_gt_pedestrian,tp,fp,fn,tp_vehicle,fp_vehicle,fn_vehicle,tp_pedestrian,fp_pedestrian,fn_pedestrian,recall,precision,f1,recall_vehicle,precision_vehicle,f1_vehicle,recall_pedestrian,precision_pedestrian,f1_pedestrian,fp_per_frame,fp_vehicle_per_frame,fp_pedestrian_per_frame,xy_mae_m,xy_rmse_m,xy_mae_vehicle_m,xy_mae_pedestrian_m,payload_bytes_mean,payload_bytes_p50,payload_bytes_p95,payload_bytes_min,payload_bytes_max,miou,iou_background,iou_vehicle,iou_person,evidence_pool_version,quality_set_id,quality_frame_count,perception_evidence,difficult_object_evidence,object_detail_evidence,segmentation_role,provenance_status,evidence_source_id,exclusion_reason,eligibility_status
ae128__u6__q0.9__zstd3__ckpt601984b96d85,ae128/u6/q0.9,ae128,128,per_channel_uint6,0.9,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3526,3367,373,2270,2541,198,1256,826,175,0.90433444,0.51153344,0.653447,0.9197731,0.47183538,0.62371205,0.8777079,0.60326609,0.71505835,1.5573543,1.17530065,0.38205365,0.98528121,1.30882636,0.86881254,1.19577792,59404.93755782,58905.0,67419.0,47456,78495,0.34727506,0.53316,0.06693865,0.44172654,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae128__u6__q0.98__zstd3__ckpt601984b96d85,ae128/u6/q0.98,ae128,128,per_channel_uint6,0.98,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3327,3152,572,2111,2305,357,1216,847,215,0.85329572,0.51350517,0.641164,0.85534846,0.47803442,0.61330622,0.84975542,0.58943286,0.69605037,1.45790934,1.06614246,0.39176688,1.2058552,1.51881709,1.13535379,1.32824704,23119.42645698,23065.5,28007.85,13716,33744,0.1941294,0.13494301,0.03785336,0.40959184,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae128__u8__q0__zstd3__ckpt601984b96d85,ae128/u8/q0,ae128,128,per_channel_uint8,0.0,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3541,3061,358,2278,2318,190,1263,743,168,0.90818159,0.53635262,0.67441196,0.92301459,0.49564839,0.64496036,0.88259958,0.62961117,0.73494326,1.41581869,1.07215541,0.34366327,0.87096511,1.18081654,0.7697036,1.05360464,349153.81174838,349095.0,350948.6,346203,357915,0.8191418,0.99646396,0.91383302,0.54712842,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae128__u8__q0.3__zstd3__ckpt601984b96d85,ae128/u8/q0.3,ae128,128,per_channel_uint8,0.3,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3542,3044,357,2278,2303,190,1264,741,167,0.90843806,0.53780747,0.67563186,0.92301459,0.49727134,0.64633281,0.88329839,0.63042394,0.73573923,1.4079556,1.06521739,0.34273821,0.87270282,1.18345774,0.7720335,1.05413059,257817.07631822,257313.0,265042.0,250554,273674,0.75941616,0.98807844,0.74380082,0.54636922,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae128__u8__q0.5__zstd3__ckpt601984b96d85,ae128/u8/q0.5,ae128,128,per_channel_uint8,0.5,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3546,3173,353,2286,2393,182,1260,780,171,0.90946397,0.52775711,0.6679224,0.92625608,0.48856593,0.63970897,0.88050314,0.61764706,0.72601556,1.46762257,1.10684551,0.36077706,0.93632675,1.25082231,0.82314756,1.14166615,205379.9879741,204822.0,216832.65,191928,234340,0.73035237,0.98337859,0.67357037,0.53410813,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae128__u8__q0.7__zstd3__ckpt601984b96d85,ae128/u8/q0.7,ae128,128,per_channel_uint8,0.7,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3546,3198,353,2286,2408,182,1260,790,171,0.90946397,0.52580071,0.66635347,0.92625608,0.48700469,0.63836917,0.88050314,0.61463415,0.72392991,1.47918594,1.11378353,0.36540241,0.9402409,1.25477074,0.82703211,1.14563398,143958.08464385,142888.0,158005.75,129867,173685,0.68309317,0.97296651,0.55635225,0.51996074,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae128__u8__q0.9__zstd3__ckpt601984b96d85,ae128/u8/q0.9,ae128,128,per_channel_uint8,0.9,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3521,3362,378,2268,2535,200,1253,827,178,0.90305206,0.5115502,0.65312558,0.91896272,0.47220487,0.62384816,0.87561146,0.60240385,0.71375676,1.55504163,1.17252544,0.38251619,0.98306962,1.30522558,0.86793563,1.19146859,72961.23265495,72488.5,81498.9,59892,92201,0.32066392,0.45861266,0.05851297,0.44486613,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae128__u8__q0.98__zstd3__ckpt601984b96d85,ae128/u8/q0.98,ae128,128,per_channel_uint8,0.98,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3327,3164,572,2111,2310,357,1216,854,215,0.85329572,0.51255585,0.64042348,0.85534846,0.47749378,0.61286108,0.84975542,0.58743961,0.69465867,1.46345976,1.06845513,0.39500463,1.20087344,1.51280262,1.13314957,1.31844341,26455.26549491,26359.5,31893.6,16269,38872,0.19357211,0.13235454,0.0377594,0.41060238,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae32__u4__q0__zstd3__ckpt10cebbeede4d,ae32/u4/q0,ae32,32,per_channel_uint4,0.0,zstd,3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3510,2972,389,2280,2276,188,1230,696,201,0.90023083,0.54149954,0.67623543,0.92382496,0.50043898,0.64920273,0.85953878,0.63862928,0.73279714,1.3746531,1.05272895,0.32192414,0.88151772,1.18228267,0.78764941,1.0555175,92132.05642923,92209.5,94873.8,87689,96908,0.82155895,0.99656868,0.91518944,0.55291873,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae32,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
ae32__u4__q0.3__zstd3__ckpt10cebbeede4d,ae32/u4/q0.3,ae32,32,per_channel_uint4,0.3,zstd,3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3506,2982,393,2276,2273,192,1230,709,201,0.89920492,0.54038224,0.67507461,0.92220421,0.50032974,0.64871028,0.85953878,0.6343476,0.72997033,1.37927845,1.05134135,0.3279371,0.87926435,1.17898576,0.7840052,1.05553251,65612.92275671,65520.0,67666.95,62380,69901,0.71517699,0.98136955,0.6330229,0.5311385,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,secondary_diagnostic,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae32,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR
