wall_time_iso,elapsed_s,run_id,run_group,stream_id,frame_id,carla_timestamp,actor_id,type_id,role_name,class_name,world_x,world_y,world_z,yaw_deg,length_m,width_m,height_m,distance_m,in_camera_frustum,projected_x,projected_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2
2026-07-14T22:04:39.904,5.787423775997013,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519232,4867.859227172448,42,vehicle.lincoln.mkz,autopilot,vehicle,-15.08404420291637,13.141143693452086,0.6359883766374237,-179.84263610839844,4.891970157623291,1.8356460332870483,1.5241189002990723,129.42102612640912,0,-790.1765903165528,211.78785339572553,-888.8452104162027,203.30828099484842,-704.117239236926,219.571496056069
2026-07-14T22:04:40.015,5.899415869032964,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519233,4867.959227173938,42,vehicle.lincoln.mkz,autopilot,vehicle,-15.163599077285664,13.140733210826276,0.6711018310671094,-179.8440704345703,4.891970157623291,1.8356460332870483,1.5241189002990723,129.36075452172201,0,-797.1601149887072,206.38792948561988,-897.1368439575758,197.64625861042018,-710.0512866220158,214.04899323591064
2026-07-14T22:04:40.123,6.00752048403956,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519234,4868.0592271754285,42,vehicle.lincoln.mkz,autopilot,vehicle,-15.280833318959893,13.140382260495965,0.7092946994994286,-179.84396362304688,4.891970157623291,1.8356460332870483,1.5241189002990723,129.283762018873,0,-804.4280790850005,207.88549964026583,-905.5291353197931,199.1358042794765,-716.4028339953993,215.6127464439624
2026-07-14T22:04:40.228,6.1125058740144596,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519235,4868.159227176919,42,vehicle.lincoln.mkz,autopilot,vehicle,-15.437490340573005,13.140014971083517,0.7234953337370962,-179.84429931640625,4.891970157623291,1.8356460332870483,1.5241189002990723,129.1856643113416,0,-813.5204334360662,210.0805223687818,-916.0084103852691,201.31220309557477,-724.3646207618369,217.89542682079198
2026-07-14T22:04:40.314,6.198307260987349,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519236,4868.259227178409,42,vehicle.lincoln.mkz,autopilot,vehicle,-15.63419385216722,13.139626879948315,0.7201507605905475,-179.8445281982422,4.891970157623291,1.8356460332870483,1.5241189002990723,129.06518511449997,0,-825.4387636908309,210.7406080737291,-929.8662673745123,201.89340756873696,-734.7130683657444,218.6491635174947
2026-07-14T22:04:40.403,6.287461337051354,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519237,4868.359227179899,42,vehicle.lincoln.mkz,autopilot,vehicle,-15.870402769962466,13.13910060522884,0.7130024343286993,-179.84579467773438,4.891970157623291,1.8356460332870483,1.5241189002990723,128.92447303130862,0,-843.1664753234488,209.52240696468118,-950.6149603162589,200.51251837050697,-750.0113990296195,217.5394391614926
2026-07-14T22:04:40.496,6.379573449958116,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519238,4868.459227181389,42,vehicle.lincoln.mkz,autopilot,vehicle,-16.1453960451304,13.138430458228502,0.7092685390270964,-179.84747314453125,4.891970157623291,1.8356460332870483,1.5241189002990723,128.76469594302446,0,-864.2050407851477,208.27240357907988,-975.3246846006016,199.11128497665112,-768.1087824621982,216.4476514132862
2026-07-14T22:04:40.584,6.468452395987697,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519239,4868.559227182879,42,vehicle.lincoln.mkz,autopilot,vehicle,-16.458854368353084,13.137641974632773,0.7092259697048366,-179.8491668701172,4.891970157623291,1.8356460332870483,1.5241189002990723,128.58683410016178,0,-888.6226820445356,207.20936434442424,-1004.0300954499492,197.8417864050033,-789.1015401506368,215.53799234295715
2026-07-14T22:04:40.678,6.562502852058969,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519240,4868.659227184369,42,vehicle.lincoln.mkz,autopilot,vehicle,-16.810874758118285,13.13690595798539,0.7104058706079782,-179.84942626953125,4.891970157623291,1.8356460332870483,1.5241189002990723,128.39189336709464,0,-916.7259973951111,206.9149956983805,-1037.1147110319632,197.31864088540576,-813.2401744578221,215.42950809355997
2026-07-14T22:04:40.769,6.6536358500598,20260714_220434_front_fusion_ego_41,convoy_20,fusion_ego_41,519241,4868.759227185859,42,vehicle.lincoln.mkz,autopilot,vehicle,-17.202996781137134,13.136237041863856,0.710952197801745,-179.8491668701172,4.891970157623291,1.8356460332870483,1.5241189002990723,128.1795837504072,0,-949.1872530412138,207.18084376559284,-1075.440763009822,197.33814271562696,-841.0556754431682,215.9307649301411
