split,family,quantizer,q,q_support,unique_frames,profile_frames,payload_bytes_median,payload_bytes_p90,payload_bytes_p95,payload_bytes_max,tp_vehicle,fp_vehicle,fn_vehicle,tp_person,fp_person,fn_person,prediction_count,payload_bytes_mean,veh_precision,veh_recall,veh_f1,ped_precision,ped_recall,ped_f1,fp_per_frame,xy_mae_m,xy_rmse_m,xy_mae_vehicle_m,xy_mae_person_m,miou,iou_background,iou_vehicle,iou_person
audit_test,ae128,uint4,0.0,in_distribution,1324,1324,132576.0,134852.4,135371.95,138238,1369,1351,133,838,476,103,4034,132284.40483383686,0.5033088235294118,0.9114513981358189,0.6485078162008526,0.6377473363774734,0.8905419766206164,0.7432372505543238,1.3799093655589123,0.8897036854175304,1.207325092010034,0.7824490449894382,1.064920395138363,0.8187605793360356,0.9963713662544771,0.9070727402639792,0.5528376314896505
audit_test,ae128,uint4,0.3,in_distribution,1324,1324,98728.0,102695.3,103684.09999999999,112390,1369,1348,133,837,477,104,4031,98752.58308157099,0.5038645564961355,0.9114513981358189,0.6489689499881488,0.636986301369863,0.8894792773645058,0.742350332594235,1.3783987915407856,0.8956048053459345,1.2120683800582968,0.786554493077765,1.0739678608956642,0.6880375280629014,0.973303596844424,0.538551567891634,0.5522574194526462
audit_test,ae128,uint4,0.5,in_distribution,1324,1324,80661.0,86435.2,87683.59999999999,96988,1372,1418,130,826,502,115,4118,81140.27794561934,0.4917562724014337,0.9134487350199734,0.6393289841565704,0.6219879518072289,0.8777895855472901,0.7280740414279417,1.4501510574018126,0.9471409218267329,1.2655531712479307,0.8353668890901457,1.132799484677336,0.616007234250251,0.946228527221391,0.3633360464093101,0.5384571291200516
audit_test,ae128,uint4,0.7,in_distribution,1324,1324,60304.0,66861.1,70065.95,79323,1377,1410,125,825,510,116,4122,61054.061933534744,0.4940796555435953,0.9167776298268975,0.6421077174166472,0.6179775280898876,0.8767268862911796,0.7249560632688926,1.4501510574018126,0.9590111196249558,1.286044873957983,0.8426113009732428,1.1532929987563612,0.5432473696100935,0.9197793123612752,0.2712797685818042,0.438683027887201
audit_test,ae128,uint4,0.9,measured_extrapolation,1324,1324,35946.0,39826.100000000006,41145.35,47050,1365,1505,137,822,540,119,4232,36262.86555891239,0.47560975609756095,0.9087882822902796,0.6244281793229643,0.6035242290748899,0.873538788522848,0.713851498046027,1.5445619335347431,1.0059857111955464,1.351499367774987,0.8842311450516078,1.2081693885513565,0.3602570172918693,0.6661392647764813,0.08075015493034406,0.3338816321687826
audit_test,ae128,uint4,0.98,measured_extrapolation,1324,1324,15914.5,18519.0,19220.8,21808,1278,1388,224,802,557,139,4025,15980.364803625378,0.47936984246061515,0.8508655126498003,0.6132437619961613,0.5901398086828551,0.8522848034006376,0.697391304347826,1.4690332326283988,1.2103727542063814,1.5332819296216311,1.1357989856514208,1.3292072632004455,0.22620562343633935,0.2897238319842788,0.03728206295865332,0.351610975366086
audit_test,ae128,uint6,0.0,in_distribution,1324,1324,267225.0,268081.9,268273.85,269022,1369,1356,133,834,489,107,4048,267213.1910876133,0.5023853211009174,0.9114513981358189,0.6477407144546959,0.6303854875283447,0.8862911795961743,0.7367491166077739,1.3935045317220545,0.8795910096728626,1.19448488886112,0.7747014795342978,1.051765789960267,0.8192095068416764,0.9963904171009207,0.9075576816733633,0.553680421750745
audit_test,ae128,uint6,0.3,in_distribution,1324,1324,197298.0,202242.7,203887.5,210265,1369,1350,133,833,481,108,4033,197491.8648036254,0.5034939315924972,0.9114513981358189,0.6486614546316039,0.6339421613394216,0.8852284803400637,0.7388026607538802,1.3829305135951662,0.8828608222691353,1.1968634663448163,0.780251052985392,1.051495605161626,0.759642857887297,0.9884148936540235,0.7374426771911389,0.5530710028167289
audit_test,ae128,uint6,0.5,in_distribution,1324,1324,157725.5,165768.4,168395.4,183507,1374,1412,128,829,515,112,4130,158338.55589123868,0.49318018664752333,0.914780292942743,0.6408582089552239,0.6168154761904762,0.8809776833156217,0.7256017505470459,1.4554380664652569,0.9492790812830949,1.2688406250798496,0.8293439344999074,1.148061821548595,0.7148969665066346,0.9808476710854973,0.6230635695022423,0.5407796589321642
audit_test,ae128,uint6,0.7,in_distribution,1324,1324,111287.5,121960.3,124889.4,139613,1374,1435,128,832,526,109,4167,112351.93957703927,0.48914204343182627,0.914780292942743,0.6374391092553932,0.6126656848306333,0.8841657810839533,0.7237929534580252,1.4811178247734138,0.9555186356074029,1.2778963129573693,0.8330530960746365,1.1577634088261783,0.6574819521622673,0.9662269192331935,0.48164127519516964,0.5245776620584388
audit_test,ae128,uint6,0.9,measured_extrapolation,1324,1324,58946.5,65260.8,67496.79999999999,76382,1365,1515,137,828,539,113,4247,59404.82854984894,0.4739583333333333,0.9087882822902796,0.6230031948881788,0.6057059253840527,0.8799149840595112,0.7175043327556325,1.551359516616314,1.0002116990417391,1.3397560126155141,0.8736484387436138,1.2088576535187214,0.3448401054771013,0.5288064291099102,0.06308520838039126,0.44262867894100255
audit_test,ae128,uint6,0.98,measured_extrapolation,1324,1324,23056.5,27148.3,28031.649999999998,33062,1276,1374,226,797,561,144,4008,23118.182024169186,0.48150943396226414,0.8495339547270306,0.6146435452793835,0.5868924889543446,0.8469713071200851,0.6933449325793825,1.4614803625377644,1.2046145368400452,1.5237822827733851,1.1359854084308554,1.314490029751119,0.1936166935001468,0.13465489673836314,0.03586361141434775,0.41033157234772955
audit_test,ae128,uint8,0.0,in_distribution,1324,1324,349094.5,350594.8,350993.35,352259,1367,1360,135,832,484,109,4043,349168.46525679756,0.5012834616795013,0.9101198402130493,0.6464885315677467,0.6322188449848024,0.8841657810839533,0.7372618520159503,1.392749244712991,0.8821548360633491,1.197820890011398,0.7781730587086347,1.0529998957314912,0.8192021298798569,0.9963918959431753,0.9075926826243946,0.5536218110720004
audit_test,ae128,uint8,0.3,in_distribution,1324,1324,257326.0,263006.1,265471.75,273674,1367,1352,135,833,484,108,4036,257861.5921450151,0.5027583670467084,0.9101198402130493,0.6477138118929164,0.6324981017463933,0.8852284803400637,0.7378210806023029,1.3867069486404835,0.8848965178366341,1.20266676225589,0.7820668580117159,1.0536457915229047,0.7638013673663976,0.989017577820968,0.7493521715646068,0.5530343527136178
audit_test,ae128,uint8,0.5,in_distribution,1324,1324,204813.5,214351.9,216940.5,234340,1373,1412,129,827,512,114,4124,205428.831570997,0.49299820466786354,0.9141145139813582,0.6405411709820387,0.6176250933532487,0.8788522848034006,0.7254385964912281,1.4531722054380665,0.9449797179968581,1.2616707495661537,0.8269412944475059,1.1409491926440893,0.7355706964085563,0.9847464610484008,0.6806224709440625,0.5413431572332058
audit_test,ae128,uint8,0.7,in_distribution,1324,1324,142954.0,154479.3,157670.55,173685,1373,1427,129,830,523,111,4153,144040.4833836858,0.4903571428571429,0.9141145139813582,0.6383077638307764,0.6134515890613451,0.8820403825717322,0.7236268526591106,1.472809667673716,0.9517015453158855,1.2713984026649576,0.832280810691514,1.1492493388571654,0.6816581670200156,0.9734241307570711,0.5468039706959804,0.5247463996069948
audit_test,ae128,uint8,0.9,measured_extrapolation,1324,1324,72504.5,79208.5,81633.54999999999,92201,1364,1511,138,825,542,116,4242,72995.50604229607,0.47443478260869565,0.9081225033288948,0.6232579392277816,0.6035113386978785,0.8767268862911796,0.7149046793760833,1.5506042296072509,0.9976148298895996,1.3353850659122128,0.8757012895890216,1.1991785498532221,0.3203708017556451,0.4589026155570813,0.05555850323326781,0.4466512864765863
audit_test,ae128,uint8,0.98,measured_extrapolation,1324,1324,26316.0,30685.2,31895.7,36933,1276,1378,226,796,568,145,4018,26433.23489425982,0.48078372268274305,0.8495339547270306,0.6140519730510107,0.5835777126099707,0.8459086078639745,0.6906724511930586,1.4697885196374623,1.1987274119158386,1.5166917014911885,1.132952600806386,1.3041654257043587,0.19298627509721297,0.13173124375687476,0.035763432745824296,0.41146414878893983
audit_test,ae32,uint4,0.0,in_distribution,1324,1324,92323.5,94150.7,94841.7,96908,1375,1347,127,810,457,131,3989,92191.59818731117,0.5051432770022043,0.9154460719041279,0.6510416666666667,0.6393054459352802,0.8607863974495218,0.7336956521739131,1.3625377643504533,0.8831789185087806,1.1868154176326011,0.7908616521279089,1.0398903274886553,0.8206676318732947,0.9964744568668528,0.9083298762988494,0.5571985624541819
audit_test,ae32,uint4,0.3,in_distribution,1324,1324,65577.5,67292.7,67658.65,69901,1369,1356,133,810,473,131,4008,65647.0581570997,0.5023853211009174,0.9114513981358189,0.6477407144546959,0.6313328137178488,0.8607863974495218,0.7284172661870504,1.3814199395770392,0.8794109476245299,1.1818157659297812,0.7833591803226834,1.041750292607527,0.7291850683566118,0.9833062443769669,0.6446501464410581,0.5595988142518104
audit_test,ae32,uint4,0.5,in_distribution,1324,1324,50435.5,52256.5,52839.35,57970,1366,1371,136,803,489,138,4029,50611.05513595166,0.4990865911582024,0.9094540612516645,0.6444916253833451,0.621517027863777,0.8533475026567482,0.7192118226600984,1.404833836858006,0.9344463235642694,1.2370081428441468,0.8162391180793416,1.1355310591712575,0.6577433890912165,0.9654898532339962,0.4564204018910717,0.5513199121485818
audit_test,ae32,uint4,0.7,in_distribution,1324,1324,34470.0,36510.9,37577.149999999994,44760,1367,1379,135,798,493,143,4037,34746.21827794562,0.4978150036416606,0.9101198402130493,0.6435969868173258,0.6181254841208366,0.8480340063761955,0.7150537634408601,1.4138972809667674,0.9317417802168744,1.232892089861473,0.8245518212128216,1.115361672395496,0.6302052465353146,0.956506365783665,0.39439327615334924,0.5397160976689298
audit_test,ae32,uint4,0.9,measured_extrapolation,1324,1324,16686.0,19364.7,20156.449999999997,22883,1370,1396,132,792,489,149,4047,17093.864803625376,0.4953000723065799,0.9121171770972037,0.6419868791002812,0.6182669789227166,0.8416578108395324,0.712871287128713,1.4237160120845922,0.9495804730954693,1.2701964617887513,0.8412076039360461,1.13704364323235,0.42226638522426657,0.894105220651602,0.18323886456379082,0.18945507045740695
