scope,fixed_factor,fixed_value,compared_factor,item_a,item_b,metric,q0,q1,delta_at_q0,delta_at_q1,interval_role
within_family_quantizer,family,ae32,quantizer,uint8,uint6,veh_recall,0.3,0.5,-0.0006657789613848664,0.0,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,veh_recall,0.5,0.7,0.0,0.0006657789613848664,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,veh_recall,0.9,0.98,0.0026631158455393544,-0.001997336884154377,extrapolation_reference
within_family_quantizer,family,ae32,quantizer,uint8,uint6,ped_precision,0.3,0.5,-0.0019415380010148198,0.0008631826189078318,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,ped_recall,0.0,0.3,-0.002125398512221044,0.0,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,ped_recall,0.3,0.5,0.0,-0.005313496280552554,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,ped_recall,0.5,0.7,-0.005313496280552554,0.0010626992561105775,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,fp_per_frame,0.3,0.5,0.0030211480362538623,-0.003776435045317328,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,fp_per_frame,0.5,0.7,-0.003776435045317328,0.0060422960725075026,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,fp_per_frame,0.7,0.9,0.0060422960725075026,-0.007552870090634434,extrapolation_reference
within_family_quantizer,family,ae32,quantizer,uint8,uint6,xy_mae_m,0.3,0.5,0.0017470518236410992,-0.0010210232259636465,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint6,xy_mae_m,0.5,0.7,-0.0010210232259636465,0.0019447621391783798,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint4,veh_precision,0.0,0.3,-0.0010961835511373863,0.001664752536785108,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint4,veh_precision,0.3,0.5,0.001664752536785108,-0.00396552140756995,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint4,veh_precision,0.9,0.98,-0.0005252975318051356,0.0,extrapolation_reference
within_family_quantizer,family,ae32,quantizer,uint8,uint4,veh_recall,0.0,0.3,-0.0033288948069241098,0.0,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint4,veh_recall,0.3,0.5,0.0,0.0026631158455392434,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint4,veh_recall,0.9,0.98,0.001997336884154488,0.0,extrapolation_reference
within_family_quantizer,family,ae32,quantizer,uint8,uint4,ped_recall,0.3,0.5,0.004250797024442088,-0.006376195536663132,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint4,ped_recall,0.5,0.7,-0.006376195536663132,0.0031880977683316214,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint4,xy_mae_m,0.0,0.3,-0.002184844665858665,0.0016246457681953208,in_distribution
within_family_quantizer,family,ae32,quantizer,uint8,uint4,xy_mae_m,0.3,0.5,0.0016246457681953208,-0.01670373152678073,in_distribution
within_family_quantizer,family,ae32,quantizer,uint6,uint4,veh_precision,0.0,0.3,-0.00016356471891398883,0.001847288394850044,in_distribution
within_family_quantizer,family,ae32,quantizer,uint6,uint4,veh_precision,0.3,0.5,0.001847288394850044,-0.00396552140756995,in_distribution
