q,q_support,low_total_cells,low_dropped_cells,low_retained_cells,low_actual_drop_fraction,high_total_cells,high_dropped_cells,high_retained_cells,high_actual_drop_fraction,q_equals_one_forbidden
0.0,in_distribution,5184,0,5184,0.0,1296,0,1296,0.0,False
0.05,in_distribution,5184,259,4925,0.04996141975308642,1296,65,1231,0.05015432098765432,False
0.1,in_distribution,5184,518,4666,0.09992283950617284,1296,130,1166,0.10030864197530864,False
0.15,in_distribution,5184,778,4406,0.15007716049382716,1296,194,1102,0.14969135802469136,False
0.2,in_distribution,5184,1037,4147,0.20003858024691357,1296,259,1037,0.19984567901234568,False
0.25,in_distribution,5184,1296,3888,0.25,1296,324,972,0.25,False
0.3,in_distribution,5184,1555,3629,0.29996141975308643,1296,389,907,0.3001543209876543,False
0.35,in_distribution,5184,1814,3370,0.34992283950617287,1296,454,842,0.35030864197530864,False
0.4,in_distribution,5184,2074,3110,0.40007716049382713,1296,518,778,0.39969135802469136,False
0.45,in_distribution,5184,2333,2851,0.45003858024691357,1296,583,713,0.4498456790123457,False
0.5,in_distribution,5184,2592,2592,0.5,1296,648,648,0.5,False
0.55,in_distribution,5184,2851,2333,0.5499614197530864,1296,713,583,0.5501543209876543,False
0.6,in_distribution,5184,3110,2074,0.5999228395061729,1296,778,518,0.6003086419753086,False
0.65,in_distribution,5184,3370,1814,0.6500771604938271,1296,842,454,0.6496913580246914,False
0.7,in_distribution,5184,3629,1555,0.7000385802469136,1296,907,389,0.6998456790123457,False
0.75,in_distribution,5184,3888,1296,0.75,1296,972,324,0.75,False
0.8,in_distribution,5184,4147,1037,0.7999614197530864,1296,1037,259,0.8001543209876543,False
0.9,measured_extrapolation,5184,4666,518,0.9000771604938271,1296,1166,130,0.8996913580246914,False
0.98,measured_extrapolation,5184,5080,104,0.9799382716049383,1296,1270,26,0.9799382716049383,False
