split,family,quantizer,q0,q1,interval_role,paired_frames,nonincreasing_or_tied_fraction,strict_increase_count,mean_delta_bytes,median_delta_bytes,max_increase_bytes
audit_validation,ae32,uint8,0.0,0.3,in_distribution,838,1.0,0,-66787.54534606205,-66932.5,0
audit_validation,ae32,uint8,0.3,0.5,in_distribution,838,1.0,0,-41608.57517899761,-41821.5,0
audit_validation,ae32,uint8,0.5,0.7,in_distribution,838,1.0,0,-44497.865155131265,-44620.5,0
audit_validation,ae32,uint8,0.7,0.9,extrapolation_reference,838,1.0,0,-46423.5477326969,-46526.0,0
audit_validation,ae32,uint8,0.9,0.98,extrapolation_reference,838,1.0,0,-23363.670644391408,-22958.0,0
audit_validation,ae64,uint4,0.0,0.3,in_distribution,838,1.0,0,-26445.28520286396,-26656.0,0
audit_validation,ae64,uint4,0.3,0.5,in_distribution,838,1.0,0,-14203.792362768496,-14284.5,0
audit_validation,ae64,uint4,0.5,0.7,in_distribution,838,1.0,0,-17074.628878281623,-16958.5,0
audit_validation,ae64,uint4,0.7,0.9,extrapolation_reference,838,1.0,0,-21901.306682577564,-21825.0,0
audit_validation,ae64,uint4,0.9,0.98,extrapolation_reference,838,1.0,0,-13844.53937947494,-13691.5,0
audit_validation,ae64,uint6,0.0,0.3,in_distribution,838,1.0,0,-55829.707637231506,-56127.0,0
audit_validation,ae64,uint6,0.3,0.5,in_distribution,838,1.0,0,-31437.165871121717,-31516.0,0
audit_validation,ae64,uint6,0.5,0.7,in_distribution,838,1.0,0,-37705.715990453464,-37637.5,0
audit_validation,ae64,uint6,0.7,0.9,extrapolation_reference,838,1.0,0,-44263.48210023867,-44209.0,0
audit_validation,ae64,uint6,0.9,0.98,extrapolation_reference,838,1.0,0,-24681.712410501194,-24615.5,0
audit_validation,ae64,uint8,0.0,0.3,in_distribution,838,1.0,0,-73637.87350835322,-73854.0,0
audit_validation,ae64,uint8,0.3,0.5,in_distribution,838,1.0,0,-42922.498806682575,-42855.0,0
audit_validation,ae64,uint8,0.5,0.7,in_distribution,838,1.0,0,-51091.57279236277,-51067.5,0
audit_validation,ae64,uint8,0.7,0.9,extrapolation_reference,838,1.0,0,-58632.28878281623,-58526.0,0
audit_validation,ae64,uint8,0.9,0.98,extrapolation_reference,838,1.0,0,-31624.27088305489,-31611.0,0
audit_validation,noae,uint4,0.0,0.3,in_distribution,838,1.0,0,-105350.47971360383,-105677.0,0
audit_validation,noae,uint4,0.3,0.5,in_distribution,838,1.0,0,-51077.85680190931,-51076.0,0
audit_validation,noae,uint4,0.5,0.7,in_distribution,838,1.0,0,-55912.276849642,-55668.0,0
