family,quantizer,metric,measured_in_distribution_q_count,expected_direction,monotonic_increasing,monotonic_decreasing,slope_direction_changes,largest_absolute_slope_per_q,coarse_loo_max_absolute_error,dense_smoothness_test_available
ae32,uint8,ped_precision,4,none,False,True,0,0.07262617875570865,0.00852143708067643,False
ae32,uint8,ped_recall,4,none,False,False,1,0.09032943676939409,0.011158342189160453,False
ae32,uint8,fp_per_frame,4,none,True,False,0,0.2643504531722052,0.031722054380664666,False
ae32,uint8,xy_mae_m,4,none,True,False,0,0.18353499322381728,0.022007591366936752,False
ae32,uint8,xy_rmse_m,4,none,True,False,0,0.1850762118144944,0.022185067616099508,False
ae32,uint8,miou,4,none,False,True,0,0.11920488549080233,0.005550863673481676,False
ae64,uint4,payload_bytes_mean,4,decreasing,False,True,0,88293.82175226585,2048.883987915411,False
ae64,uint4,veh_precision,4,none,False,True,0,0.02672635360182974,0.0025782286206235128,False
ae64,uint4,veh_recall,4,none,False,False,2,0.009986684420772442,0.0013315579227697327,False
ae64,uint4,ped_precision,4,none,False,False,2,0.03628105438184648,0.005125770909167993,False
ae64,uint4,ped_recall,4,none,False,False,1,0.04250797024442088,0.006376195536663132,False
ae64,uint4,fp_per_frame,4,none,False,False,2,0.10574018126888188,0.013595166163141936,False
ae64,uint4,xy_mae_m,4,none,False,False,2,0.3567571647801593,0.04482406669828043,False
ae64,uint4,xy_rmse_m,4,none,False,False,2,0.44710091216837555,0.05591053677096891,False
ae64,uint4,miou,4,none,False,True,0,0.27562491859174443,0.008371071315372847,False
ae64,uint6,payload_bytes_mean,4,decreasing,False,True,0,188846.54078549854,3449.0493957703875,False
ae64,uint6,veh_precision,4,none,False,False,2,0.028805353954029507,0.003178844564180827,False
ae64,uint6,veh_recall,4,none,False,False,2,0.0332889480692411,0.005326231691078487,False
ae64,uint6,ped_precision,4,none,False,False,2,0.01160990712074317,0.0016523867809058457,False
ae64,uint6,ped_recall,4,none,True,False,0,0.01594048884165811,0.0015940488841658107,False
ae64,uint6,fp_per_frame,4,none,False,False,2,0.12839879154078584,0.01699395770392753,False
ae64,uint6,xy_mae_m,4,none,False,False,1,0.29011890303525634,0.035039378154934075,False
ae64,uint6,xy_rmse_m,4,none,True,False,0,0.3631167981842798,0.043301176071675496,False
ae64,uint6,miou,4,none,False,True,0,0.11594234770686554,0.0036699917959955863,False
ae64,uint8,payload_bytes_mean,4,decreasing,False,True,0,255641.9637462236,4172.728474320233,False
ae64,uint8,veh_precision,4,none,False,False,2,0.022445633697785742,0.0033793987938399717,False
ae64,uint8,veh_recall,4,none,False,False,1,0.029960053262317328,0.005659121171771031,False
ae64,uint8,ped_precision,4,none,True,False,0,0.01444649524970032,0.0013425086400405961,False
ae64,uint8,ped_recall,4,none,False,False,1,0.02656748140276277,0.0031880977683315104,False
ae64,uint8,fp_per_frame,4,none,False,False,2,0.12084592145015119,0.02077039274924486,False
ae64,uint8,xy_mae_m,4,none,False,False,1,0.324197382851224,0.041844422831596395,False
ae64,uint8,xy_rmse_m,4,none,False,False,1,0.41419146335198387,0.05463480410953436,False
ae64,uint8,miou,4,none,False,True,0,0.07966623882380731,0.002290193369321125,False
noae,uint4,payload_bytes_mean,4,decreasing,False,True,0,351785.68227593147,11795.538972809678,False
noae,uint4,veh_precision,4,none,False,False,1,0.028728698417630483,0.005746996981749408,False
noae,uint4,veh_recall,4,none,False,False,2,0.05326231691078598,0.007190412782956068,False
noae,uint4,ped_precision,4,none,False,False,1,0.10171047500340535,0.013057851136864751,False
noae,uint4,ped_recall,4,none,False,False,2,0.1700318809776835,0.0242295430393199,False
noae,uint4,fp_per_frame,4,none,False,False,1,0.13217522658610315,0.02311178247734147,False
noae,uint4,xy_mae_m,4,none,False,False,1,0.37323030870955787,0.044945256338192685,False
noae,uint4,xy_rmse_m,4,none,True,False,0,0.452540337084405,0.05389282324531641,False
noae,uint4,miou,4,none,False,True,0,0.5321623482735133,0.03993096757153036,False
noae,uint6,payload_bytes_mean,4,decreasing,False,True,0,748221.752265861,20232.79984894255,False
noae,uint6,veh_precision,4,none,False,True,0,0.013374016456430552,0.001265785577920564,False
noae,uint6,veh_recall,4,none,False,True,0,0.01331557922769622,0.0003328894806924332,False
noae,uint6,ped_precision,4,none,False,False,2,0.021016985257723553,0.0027984339622838528,False
noae,uint6,ped_recall,4,none,False,False,1,0.09564293304994698,0.011902231668437846,False
noae,uint6,fp_per_frame,4,none,False,False,2,0.07930513595166166,0.011933534743202356,False
noae,uint6,xy_mae_m,4,none,False,False,1,0.44152705514112933,0.05357243253985111,False
noae,uint6,xy_rmse_m,4,none,False,False,1,0.4016584919092092,0.04861873214228907,False
noae,uint6,miou,4,none,False,True,0,0.13381142636425372,0.0008533769294849503,False
noae,uint8,payload_bytes_mean,4,decreasing,False,True,0,992057.439577039,19918.63096676732,False
noae,uint8,veh_precision,4,none,False,True,0,0.019854538215131057,0.001864378541333922,False
noae,uint8,veh_recall,4,none,False,False,1,0.013315579227696217,0.0016644474034619439,False
noae,uint8,ped_precision,4,none,False,False,2,0.006147698300139985,0.0011692401399777674,False
noae,uint8,ped_recall,4,none,False,True,0,0.09564293304994642,0.0102019128586609,False
noae,uint8,fp_per_frame,4,none,True,False,0,0.020140986908358343,0.001057401812688763,False
noae,uint8,xy_mae_m,4,none,False,False,1,0.45468323343145156,0.05499331980120903,False
noae,uint8,xy_rmse_m,4,none,False,False,1,0.4464851140248838,0.05483274600291055,False
noae,uint8,miou,4,none,False,True,0,0.11615200579969862,0.0011847901215568113,False
