split,family,quantizer,q0,q1,interval_role,metric,value_q0,value_q1,observed_delta,delta_ci95_low,delta_ci95_high,bootstrap_reps,resampling_unit
audit_test,ae128,uint4,0.0,0.3,in_distribution,payload_bytes_mean,132284.40483383686,98752.58308157099,-33531.82175226587,-33745.02840319444,-33319.713529712026,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,veh_precision,0.5033088235294118,0.5038645564961355,0.0005557329667237321,-0.0031980261424220556,0.0043649710273176824,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,veh_recall,0.9114513981358189,0.9114513981358189,0.0,-0.0042230514360671965,0.004129672456073611,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,ped_precision,0.6377473363774734,0.636986301369863,-0.0007610350076103778,-0.009233443560928853,0.008048725434530404,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,ped_recall,0.8905419766206164,0.8894792773645058,-0.0010626992561105775,-0.004771191870274602,0.0022731828595231045,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,fp_per_frame,1.3799093655589123,1.3783987915407856,-0.001510574018126709,-0.021456975367023772,0.017760717786624528,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,xy_mae_m,0.8897036854175306,0.8956048053459339,0.005901119928403253,-0.004069508059226434,0.016175784196515698,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,xy_rmse_m,1.2073250920100336,1.2120683800582965,0.004743288048262961,-0.011957664946701918,0.02144548405664504,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,miou,0.8187605793360356,0.6880375280629014,-0.13072305127313422,-0.1411919926464318,-0.12047455258166188,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,iou_vehicle,0.9070727402639792,0.538551567891634,-0.36852117237234516,-0.39910999602664615,-0.3385130937876242,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.0,0.3,in_distribution,iou_person,0.5528376314896505,0.5522574194526462,-0.0005802120370043129,-0.0020875305342634154,0.0009510968323139466,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.3,0.5,in_distribution,payload_bytes_mean,98752.58308157099,81140.27794561934,-17612.305135951654,-17741.05647739533,-17476.59243455549,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.3,0.5,in_distribution,veh_precision,0.5038645564961355,0.4917562724014337,-0.012108284094701771,-0.020415333991951723,-0.0039647165852017795,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.3,0.5,in_distribution,veh_recall,0.9114513981358189,0.9134487350199734,0.001997336884154488,-0.005529695700219639,0.010191867969405296,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.3,0.5,in_distribution,ped_precision,0.636986301369863,0.6219879518072289,-0.014998349562634128,-0.030528183722965504,-0.00038167680003416664,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.3,0.5,in_distribution,ped_recall,0.8894792773645058,0.8777895855472901,-0.011689691817215686,-0.031796359499431104,0.005735523866507153,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.3,0.5,in_distribution,fp_per_frame,1.3783987915407856,1.4501510574018126,0.07175226586102701,0.03367886990549461,0.1139627516201182,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.3,0.5,in_distribution,xy_mae_m,0.8956048053459339,0.9471409218267327,0.05153611648079881,0.025843610944055427,0.07703114156577257,2000,trajectory_block_with_all_q_rows
audit_test,ae128,uint4,0.3,0.5,in_distribution,xy_rmse_m,1.2120683800582965,1.2655531712479307,0.05348479118963412,0.018422386276905317,0.09060426948710908,2000,trajectory_block_with_all_q_rows
