label,short,run_group,color,prb_ceiling,frames,received,delivery,feature_kb,feature_chunks,front_ms,rtt_ms,rtt_p95_ms,back_ms,downlink_ms,uplink_ms,rlc_occ_mean_kb,rlc_occ_p95_kb,rlc_occ_max_kb,rlc_queue_ms,mcs_p50,mcs_p95,prb_p50,tbs_p50,ran_p50_ms,ran_p95_ms,snr_p50_db
"273 adaptive
uint8",273-adapt-u8,downlink_oai_bw273_mu1_ttracer_fps10_layerinstr_20260722_191024,#D1495B,273,1300.0,995.0,0.7653846153846153,1054.10498046875,18.0,25.18522301397752,185.996366024483,203.4405237995088,7.436599000357091,3.142833709716797,174.3142604827881,136.91980236383543,942.8779296875,1105.880859375,103.31377325249753,4.0,8.0,273.0,1697.0,112.21854400355369,162.7433225978166,50.5
"273 adaptive
uint4",273-adapt-u4,downlink_oai_bw273_mu1_ttracer_int4_adaptive_fps10_int4_adaptive_20260723,#F6AE2D,273,1300.0,1298.0,0.9984615384615385,394.58837890625,7.0,23.487912010750733,112.65550200187135,126.95050343900219,7.855523988837376,3.1980276107788086,100.65591335296631,53.36980911907345,352.9701171874999,422.8515625,54.432784765656294,2.0,5.0,273.0,1441.0,61.74257850216236,94.8992629928398,50.5
"273 fixed
MCS28",273-fixed28-u8,downlink_oai_bw273_mu1_ttracer_forcemcs28_fps10_forcemcs28_bw273_20260723,#2E86AB,273,1300.0,959.0,0.7376923076923076,1055.55029296875,19.0,25.116915494436398,46.970946015790105,57.93486439215484,7.167175004724413,2.962589263916016,35.79425811767578,18.27158769278885,0.0,1109.4990234375,12.656351708200617,28.0,28.0,273.0,5637.0,16.750982002122328,26.147164613939818,50.5
"106 fixed
MCS28",106-fixed28-u8,downlink_oai_ulheavy_106_ttracer_forcemcs28_fps10_forcemcs28_ulheavy106_20260723,#54A24B,106,1300.0,943.0,0.7253846153846154,1051.59228515625,18.0,24.497368503944017,47.24941501626745,62.74771757598501,7.721668021986261,3.231048583984375,35.01272201538086,8.073348625575136,0.0,1081.0537109375,5.871121030252191,28.0,28.0,106.0,8961.0,14.692820986965671,25.369935802882537,50.5
"106 default
AE128 u6 r0.5",106-adapt-ae128-u6-r05,downlink_oai_default106_ttracer_ae128_u6_roi05_fps10_ae128_u6_roi05_default106_20260723,#8A60B0,106,1300.0,1298.0,0.9984615384615385,152.71240234375,3.0,21.850858494872227,64.23333898419514,76.75708033493719,7.549127491074614,3.177046775817871,52.56986618041992,12.308605011783486,118.63671875,170.341796875,29.29241626743936,2.0,5.0,106.0,561.0,33.591968996915966,50.64689245627958,50.5
