run_label,run_group,window_s,elapsed_s,rows,old_mcs_p50,new_mcs_p50,new_mcs_p95,updated_rows,num_sched_p50,num_sched_p95,bler_after_p50,increase_rows,few_sample_rows,high_bler_rows,hold_rows
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,23,23.4109965,560,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,24,24.245756,554,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,25,25.6908045,1006,4.0,4.0,8.0,50,1.0,60.0,0.0,17,33,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,26,26.731068999999998,547,4.0,4.0,8.0,52,1.0,60.0,0.0,10,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,27,27.576652000000003,563,4.0,4.0,8.0,54,1.0,60.0,0.0,9,45,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,28,28.408057999999997,523,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,29,29.244363,547,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,30,30.304294,1004,4.0,4.0,8.0,52,1.0,60.0,0.0,17,35,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,31,31.733313,544,4.0,4.0,8.0,48,1.0,60.0,0.0,10,38,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,32,32.584047,549,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,33,33.42066749999999,558,4.0,4.0,8.0,50,1.0,60.0,0.0,9,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,34,34.2389405,562,4.0,4.0,8.0,51,1.0,60.0,0.0,9,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,35,35.6610315,1006,4.0,4.0,8.0,51,1.0,60.0,0.0,17,34,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,36,36.740489499999995,560,4.0,4.0,8.0,51,1.0,60.0,0.0,10,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,37,37.576638,541,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,38,38.405139500000004,522,4.0,4.0,8.0,54,1.0,60.0,0.0,9,45,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,39,39.257036,553,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,40,40.720888,1043,4.0,4.0,8.0,51,1.0,60.0,0.0,17,34,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,41,41.7433445,560,4.0,4.0,8.0,52,1.0,60.0,0.0,10,42,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,42,42.575428,565,4.0,4.0,8.0,53,1.0,60.0,0.0,9,44,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,43,43.4123095,550,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,44,44.251095,572,4.0,4.0,8.0,50,1.0,60.0,0.0,10,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,45,45.815662,989,4.0,4.0,8.0,48,1.0,60.0,0.0,16,32,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,46,46.735459999999996,561,4.0,4.0,8.0,53,1.0,60.0,0.0,10,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,47,47.575246,522,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,48,48.410879,558,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,49,49.251596,573,4.0,4.0,8.0,48,1.0,60.0,0.0,9,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,50,50.227649,1014,4.0,4.0,8.0,47,1.0,60.0,0.0,17,30,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,51,51.742619,553,4.0,4.0,8.0,50,1.0,60.0,0.0,10,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,52,52.580135999999996,536,4.0,4.0,8.0,48,1.0,60.0,0.0,9,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,53,53.4137705,522,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,54,54.248841500000005,550,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,55,55.599934000000005,1039,4.0,4.0,8.0,49,1.0,60.0,0.0,17,32,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,56,56.733818,565,4.0,4.0,8.0,54,1.0,60.0,0.0,10,44,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,57,57.572738,561,4.0,4.0,8.0,53,1.0,60.0,0.0,9,44,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,58,58.407237,538,4.0,4.0,8.0,55,1.0,60.0,0.0,9,46,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,59,59.253484,553,4.0,4.0,8.0,50,1.0,60.0,0.0,9,41,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,60,60.582626999999995,1014,4.0,4.0,8.0,50,1.0,60.0,0.0,17,33,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,61,61.743560499999994,570,4.0,4.0,8.0,49,1.0,60.0,0.0,10,39,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,62,62.570747999999995,563,4.0,4.0,8.0,54,1.0,60.0,0.0,9,45,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,63,63.417418999999995,561,4.0,4.0,8.0,52,1.0,60.0,0.0,9,43,0,0
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,64,64.250413,537,4.0,4.0,8.0,49,1.0,60.0,0.0,9,40,0,0
