label,condition,note,frames,received,delivery_pct,feature_kb_p50,result_kb_p50,capture_to_result_p50_ms,rtt_p50_ms,front_ms,uplink_ms,direct_uplink_p50_ms,edge_ms,downlink_ms,median_residual_folded_into_uplink_ms
"Loopback
floor",Ideal loopback,"1.05 MB, no OAI",1300,1300,100.0,1053.87841796875,2.42822265625,46.0747100005392,18.276401489856653,26.669416984077543,9.507098817266524,7.602894998854026,8.29268348752521,1.605510711669922,1.9042038184124976
"OAI 273
adaptive
full payload","OAI 273PRB adaptive, no-AE uint8",1.05 MB,1300,1110,85.38461538461539,1054.568359375,2.36669921875,212.73261999886017,186.0683550039539,25.958015510695983,176.39888363191858,174.22755248844624,7.369500992354006,3.0062198638916016,2.1713311434723437
"OAI 273
fixed
MCS28","OAI 273PRB fixed MCS28, no-AE uint8",1.06 MB,1300,959,73.76923076923076,1055.55029296875,2.2421875,73.43375802156515,46.970946015790105,25.1169154944364,38.18707825848833,35.80563599825837,7.167175004724413,2.962589263916016,2.38144226022996
"OAI 273
adaptive
uint4","OAI 273PRB adaptive, no-AE uint4",395 KB,1300,1298,99.84615384615384,394.58837890625,2.185546875,136.70450198696926,112.65550200187135,23.487912010750733,102.16303837660234,100.65814650442915,7.855523988837376,3.1980276107788086,1.5048918721731894
"OAI 106
adaptive
AE128 u6","OAI 106PRB adaptive, AE128 uint6 ROI0.5",153 KB,1300,1298,99.84615384615384,152.71240234375,2.3447265625,86.54341498913709,64.23333898419514,21.850858494872227,53.96638222737238,52.57172750134487,7.549127491074614,3.177046775817871,1.394654726027511
