mcs,modulation,Qm,code_rate,spectral_eff_bits_per_re,role,ceiling_mbps
4,QPSK,2,0.30078125,0.6015625,CARLA 273 p50,40.2026625
7,QPSK,2,0.513671875,1.02734375,CARLA 106 p50,68.65779375
8,QPSK,2,0.587890625,1.17578125,QPSK high,78.57793125
13,16QAM,4,0.478515625,1.9140625,mid 16QAM,127.9175625
16,16QAM,4,0.642578125,2.5703125,16QAM high,171.7750125
28,64QAM,6,0.92578125,5.5546875,iperf/fixed,371.2219875
