label,delivery_pct,app_rtt_p50,capture_to_result_p50,feature_upload_p50,downlink_p50,mcs_p50,retx_mean_pct,snr_p50,rlc_wait_mean_ms,ran_transit_mean_ms,result_wait_p50,timeouts,high_bler_update_pct,few_sample_update_pct,retx_update_pct
Vanilla OAI,74.66666666666667,294.5969635002257,318.8816649999353,280.22849559783936,6.059527397155762,15.686131,1.17396889632107,20.0,191.0,193.0,288.1153060025099,76,1.2351543942992875,53.396674584323044,2.7553444180522564
Hold few samples,72.66666666666667,243.5370685016096,269.70437450108875,225.1839637756348,7.783770561218262,25.094595,7.236519795221839,20.0,130.0,134.1,234.12924050171569,82,9.211873080859775,62.94779938587512,18.321392016376663
