label,run_group,ul_rows,active_ul_rows,updated_rows,active_start_s,active_end_s,new_mcs_p50,new_mcs_p95,new_mcs_last_nonzero,num_sched_p50_updated,num_sched_p95_updated,branch_increase_pct_updated,branch_few_samples_pct_updated,branch_high_bler_pct_updated,branch_hold_pct_updated,bler_after_p50_updated,bler_after_p95_updated
observed pace 1.2FPS,carla_shape_udp_bw273_blertrace_observed_20260723_173640,87506,85194,6736,11.002105,143.870224,4.0,8.0,1.0,1.0,60.0,21.377672209026127,78.62232779097387,0.0,0.0,0.0,0.0
open loop 10FPS,carla_shape_udp_bw273_blertrace_openloop_20260723_174042,117499,113907,5998,11.043469,141.485317,23.0,25.0,1.0,3.5,60.0,50.0,50.0,0.0,0.0,0.0,0.0
