label,decoded_lcid4_mbps_p50,decoded_lcid4_mbps_p95,scheduled_mbps_active_p50,scheduled_mbps_active_p95,delivered_rtt_ms_p50,delivered_rtt_ms_p95,result_wait_ms_p50,downlink_ms_p50,timeouts
Vanilla OAI,10.275436,17.739430000000002,11.561252,21.643608,281.4865234995523,599.0298721024374,269.4993675013393,7.747559000563342,48
Hold few samples,16.641976,20.460752,18.27268,23.335288,235.34281950014702,325.0428292503784,228.82379549992038,7.152975500503089,44
