label,delivery_pct,capture_to_result_ms,uplink_ms,rtt_ms,mcs_p50,mcs_p95,sched_mbps_p50,sched_mbps_p95,retx_pct,snr_db_p50,feature_kb
"Vanilla
OAI",84.0,305.66619699857256,259.97066497802734,281.4865234995523,18.184466,19.0,9.06292,20.4454,1.14902953736654,20.0,1040.7666015625
"Hold few
samples",85.33333333333334,259.5104909978545,219.26820278167725,235.34281950014704,25.311635000000003,26.0,12.56892,23.1400424,6.425067199999999,20.0,1041.29541015625
