label,samples_bsr,samples_pusch,bsr_p50_kb,bsr_p95_kb,bsr_max_kb,snr_p50_db,snr_p05_db,snr_p95_db,phr_p50,rb_p50,rb_p95,mcs_p50,mcs_p95,tbs_p50_b,tbs_p95_b
"iperf
smooth UDP",20670,20670,1.228515625,10.0966796875,22.25,50.5,50.0,51.0,65.0,95.0,273.0,28.0,28.0,4992.0,9222.0
"CARLA
1 MB bursts",690585,691751,685.837890625,1045.3650390624998,1106.828125,50.5,50.0,51.0,65.0,273.0,273.0,4.0,8.0,1633.0,4867.0
