condition,start_kb,end_kb,drain_ms,burst_slope_mbps,grant_mcs_p50,grant_mcs_p95,grant_prb_p50,grant_tbs_p50
adaptive_low_mcs,1033.736328125,95.8115234375,150.01099999790313,51.21944390816274,4.0,8.0,273.0,1633.0
fixed_mcs28,1061.3125,78.9541015625,24.999999994179234,321.899200074948,28.0,28.0,273.0,5637.0
