seq,send_monotonic_ns,send_wall_ns,send_ok,acked,ack_monotonic_ns,ack_source_expected,ack_latency_ms
0,1590020147139189,1787375375083594720,1,1,1590020167374975,1,20.2358
1,1590020247208984,1787375375183664823,1,1,1590020271357686,1,24.1487
2,1590020347192724,1787375375283648133,1,1,1590020368948074,1,21.7553
3,1590020447192239,1787375375383647646,1,1,1590020467717350,1,20.5251
4,1590020547194846,1787375375483650342,1,1,1590020569784684,1,22.5898
5,1590020647193401,1787375375583648943,1,1,1590020667925423,1,20.7320
6,1590020747193626,1787375375683649148,1,1,1590020768053481,1,20.8599
7,1590020847192840,1787375375783648364,1,1,1590020869675437,1,22.4826
8,1590020947192336,1787375375883647773,1,1,1590020969065223,1,21.8729
9,1590021047200313,1787375375983655820,1,1,1590021059278398,1,12.0781
10,1590021147194277,1787375376083649949,1,1,1590021168310017,1,21.1157
11,1590021247193467,1787375376183649269,1,1,1590021266018322,1,18.8249
12,1590021347195338,1787375376283650896,1,1,1590021371029183,1,23.8338
13,1590021447193618,1787375376383649223,1,1,1590021458993388,1,11.7998
14,1590021547193699,1787375376483649024,1,1,1590021567629938,1,20.4362
15,1590021647194387,1787375376583650013,1,1,1590021673481578,1,26.2872
16,1590021747193513,1787375376683649093,1,1,1590021768755616,1,21.5621
17,1590021847193826,1787375376783649494,1,1,1590021868004627,1,20.8108
18,1590021947193023,1787375376883648451,1,1,1590021969737962,1,22.5449
19,1590022047193536,1787375376983649012,1,1,1590022059694892,1,12.5014
20,1590022147194099,1787375377083649551,1,1,1590022168343824,1,21.1497
21,1590022247193355,1787375377183648731,1,1,1590022258314313,1,11.1210
22,1590022347193881,1787375377283649314,1,1,1590022369837772,1,22.6439
23,1590022447193473,1787375377383648888,1,1,1590022468658857,1,21.4654
24,1590022547203381,1787375377483658808,1,1,1590022568800614,1,21.5972
25,1590022647203900,1787375377583659325,1,1,1590022670064449,1,22.8605
26,1590022747191694,1787375377683647284,1,1,1590022758837191,1,11.6455
27,1590022847198751,1787375377783654501,1,1,1590022869878075,1,22.6793
28,1590022947204814,1787375377883660413,1,1,1590022967670284,1,20.4655
29,1590023047234933,1787375377983690816,1,1,1590023069556197,1,22.3213
30,1590023147203992,1787375378083659629,1,1,1590023158038394,1,10.8344
31,1590023247204280,1787375378183659747,1,1,1590023270473525,1,23.2692
32,1590023347154538,1787375378283609896,1,1,1590023358927933,1,11.7734
33,1590023447203964,1787375378383659509,1,1,1590023470252722,1,23.0488
34,1590023547208570,1787375378483664072,1,1,1590023567079945,1,19.8714
35,1590023647196899,1787375378583652456,1,1,1590023670188723,1,22.9918
36,1590023747197087,1787375378683652705,1,1,1590023761893844,1,14.6968
37,1590023847193123,1787375378783648520,1,1,1590023869770240,1,22.5771
38,1590023947194090,1787375378883649511,1,1,1590023959937659,1,12.7436
39,1590024047192824,1787375378983648183,1,1,1590024070481396,1,23.2886
40,1590024147198087,1787375379083653628,1,1,1590024166350790,1,19.1527
41,1590024247194062,1787375379183649531,1,1,1590024267500685,1,20.3066
42,1590024347191309,1787375379283647249,1,1,1590024368272169,1,21.0809
43,1590024447191907,1787375379383647487,1,1,1590024467034471,1,19.8426
44,1590024547195214,1787375379483650717,1,1,1590024564867173,1,17.6720
45,1590024647192615,1787375379583648129,1,1,1590024667829703,1,20.6371
46,1590024747192102,1787375379683647591,1,1,1590024768613944,1,21.4218
47,1590024847192495,1787375379783647989,1,1,1590024865913524,1,18.7210
48,1590024947198316,1787375379883654014,1,1,1590024967683985,1,20.4857
49,1590025047192348,1787375379983647949,1,1,1590025065729634,1,18.5373
50,1590025147192112,1787375380083647529,1,1,1590025164872474,1,17.6804
51,1590025247192437,1787375380183648149,1,1,1590026903471814,1,1656.2794
52,1590025347201404,1787375380283657309,1,1,1590026903486617,1,1556.2852
53,1590025447191772,1787375380383647379,1,1,1590026903488698,1,1456.2969
54,1590025547198638,1787375380483654494,1,1,1590026904316600,1,1357.1180
55,1590025647201045,1787375380583656907,1,1,1590026904971892,1,1257.7708
56,1590025747193514,1787375380683649074,1,1,1590026904976331,1,1157.7828
57,1590025847196915,1787375380783652373,1,1,1590026905575662,1,1058.3787
58,1590025947155104,1787375380883610807,1,1,1590026905577528,1,958.4224
59,1590026047197421,1787375380983653469,1,1,1590026905578807,1,858.3814
60,1590026147200269,1787375381083656010,1,1,1590026905580080,1,758.3798
61,1590026247193013,1787375381183648780,1,1,1590026905581375,1,658.3884
62,1590026347195496,1787375381283651239,1,1,1590026905582691,1,558.3872
63,1590026447194405,1787375381383650100,1,1,1590026905583956,1,458.3896
64,1590026547192931,1787375381483648862,1,1,1590026918801443,1,371.6085
65,1590026647192236,1787375381583648020,1,1,1590026935762766,1,288.5705
66,1590026747192780,1787375381683648620,1,1,1590026935778543,1,188.5858
67,1590026847202354,1787375381783658194,1,1,1590026943843800,1,96.6414
68,1590026947195470,1787375381883650940,1,1,1590027035214962,1,88.0195
69,1590027047192636,1787375381983648175,1,1,1590027118157977,1,70.9653
