1787366053980385175,1580699043930280,connecting to 127.0.0.1:2031
1787366053980432530,1580699043977531,turning ON GNB_MAC_PUSCH_POWER_CONTROL
1787366053980434786,1580699043979748,time,rnti,frame,slot,snrx10,phr,tpc,tb_size,txpower_calc,rbSize,mcs,rssi
1787366055258966489,1580700322511462,19:34:15.257972,54060,11,8,505,61,1,10247,0,106,28,860
1787366055258971317,1580700322516245,19:34:15.258310,54060,11,9,505,61,1,8197,0,85,28,860
1787366055322216157,1580700385761289,19:34:15.321659,54060,21,8,505,61,0,480,0,5,28,860
1787366055347757568,1580700411303132,19:34:15.346860,54060,25,7,505,48,0,106,0,5,28,860
1787366055350888951,1580700414433958,19:34:15.350419,54060,25,17,505,48,0,106,0,5,28,860
1787366055354143925,1580700417689064,19:34:15.353389,54060,26,7,500,48,0,2178,0,106,28,860
1787366055355131183,1580700418676230,19:34:15.353941,54060,26,8,505,61,0,10247,0,106,28,860
1787366055355136264,1580700418681236,19:34:15.354206,54060,26,9,505,61,0,8197,0,85,28,860
1787366055357145717,1580700420690810,19:34:15.356731,54060,26,17,500,61,0,2178,0,106,28,860
1787366055358223459,1580700421768736,19:34:15.357223,54060,26,18,505,61,0,10247,0,106,28,860
1787366055358230981,1580700421775926,19:34:15.357490,54060,26,19,505,61,1,8197,0,85,28,860
1787366055418267638,1580700481812850,19:34:15.417796,54060,36,8,505,61,0,480,0,5,28,860
1787366055449893031,1580700513438223,19:34:15.449295,54060,41,7,510,48,0,106,0,5,28,890
1787366055453058738,1580700516603937,19:34:15.452580,54060,41,17,505,48,0,106,0,5,28,860
1787366055456377062,1580700519922119,19:34:15.455781,54060,42,7,500,48,0,2178,0,106,28,860
1787366055456379794,1580700519924722,19:34:15.456211,54060,42,8,505,61,0,10247,0,106,28,860
1787366055457478734,1580700521023902,19:34:15.456531,54060,42,9,505,61,0,8197,0,85,28,860
1787366055459569224,1580700523114161,19:34:15.458682,54060,42,17,500,61,0,2178,0,106,28,860
1787366055459605276,1580700523150219,19:34:15.459307,54060,42,18,505,61,1,10247,0,106,28,860
1787366055460641225,1580700524186251,19:34:15.459588,54060,42,19,505,61,1,8197,0,85,28,860
1787366055520701462,1580700584247412,19:34:15.520085,54060,52,8,505,61,0,480,0,5,28,860
1787366055549160878,1580700612706132,19:34:15.548772,54060,56,17,505,48,0,106,0,5,28,860
1787366055552315183,1580700615860231,19:34:15.551928,54060,57,7,505,48,0,106,0,5,28,860
1787366055555513079,1580700619058321,19:34:15.555182,54060,57,17,500,48,0,2178,0,106,28,860
1787366055556563532,1580700620108510,19:34:15.555632,54060,57,18,505,61,0,10247,0,106,28,860
1787366055556822723,1580700620367650,19:34:15.556054,54060,57,19,505,61,0,8197,0,85,28,860
1787366055558909226,1580700622454277,19:34:15.558366,54060,58,7,500,61,0,2178,0,106,28,860
1787366055559963566,1580700623509226,19:34:15.558884,54060,58,8,505,61,1,10247,0,106,28,860
1787366055559973513,1580700623518458,19:34:15.559145,54060,58,9,505,61,1,8197,0,85,28,860
1787366055623286438,1580700686831857,19:34:15.622668,54060,68,8,505,61,0,480,0,5,28,860
1787366055649711174,1580700713256782,19:34:15.648613,54060,72,7,505,48,0,106,0,5,28,860
1787366055651909153,1580700715454128,19:34:15.651367,54060,72,17,510,48,0,106,0,5,28,860
1787366055655083324,1580700718628243,19:34:15.654432,54060,73,7,500,48,0,2178,0,106,28,860
1787366055656331251,1580700719876407,19:34:15.655126,54060,73,8,505,61,0,10247,0,106,28,860
1787366055656336139,1580700719881088,19:34:15.655408,54060,73,9,505,61,0,8197,0,85,28,860
1787366055658326796,1580700721872236,19:34:15.657631,54060,73,17,500,61,0,2178,0,106,28,860
1787366055658340430,1580700721885403,19:34:15.658074,54060,73,18,505,61,1,10247,0,106,28,860
1787366055659392913,1580700722937851,19:34:15.658493,54060,73,19,505,61,1,8197,0,85,28,860
1787366055720836545,1580700784381683,19:34:15.719905,54060,83,8,505,61,0,480,0,5,28,860
1787366055749255326,1580700812800309,19:34:15.748745,54060,87,17,505,48,0,106,0,5,28,860
1787366055752588481,1580700816133419,19:34:15.751823,54060,88,7,505,48,0,106,0,5,28,860
1787366055755884915,1580700819429843,19:34:15.754960,54060,88,17,500,48,0,2178,0,106,28,860
1787366055755891362,1580700819436283,19:34:15.755520,54060,88,18,505,61,0,10247,0,106,28,860
1787366055756778235,1580700820323288,19:34:15.755936,54060,88,19,505,61,0,8197,0,85,28,860
1787366055759182079,1580700822727340,19:34:15.758641,54060,89,7,500,61,0,2178,0,106,28,860
1787366055759190106,1580700822735070,19:34:15.758949,54060,89,8,505,61,1,10247,0,106,28,860
1787366055760083958,1580700823628949,19:34:15.759208,54060,89,9,505,61,1,8197,0,85,28,860
1787366055824606262,1580700888151437,19:34:15.823953,54060,99,8,505,61,0,480,0,5,28,860
1787366055850020207,1580700913565732,19:34:15.849153,54060,103,7,505,48,0,106,0,5,28,860
1787366055853197218,1580700916742337,19:34:15.852398,54060,103,17,505,48,0,106,0,5,28,860
1787366055856638142,1580700920183394,19:34:15.855971,54060,104,7,500,48,0,2178,0,106,28,860
1787366055856643155,1580700920188102,19:34:15.856323,54060,104,8,510,61,0,9222,0,106,28,860
1787366055857533637,1580700921078687,19:34:15.856602,54060,104,9,505,61,0,9222,0,95,28,860
1787366055861162255,1580700924707588,19:34:15.859015,54060,104,17,500,61,0,2178,0,106,28,860
1787366055861202668,1580700924747691,19:34:15.859437,54060,104,18,505,61,1,10247,0,106,28,860
1787366055861207269,1580700924752240,19:34:15.859816,54060,104,19,505,61,1,8197,0,85,28,860
1787366055922077596,1580700985623551,19:34:15.921190,54060,114,8,505,61,0,480,0,5,28,860
1787366055950374047,1580701013919705,19:34:15.949397,54060,118,17,510,48,0,106,0,5,28,860
1787366055953629344,1580701017174935,19:34:15.952701,54060,119,7,505,48,0,106,0,5,28,860
1787366055956846633,1580701020392131,19:34:15.956155,54060,119,17,500,48,0,2178,0,106,28,860
1787366055956886586,1580701020431684,19:34:15.956472,54060,119,18,505,61,0,10247,0,106,28,860
1787366055957917172,1580701021462232,19:34:15.956835,54060,119,19,505,61,0,8197,0,85,28,860
1787366055960250684,1580701023795783,19:34:15.959694,54060,120,7,500,61,0,2178,0,106,28,860
1787366055960255240,1580701023800174,19:34:15.960132,54060,120,8,510,61,1,9222,0,106,28,860
1787366055961325467,1580701024871117,19:34:15.960423,54060,120,9,505,61,1,9222,0,95,28,860
1787366056024838154,1580701088383841,19:34:16.023555,54060,130,8,505,61,0,480,0,5,28,860
1787366056050780718,1580701114326532,19:34:16.049134,54060,134,7,505,48,0,106,0,5,28,860
1787366056053642812,1580701117188301,19:34:16.052723,54060,134,17,510,48,0,106,0,5,28,890
1787366056056916189,1580701120461396,19:34:16.055597,54060,135,7,500,48,0,2178,0,106,28,860
1787366056056924001,1580701120468963,19:34:16.056000,54060,135,8,505,61,0,10247,0,106,28,860
1787366056056926021,1580701120470946,19:34:16.056268,54060,135,9,505,61,0,8197,0,85,28,860
1787366056059984222,1580701123529844,19:34:16.059127,54060,135,17,500,61,0,2178,0,106,28,860
1787366056059991567,1580701123536620,19:34:16.059524,54060,135,18,505,61,0,10247,0,106,28,860
1787366056061023758,1580701124568762,19:34:16.059983,54060,135,19,505,61,1,8197,0,85,28,860
1787366056120683390,1580701184228723,19:34:16.120021,54060,145,8,505,61,0,480,0,5,28,860
1787366056164701554,1580701228247039,19:34:16.163598,54060,148,17,510,48,0,106,0,5,28,860
1787366056166863290,1580701230408917,19:34:16.166543,54060,149,7,510,48,0,106,0,5,28,890
1787366056171038294,1580701234583818,19:34:16.170765,54060,149,17,500,48,0,2178,0,106,28,860
1787366056172075027,1580701235620161,19:34:16.171147,54060,149,18,505,61,0,10247,0,106,28,860
1787366056172080776,1580701235625751,19:34:16.171538,54060,149,19,505,61,0,8197,0,85,28,860
