cell_id,telemetry_lag_steps,estimate_noise_fraction,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,selected_matched_true_safe_pct,false_admit_selected_pct,false_admit_selected_matched_pct,false_reject_frame_pct,false_reject_frame_matched_pct,matched_false_admit_count,admitted_send_count,matched_false_admit_conditional_pct,matched_false_admit_ci95_low_pct,matched_false_admit_ci95_high_pct,false_reject_count,true_feasible_frame_count,false_reject_conditional_pct,false_reject_ci95_low_pct,false_reject_ci95_high_pct,matched_false_reject_count,matched_true_feasible_frame_count,matched_false_reject_conditional_pct,matched_false_reject_ci95_low_pct,matched_false_reject_ci95_high_pct,mean_bound_m,mean_risk_sigma_m,max_risk_sigma_m,p95_true_risk_m,p95_matched_true_risk_m,mean_reward,mean_predicted_reward,mean_true_scored_reward,mean_matched_true_scored_reward,mean_matched_true_scored_reward_finite,matched_true_reward_finite_frame_count,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,shield_skip_clairvoyant_split_pct,attempts,capture_attempt_pct,delivery_pct_attempted,c1_estimate_miss_count,c1_estimate_miss_pct_attempted,c1_estimate_miss_ci95_low_pct,c1_estimate_miss_ci95_high_pct,truth_objects,observed_objects,unobserved_gt_objects,observation_coverage_pct,false_reject_recovered_pp,matched_false_reject_recovered_pp,finite_matched_reward_delta,capture_attempt_delta_pp,selected_action_changes_vs_baseline,raw_safe_set_changes_vs_baseline
lag0__noise0.00,0,0.0,shielded,1699,5.885815185403178,94.11418481459683,4.355503237198352,56.62154208357858,0.0,47.38081224249559,69.33490288404944,11.830488522660389,0.0,24.367274867569158,25.956444967628016,0,17,0.0,0.0,18.43181350088518,414,986,41.987829614604465,38.94418141858747,45.09366640117927,441,1178,37.43633276740238,34.71771170935345,40.23662774194952,8.09963397703936,4.927063923292337e-17,1.4210854715202004e-14,1000000.0,11.962682205452255,0.31852742303461906,0.31852742303461906,-6503.338246181499,0.43850935797324764,0.43850935797324764,1699,0.027032861938159812,0.006629735710503195,28.72277810476751,26.486168334314304,80,4.7086521483225425,100.0,0,0.0,0.0,4.58181295355271,3185,1439,1746,45.18053375196232,0.0,-0.13811696451367794,-0.00105490659492119,0.0,11,324
lag2__noise0.05,2,0.05,shielded,1699,5.826957033549147,94.17304296645085,4.29664508534432,56.56268393172454,0.0,47.321954090641555,69.21718658034138,11.830488522660389,0.0,24.367274867569158,25.83872866391995,0,15,0.0,0.0,20.388330103584863,414,986,41.987829614604465,38.94418141858747,45.09366640117927,439,1177,37.2982158028887,34.580960363461415,40.09811295611773,8.100750867387896,5.083893544192889e-17,1.4210854715202004e-14,1000000.0,11.98006252581542,0.31891509738487056,0.31891509738487056,-6547.483343535592,-14.276305181107368,0.4395642645681688,1698,0.02755717569250955,0.00683308525010368,28.72277810476751,26.603884638022368,80,4.7086521483225425,98.75,1,1.25,0.22099755204522745,6.746270077668664,3185,1439,1746,45.18053375196232,0.0,0.0,0.0,0.0,0,0
lag4__noise0.10,4,0.1,shielded,1699,6.003531489111242,93.99646851088875,4.473219540906415,56.56268393172454,0.0,47.086521483225425,69.04061212477927,11.88934667451442,0.0,24.308416715715126,25.779870512065923,0,15,0.0,0.0,20.388330103584863,413,984,41.97154471544715,38.92507585234698,45.080454732629306,438,1176,37.244897959183675,34.52748025467426,40.045374618567465,8.09533572462189,5.63279721734482e-17,1.4210854715202004e-14,1000000.0,12.060043481733562,0.31434093661938584,0.31434093661938584,-6576.918916139789,-43.711725850960136,0.435758048958267,1696,0.028250633293541397,0.006248059946208917,29.01706886403767,26.603884638022368,82,4.826368452030606,96.34146341463415,3,3.6585365853658534,1.2519573081569195,10.212734643608476,3185,1439,1746,45.18053375196232,0.016284899157312793,0.053317843705023904,-0.003806215609901853,0.11771630370806374,13,269
