profile_id,display_profile_id,network_regime,profile_payload_p95_bytes,estimated_chunk_count_p95,estimated_udp_ip_bytes_p95,target_offer_hz,target_feature_offer_mbps,estimated_udp_ip_offer_mbps,lower_layer_onwire_offer_status,capacity_reference_mbps,load_ratio,screening_prediction,capacity_uncertainty_relation,evidence_status,directly_measured,network_certification,profile_quality_status,candidate_tier,measurement_authorized,candidate_network_status
ae64__u4__q0__zstd3__ckptc6a2362c7c2d,ae64/u4/q0,clear,106308.1,2,106380.1,10.0,8.504648,8.510408,UNKNOWN_NOT_ESTIMATED,36.683697,0.23199428,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u8__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.7,clear,114217.75,2,114289.75,10.0,9.13742,9.14318,UNKNOWN_NOT_ESTIMATED,36.683697,0.24924369,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u6__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.5,clear,127276.85,3,127384.85,10.0,10.182148,10.190788,UNKNOWN_NOT_ESTIMATED,36.683697,0.27780155,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u6__q0.3__zstd3__ckpt10cebbeede4d,ae32/u6/q0.3,clear,129576.7,3,129684.7,10.0,10.366136,10.374776,UNKNOWN_NOT_ESTIMATED,36.683697,0.28281708,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,clear,135398.85,3,135506.85,10.0,10.831908,10.840548,UNKNOWN_NOT_ESTIMATED,36.683697,0.29551405,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u6__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.3,clear,157179.35,3,157287.35,10.0,12.574348,12.582988,UNKNOWN_NOT_ESTIMATED,36.683697,0.34301308,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae64__u8__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u8/q0.5,clear,165171.55,3,165279.55,10.0,13.213724,13.222364,UNKNOWN_NOT_ESTIMATED,36.683697,0.36044251,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u8__q0.3__zstd3__ckpt10cebbeede4d,ae32/u8/q0.3,clear,169829.65,3,169937.65,10.0,13.586372,13.595012,UNKNOWN_NOT_ESTIMATED,36.683697,0.37060092,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae32__u6__q0__zstd3__ckpt10cebbeede4d,ae32/u6/q0,clear,179634.8,3,179742.8,10.0,14.370784,14.379424,UNKNOWN_NOT_ESTIMATED,36.683697,0.39198405,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,clear,203740.85,4,203884.85,10.0,16.299268,16.310788,UNKNOWN_NOT_ESTIMATED,36.683697,0.44463316,projected_below_capacity,below_uncertainty_band,composed_projection_not_fixed_10hz_measurement,False,UNRESOLVED,REVIEW_REQUIRED,NORMAL,False,PROVISIONAL_UNRESOLVED_NO_RUN_AUTHORITY
