profile_id,display_profile_id,stratum_axis,stratum_value,evidence_level,n_frames,n_gt,n_gt_vehicle,n_gt_pedestrian,tp,fp,fn,tp_vehicle,fp_vehicle,fn_vehicle,tp_pedestrian,fp_pedestrian,fn_pedestrian,recall,precision,f1,recall_vehicle,precision_vehicle,f1_vehicle,recall_pedestrian,precision_pedestrian,f1_pedestrian,fp_per_frame,fp_vehicle_per_frame,fp_pedestrian_per_frame,xy_mae_m,xy_rmse_m,xy_mae_vehicle_m,xy_mae_pedestrian_m,payload_bytes_mean,payload_bytes_p50,payload_bytes_p95,payload_bytes_min,payload_bytes_max,miou,iou_background,iou_vehicle,iou_person,candidate_tier
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1482,1377,97,1079,1144,55,403,233,42,0.93856871,0.51836306,0.66786841,0.95149912,0.48538012,0.64283587,0.90561798,0.6336478,0.74560592,1.26214482,1.04857929,0.21356554,0.75088973,1.0026191,0.6716457,0.96305924,132291.83318057,132615.0,135154.5,126113,137523,0.80803288,0.99660269,0.91662526,0.51087069,NORMAL
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,density_bin,3-4,frame_aggregate,453,1528,940,588,1381,1156,147,859,854,81,522,302,66,0.90379581,0.54434371,0.67945879,0.91382979,0.50145943,0.64756879,0.8877551,0.63349515,0.73937677,2.55187638,1.88520971,0.66666667,0.91326622,1.23291375,0.85383033,1.01107356,131776.57836645,132170.0,135229.0,123879,138020,0.81994372,0.99463825,0.92965664,0.53553628,NORMAL
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,density_bin,5+,frame_aggregate,135,792,394,398,686,462,106,342,286,52,344,176,54,0.86616162,0.59756098,0.70721649,0.8680203,0.54458599,0.66927593,0.86432161,0.66153846,0.74945534,3.42222222,2.11851852,1.3037037,1.09237036,1.46036763,0.90165023,1.28198165,130948.36296296,131392.0,134510.3,124570,136125,0.84759833,0.99309216,0.89769871,0.65200413,NORMAL
ae128__u4__q0__zstd3__ckpt601984b96d85,ae128/u4/q0,object_presence,nonempty,frame_aggregate,1679,3899,2468,1431,3549,2995,350,2280,2284,188,1269,711,162,0.91023339,0.54232885,0.67968974,0.92382496,0.49956179,0.64846416,0.88679245,0.64090909,0.74406332,1.78379988,1.36033353,0.42346635,0.88008039,1.19310651,0.77478524,1.06926317,132044.79392496,132374.0,135140.9,123879,138020,0.82575529,0.99580383,0.91987934,0.56158271,NORMAL
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,all,ALL,frame_aggregate,2162,3899,2468,1431,3544,3043,355,2280,2308,188,1264,735,167,0.90895101,0.53802945,0.67594888,0.92382496,0.49694856,0.6462585,0.88329839,0.63231616,0.73702624,1.40749306,1.06753006,0.339963,0.87042501,1.17786419,0.76906415,1.05325946,197473.99167438,197298.0,203740.85,188383,210265,0.75584038,0.98754537,0.73362069,0.54635508,NORMAL
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,class_presence,both_classes,frame_aggregate,679,2376,1279,1097,2117,1656,259,1156,1127,123,961,529,136,0.89099327,0.56109197,0.68856725,0.90383112,0.50635129,0.64907355,0.87602552,0.64496644,0.7429455,2.43888071,1.65979381,0.77908689,0.93573097,1.25068227,0.82368989,1.07050671,197103.22974963,197151.0,203221.3,188383,210265,0.76414061,0.9800438,0.73095279,0.58142523,NORMAL
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,class_presence,pedestrian_positive,frame_aggregate,926,2710,1279,1431,2420,1828,290,1156,1130,123,1264,698,167,0.89298893,0.56967985,0.69560218,0.90383112,0.50568679,0.64852735,0.88329839,0.64424057,0.74506337,1.97408207,1.22030238,0.7537797,0.9435973,1.25762391,0.82368989,1.05325946,197156.88660907,197170.5,203035.75,188383,210265,0.77163816,0.98483248,0.72652592,0.60355607,NORMAL
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,class_presence,vehicle_positive,frame_aggregate,1432,3565,2468,1097,3241,2850,324,2280,2298,188,961,552,136,0.90911641,0.53209654,0.67129246,0.92382496,0.49803408,0.6471757,0.87602552,0.63516193,0.73639847,1.99022346,1.6047486,0.38547486,0.85844592,1.16525966,0.76906415,1.07050671,197361.65153631,197151.5,203861.45,188383,210265,0.7500982,0.98186842,0.73831139,0.5301148,NORMAL
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,density_bin,0,frame_aggregate,483,0,0,0,0,21,0,0,7,0,0,14,0,,0.0,,,0.0,,,0.0,,0.04347826,0.01449275,0.02898551,,,,,197893.79089027,198072.0,203759.9,191609,209847,0.56633854,0.99857722,0.58568284,0.11475556,NORMAL
ae128__u6__q0.3__zstd3__ckpt601984b96d85,ae128/u6/q0.3,density_bin,1-2,frame_aggregate,1091,1579,1134,445,1483,1398,96,1080,1160,54,403,238,42,0.93920203,0.51475182,0.66502242,0.95238095,0.48214286,0.64018969,0.90561798,0.62870515,0.74217311,1.28139322,1.06324473,0.21814849,0.73490792,0.98057754,0.65761338,0.9420496,197324.18790101,197079.0,203544.0,190544,209454,0.74654856,0.98792026,0.74033613,0.51138929,NORMAL
