profile_id,display_profile_id,model_family,ae_bottleneck,quantization_mode,roi_drop_fraction,entropy_coder,entropy_level,checkpoint_sha256,eval_set_sha256,n_frames,n_gt,n_gt_vehicle,n_gt_pedestrian,tp,fp,fn,tp_vehicle,fp_vehicle,fn_vehicle,tp_pedestrian,fp_pedestrian,fn_pedestrian,recall,precision,f1,recall_vehicle,precision_vehicle,f1_vehicle,recall_pedestrian,precision_pedestrian,f1_pedestrian,fp_per_frame,fp_vehicle_per_frame,fp_pedestrian_per_frame,xy_mae_m,xy_rmse_m,xy_mae_vehicle_m,xy_mae_pedestrian_m,payload_bytes_mean,payload_bytes_p50,payload_bytes_p95,payload_bytes_min,payload_bytes_max,miou,iou_background,iou_vehicle,iou_person,evidence_pool_version,quality_set_id,quality_frame_count,perception_evidence,difficult_object_evidence,stage_a_object_detail_evidence,segmentation_role,provenance_status,evidence_source_id,stage_a_exclusion_reason,stage_a_eligibility_status,gate_recall_vehicle,gate_recall_pedestrian,gate_precision_vehicle,gate_precision_pedestrian,gate_xy_mae_vehicle,gate_xy_mae_pedestrian,gate_fp_per_frame,gate_roi_incremental,absolute_quality_pass,normal_candidate,preferred_vehicle_recall_target,segmentation_used_as_veto,normal_failure_reasons,strictly_dominated_within_normal,strict_dominator_profile_ids,candidate_tier,candidate_status,service_debt_on_use,eligibility_status,exclusion_reason,object_detail_evidence,final_eligible,measurement_authorized,network_certification,small_object_status,world_location_semantics,activation_only_when_no_normal_feasible,requires_network_feasibility,counts_as_normal_service_success,requires_final_evidence_review
ae32__u4__q0.9__zstd3__ckpt10cebbeede4d,ae32/u4/q0.9,ae32,32,per_channel_uint4,0.9,zstd,3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3476,3076,423,2272,2328,196,1204,748,227,0.89151064,0.53052503,0.6651995,0.92058347,0.49391304,0.64289757,0.84136967,0.61680328,0.71179427,1.42275671,1.07678076,0.34597595,0.9463677,1.26224584,0.84297591,1.14147248,17128.5892692,16710.5,20277.35,14162,23524,0.42404755,0.89462092,0.19098975,0.18653198,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae32,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,False,True,True,True,True,True,True,False,False,True,False,recall_pedestrian,False,,DEGRADED_RESCUE,PROVISIONAL_RESCUE_DIFFICULT_REVIEW_REQUIRED,True,PROVISIONAL_RESCUE_DIFFICULT_REVIEW_REQUIRED,PENDING_RESCUE_DIFFICULT_OBJECT_AND_FINAL_ACTIVATION_REVIEW,ABSENT_HIGH_ROI_PER_OBJECT_ROWS,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,True,True,False,True
ae64__u4__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.7,ae64,64,per_channel_uint4,0.7,zstd,3,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3504,3000,395,2261,2286,207,1243,714,188,0.89869197,0.53874539,0.67365183,0.91612642,0.49725093,0.64461867,0.86862334,0.63515585,0.73376623,1.38760407,1.0573543,0.33024977,0.92556385,1.23969694,0.81378111,1.12889513,45660.84690102,45200.0,50707.5,39110,57019,0.65122737,0.96238485,0.44339593,0.54790134,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae64,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,False,,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,ABSENT_HIGH_ROI_PER_OBJECT_ROWS,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
ae32__u4__q0.5__zstd3__ckpt10cebbeede4d,ae32/u4/q0.5,ae32,32,per_channel_uint4,0.5,zstd,3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3490,3063,409,2271,2318,197,1219,745,212,0.89510131,0.5325805,0.66781477,0.92017828,0.49487906,0.64361627,0.85185185,0.6206721,0.71811487,1.41674376,1.07215541,0.34458834,0.93234522,1.23762564,0.82632325,1.12986442,50595.01017576,50363.0,53124.35,47746,57970,0.6561885,0.96382851,0.45944558,0.54529141,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae32,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,False,,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,PINNED_REPRODUCED_HORIZONTAL_RANGE_SMALL_UNRESOLVED,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
ae32__u4__q0.3__zstd3__ckpt10cebbeede4d,ae32/u4/q0.3,ae32,32,per_channel_uint4,0.3,zstd,3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3506,2982,393,2276,2273,192,1230,709,201,0.89920492,0.54038224,0.67507461,0.92220421,0.50032974,0.64871028,0.85953878,0.6343476,0.72997033,1.37927845,1.05134135,0.3279371,0.87926435,1.17898576,0.7840052,1.05553251,65612.92275671,65520.0,67666.95,62380,69901,0.71517699,0.98136955,0.6330229,0.5311385,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae32,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,False,,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,PINNED_REPRODUCED_HORIZONTAL_RANGE_SMALL_UNRESOLVED,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.5,ae64,64,per_channel_uint4,0.5,zstd,3,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3512,2974,387,2266,2259,202,1246,715,185,0.90074378,0.54147394,0.67636013,0.91815235,0.50077348,0.64807665,0.87071978,0.63539011,0.73466981,1.37557817,1.04486586,0.3307123,0.9341975,1.25118345,0.82256806,1.13720897,62805.28445883,62373.0,68073.1,55933,74406,0.70245846,0.97644785,0.57352644,0.55740109,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae64,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,False,,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,PINNED_REPRODUCED_HORIZONTAL_RANGE_SMALL_UNRESOLVED,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
ae64__u4__q0.3__zstd3__ckptc6a2362c7c2d,ae64/u4/q0.3,ae64,64,per_channel_uint4,0.3,zstd,3,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3502,2964,397,2269,2250,199,1233,714,198,0.89817902,0.54160223,0.67573565,0.91936791,0.50210224,0.64949191,0.86163522,0.63328197,0.73001776,1.37095282,1.04070305,0.33024977,0.87217121,1.16971291,0.77043918,1.05938126,77033.67391304,76831.5,81274.35,70232,86000,0.73926885,0.98412108,0.67217486,0.56151061,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae64,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,False,,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,AVAILABLE_HISTORICAL_NOT_PINNED_IN_PROPOSAL,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
ae32__u8__q0.7__zstd3__ckpt10cebbeede4d,ae32/u8/q0.7,ae32,32,per_channel_uint8,0.7,zstd,3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3493,3120,406,2276,2352,192,1217,768,214,0.89587074,0.52820203,0.66457382,0.92220421,0.49178911,0.64148816,0.85045423,0.61309824,0.71252927,1.44310823,1.08788159,0.35522664,0.9232602,1.22845127,0.82317586,1.11043518,81154.88344126,80673.0,85995.4,76857,96539,0.75865064,0.98952016,0.74527722,0.54115453,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae32,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,True,ae32__u4__q0.3__zstd3__ckpt10cebbeede4d,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,ABSENT_HIGH_ROI_PER_OBJECT_ROWS,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
ae64__u6__q0.7__zstd3__ckptc6a2362c7c2d,ae64/u6/q0.7,ae64,64,per_channel_uint6,0.7,zstd,3,c6a2362c7c2d72ff31825508ae7532c0796ec063a8556317d47d8d30fad99480,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3507,3040,392,2263,2303,205,1244,737,187,0.8994614,0.53566519,0.67145319,0.91693679,0.4956198,0.64344612,0.86932215,0.62796567,0.72919109,1.40610546,1.06521739,0.34088807,0.91449691,1.23048272,0.80250381,1.11822712,82975.50555042,82472.5,89852.75,73743,97304,0.75621347,0.98833026,0.72692699,0.55338316,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,FRAME_AGGREGATE_ONLY_NO_PER_OBJECT_MATCH_ROWS,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae64,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,False,,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,ABSENT_HIGH_ROI_PER_OBJECT_ROWS,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
ae32__u4__q0__zstd3__ckpt10cebbeede4d,ae32/u4/q0,ae32,32,per_channel_uint4,0.0,zstd,3,10cebbeede4da992e68850d8f38358e89000b62524be25b68c88517d7b58f9b2,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3510,2972,389,2280,2276,188,1230,696,201,0.90023083,0.54149954,0.67623543,0.92382496,0.50043898,0.64920273,0.85953878,0.63862928,0.73279714,1.3746531,1.05272895,0.32192414,0.88151772,1.18228267,0.78764941,1.0555175,92132.05642923,92209.5,94873.8,87689,96908,0.82155895,0.99656868,0.91518944,0.55291873,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae32,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,False,,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,PINNED_REPRODUCED_HORIZONTAL_RANGE_SMALL_UNRESOLVED,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
ae128__u4__q0.3__zstd3__ckpt601984b96d85,ae128/u4/q0.3,ae128,128,per_channel_uint4,0.3,zstd,3,601984b96d85e1d72e9521f8a796103ab630834991d0957b62990116524cd62c,f1cbf0aceab3359f4f38da933069b462ec2bf34e43bbff44b66d4057ab5f7432,2162,3899,2468,1431,3549,3014,350,2281,2288,187,1268,726,163,0.91023339,0.5407588,0.67845536,0.92423015,0.49923397,0.64828762,0.88609364,0.63590772,0.74043796,1.39407956,1.05827937,0.33580019,0.88320604,1.19612697,0.7762052,1.07568942,98740.43478261,98638.5,103735.95,88261,112390,0.68418689,0.97156067,0.53565733,0.54534266,ue_split_pool_v1,moving_ego_pps200000_merged_8loops_stride2_test_v1,2162,registered_historical_integrated_checkpoint_same_test_set,UNRESOLVED_FOR_ALL_PROFILES,SUPPLEMENTAL_HISTORICAL_NOT_PINNED_SMALL_FAR_STILL_UNRESOLVED,SECONDARY_NON_VETOING,PASS_REGISTERED_HISTORICAL_LINEAGE_NOT_ROW_EMBEDDED,per_frame_ae128,PENDING_ABSOLUTE_FLOOR_AND_DIFFICULT_OBJECT_EVIDENCE,REVIEW_REQUIRED_NO_SELECTED_QUALITY_FLOOR,True,True,True,True,True,True,True,True,True,True,True,False,,False,,NORMAL,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,False,AGGREGATE_PASS_DIFFICULT_REVIEW_REQUIRED,PENDING_DIFFICULT_OBJECT_AND_CATALOG_BUDGET_REVIEW,PINNED_REPRODUCED_HORIZONTAL_RANGE_SMALL_UNRESOLVED,False,False,UNRESOLVED,UNRESOLVED_SOURCE_GT_ABSENT_FN_BOXES_MISSING,predicted_actor_reference_location_not_mask_centroid,False,True,True,True
