display_profile_id,profile_id,range_bin,class_name,n_gt,tp,fn,recall,xy_mae_m,gt_rows_missing_bbox,precision_by_range_status,small_object_status,evidence_status
ae64/u4/q0,ae64__u4__q0__zstd3__ckptc6a2362c7c2d,mid_15_30,person,573,502,71,0.87609075,1.22094405,71,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0,ae64__u4__q0__zstd3__ckptc6a2362c7c2d,mid_15_30,vehicle,665,633,32,0.9518797,1.11167956,32,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0,ae64__u4__q0__zstd3__ckptc6a2362c7c2d,near_0_15,person,171,159,12,0.92982456,0.80616637,12,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0,ae64__u4__q0__zstd3__ckptc6a2362c7c2d,near_0_15,vehicle,852,796,56,0.9342723,0.33978606,56,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0.5,ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,far_30_to_evaluator_limit,person,687,577,110,0.83988355,1.11566628,110,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0.5,ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,far_30_to_evaluator_limit,vehicle,951,838,113,0.88117771,1.02377143,113,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0.5,ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,mid_15_30,person,573,510,63,0.89005236,1.26399701,63,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0.5,ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,mid_15_30,vehicle,665,631,34,0.94887218,1.12567874,34,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0.5,ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,near_0_15,person,171,159,12,0.92982456,0.80870726,12,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
ae64/u4/q0.5,ae64__u4__q0.5__zstd3__ckptc6a2362c7c2d,near_0_15,vehicle,852,797,55,0.93544601,0.37103574,55,NOT_DEFINED_FP_HAS_NO_GT_RANGE,UNRESOLVED_FN_BOXES_MISSING,EXACT_RETAINED_OBJECT_DETAIL_NO_INFERENCE
