scenario,controller,frames,split_pct,skip_pct,degraded_tier_pct,over_budget_pct,shield_ood_pct,selected_true_safe_pct,false_admit_selected_pct,false_reject_frame_pct,mean_bound_m,p95_true_risk_m,mean_reward,mean_prb_cost,mean_oracle_reward_gap_safe_only,oracle_action_set_mismatch_pct,attempts,capture_attempt_pct,delivery_pct_attempted,truth_objects,observed_objects,observation_coverage_pct
ALL_REAL_REPLAY,clairvoyant,1699,87.99293702177752,12.007062978222484,20.953502060035316,12.419070041200706,0.0,87.58092995879929,0.0,0.0,1.5081520723989337,2.38188720765996,0.6869751066908845,0.06514821055862435,0.0,0.0,122,7.1806945261918775,100.0,6863,1688,24.595657875564623
ALL_REAL_REPLAY,shielded,1699,77.16303708063566,22.836962919364332,36.90406121247793,39.846968805179515,0.0,70.21777516185992,22.954679223072397,4.355503237198352,1.6316229097173576,1000000.0,0.3748624078595633,0.05742287235630086,0.010908886464674404,53.207769276044736,49,2.884049440847557,100.0,6863,1688,24.595657875564623
ctrl_busylight_200k,clairvoyant,600,76.66666666666667,23.333333333333332,13.333333333333334,0.0,0.0,100.0,0.0,0.0,1.4759707102322182,1.9917771425825868,0.7983168158918051,0.07414528824716025,0.0,0.0,36,6.0,100.0,3684,647,17.56243213897937
ctrl_busylight_200k,shielded,600,78.83333333333333,21.166666666666668,40.166666666666664,42.16666666666667,0.0,76.0,22.833333333333332,10.333333333333334,1.7762681687255444,1000000.0,0.4311113365532077,0.07449725469067146,0.007035588983372882,61.16666666666667,11,1.8333333333333333,100.0,3684,647,17.56243213897937
ctrl_obeylight_200k,clairvoyant,600,98.16666666666667,1.8333333333333333,11.166666666666666,0.0,0.0,100.0,0.0,0.0,1.6226845312952316,1.9923695803926995,0.8072086556176679,0.06723826987734653,0.0,0.0,52,8.666666666666668,100.0,2677,866,32.349645125140086
ctrl_obeylight_200k,shielded,600,88.5,11.5,47.5,50.0,0.0,83.66666666666667,11.833333333333334,2.0,2.1287061005678622,13.239341193366867,0.5044175088314073,0.05824607206351594,0.0006923786857246374,54.50000000000001,22,3.6666666666666665,100.0,2677,866,32.349645125140086
oppwin_fast_test,clairvoyant,499,89.37875751503006,10.62124248496994,41.883767535070135,42.28456913827655,0.0,57.71543086172345,0.0,0.0,1.4091327176138648,2.593593334250558,0.40852790252931614,0.05181698369618982,0.0,0.0,34,6.813627254509018,100.0,502,175,34.8605577689243
oppwin_fast_test,shielded,499,61.523046092184366,38.476953907815634,20.240480961923847,24.849699398797593,0.0,47.09418837675351,36.47294589178357,0.0,0.860005535137769,1000000.0,0.15145074894314456,0.03590273362894332,0.023682536765008456,42.08416833667334,16,3.2064128256513023,100.0,502,175,34.8605577689243
