time,mono_sec,mono_nsec,ue_id,lcid,pdu_bytes
21:39:59.147905,897044,211450329,1,4,94
21:39:59.157469,897044,221014582,1,4,464
21:39:59.157952,897044,221497342,1,4,959
21:39:59.157953,897044,221498438,1,4,1079
21:39:59.158415,897044,221960031,1,4,433
21:39:59.158416,897044,221961230,1,4,1507
21:39:59.158417,897044,221962043,1,4,228
21:39:59.162454,897044,225999594,1,4,464
21:39:59.163032,897044,226577520,1,4,825
21:39:59.163033,897044,226578623,1,4,1345
21:39:59.163420,897044,226965092,1,4,167
21:39:59.163421,897044,226965878,1,4,1507
21:39:59.163421,897044,226966598,1,4,493
21:39:59.167430,897044,230975721,1,4,464
21:39:59.168239,897044,231784801,1,4,560
21:39:59.168240,897044,231785418,1,4,1507
21:39:59.168241,897044,231785925,1,4,98
21:39:59.168402,897044,231946883,1,4,1414
21:39:59.168402,897044,231947636,1,4,756
21:39:59.172500,897044,236045594,1,4,464
21:39:59.173018,897044,236563674,1,4,297
21:39:59.173019,897044,236564742,1,4,1507
21:39:59.173020,897044,236565750,1,4,363
21:39:59.173500,897044,237045207,1,4,1149
21:39:59.173501,897044,237045869,1,4,732
21:39:59.177587,897044,241132386,1,4,464
21:39:59.178115,897044,241660662,1,4,321
21:39:59.178116,897044,241661746,1,4,1507
21:39:59.178117,897044,241662429,1,4,112
21:39:59.178592,897044,242137754,1,4,1400
21:39:59.178593,897044,242138106,1,4,545
21:39:59.182569,897044,246114225,1,4,464
21:39:59.183185,897044,246730010,1,4,508
21:39:59.183185,897044,246730716,1,4,1507
21:39:59.183186,897044,246731396,1,4,153
21:39:59.183546,897044,247091824,1,4,1359
21:39:59.183547,897044,247092395,1,4,811
21:39:59.187477,897044,251022177,1,4,464
21:39:59.188099,897044,251644241,1,4,242
21:39:59.188100,897044,251644875,1,4,1507
21:39:59.188100,897044,251645618,1,4,415
21:39:59.188424,897044,251969400,1,4,1097
21:39:59.188425,897044,251969954,1,4,1073
21:39:59.192372,897044,255917175,1,4,439
21:39:59.192372,897044,255917631,1,4,23
21:39:59.192883,897044,256427820,1,4,1489
21:39:59.192884,897044,256429273,1,4,681
21:39:59.193336,897044,256881040,1,4,831
21:39:59.193336,897044,256881525,1,4,1050
21:39:59.197671,897044,261216000,1,4,462
21:39:59.198219,897044,261764405,1,4,1507
21:39:59.198221,897044,261766026,1,4,660
21:39:59.198496,897044,262041816,1,4,852
21:39:59.198497,897044,262042625,1,4,1318
21:39:59.202246,897044,265791170,1,4,194
21:39:59.202246,897044,265791655,1,4,267
21:39:59.203009,897044,266553999,1,4,1245
21:39:59.203010,897044,266555672,1,4,925
21:39:59.203210,897044,266755071,1,4,587
21:39:59.203210,897044,266755805,1,4,1507
21:39:59.203211,897044,266756100,1,4,74
21:39:59.207328,897044,270873565,1,4,464
21:39:59.207836,897044,271381154,1,4,979
21:39:59.207837,897044,271382506,1,4,1188
21:39:59.208298,897044,271843272,1,4,324
21:39:59.208299,897044,271843952,1,4,1507
21:39:59.208299,897044,271844415,1,4,336
21:39:59.212337,897044,275882742,1,4,464
21:39:59.212793,897044,276338439,1,4,717
21:39:59.212795,897044,276340168,1,4,1453
21:39:59.213241,897044,276786677,1,4,59
21:39:59.213242,897044,276787223,1,4,1507
21:39:59.213242,897044,276787759,1,4,312
21:39:59.217293,897044,280838352,1,4,464
21:39:59.217823,897044,281368204,1,4,741
21:39:59.217824,897044,281369566,1,4,1426
21:39:59.218280,897044,281825513,1,4,86
21:39:59.218281,897044,281826155,1,4,1507
21:39:59.218281,897044,281826811,1,4,574
21:39:59.222342,897044,285887438,1,4,266
21:39:59.222343,897044,285887937,1,4,196
21:39:59.222854,897044,286398815,1,4,1316
21:39:59.222854,897044,286399521,1,4,854
21:39:59.223335,897044,286880212,1,4,658
21:39:59.223336,897044,286881380,1,4,1507
21:39:59.227406,897044,290951527,1,4,464
21:39:59.227905,897044,291450350,1,4,1048
21:39:59.227907,897044,291451965,1,4,1119
21:39:59.228356,897044,291901257,1,4,393
21:39:59.228357,897044,291901930,1,4,1507
21:39:59.228357,897044,291902211,1,4,267
21:39:59.232407,897044,295952148,1,4,464
21:39:59.232947,897044,296492605,1,4,786
21:39:59.232949,897044,296493972,1,4,1384
21:39:59.233411,897044,296956809,1,4,128
21:39:59.233412,897044,296957303,1,4,1507
21:39:59.233412,897044,296957701,1,4,244
21:39:59.237706,897044,301251275,1,4,464
21:39:59.238248,897044,301793806,1,4,809
21:39:59.238249,897044,301794699,1,4,1358
21:39:59.238731,897044,302276653,1,4,154
21:39:59.238732,897044,302277255,1,4,1507
21:39:59.238732,897044,302277571,1,4,506
21:39:59.242657,897044,306202404,1,4,464
21:39:59.243157,897044,306702111,1,4,547
21:39:59.243157,897044,306702739,1,4,1507
21:39:59.243158,897044,306703257,1,4,114
21:39:59.243696,897044,307241448,1,4,1398
21:39:59.243697,897044,307241847,1,4,772
21:39:59.247719,897044,311264214,1,4,464
21:39:59.248573,897044,312118044,1,4,281
21:39:59.248574,897044,312119029,1,4,1507
21:39:59.248575,897044,312120237,1,4,376
21:39:59.248661,897044,312206100,1,4,1136
21:39:59.248661,897044,312206570,1,4,1034
21:39:59.252737,897044,316282261,1,4,464
21:39:59.253235,897044,316780615,1,4,19
21:39:59.253236,897044,316781326,1,4,1507
21:39:59.253237,897044,316782231,1,4,641
21:39:59.253721,897044,317265903,1,4,871
21:39:59.253722,897044,317267237,1,4,1010
21:39:59.257947,897044,321492740,1,4,464
21:39:59.258486,897044,322030841,1,4,43
21:39:59.258487,897044,322031974,1,4,1507
21:39:59.258488,897044,322033108,1,4,293
21:39:59.258956,897044,322501483,1,4,1219
21:39:59.258957,897044,322502419,1,4,726
21:39:59.263179,897044,326724380,1,4,464
21:39:59.264116,897044,327661640,1,4,327
21:39:59.264117,897044,327662366,1,4,1507
21:39:59.264118,897044,327663303,1,4,333
21:39:59.264138,897044,327683788,1,4,1179
21:39:59.264139,897044,327684512,1,4,991
21:39:59.268091,897044,331636428,1,4,464
21:39:59.268648,897044,332193769,1,4,62
21:39:59.268649,897044,332194496,1,4,1507
21:39:59.268650,897044,332195280,1,4,595
21:39:59.269157,897044,332702463,1,4,917
21:39:59.269158,897044,332703417,1,4,1253
21:39:59.273065,897044,336610270,1,4,259
21:39:59.273066,897044,336611104,1,4,203
21:39:59.273562,897044,337107072,1,4,1309
21:39:59.273563,897044,337107946,1,4,861
21:39:59.274073,897044,337618364,1,4,651
21:39:59.274074,897044,337619158,1,4,1230
21:39:59.278027,897044,341572533,1,4,282
21:39:59.278028,897044,341573221,1,4,180
21:39:59.278521,897044,342065960,1,4,1332
21:39:59.278521,897044,342066723,1,4,835
21:39:59.278983,897044,342528488,1,4,677
21:39:59.278984,897044,342529099,1,4,1493
21:39:59.283028,897044,346573635,1,4,19
21:39:59.283029,897044,346574154,1,4,442
21:39:59.283513,897044,347058317,1,4,1070
21:39:59.283514,897044,347058888,1,4,1100
21:39:59.283983,897044,347528817,1,4,412
21:39:59.283984,897044,347529400,1,4,1507
21:39:59.283984,897044,347529766,1,4,249
