time,eNB_ID,frame,subframe,rsrp,rssi,snr,rx_power,noise_power,w_cqi,freq_offset
20:43:18.481790,0,406,0,-2147483648,-183,-95,-90,5,-95,4
20:43:19.071824,0,453,0,-2147483648,-183,-90,-90,0,-90,4
20:43:19.094559,0,455,0,-2147483648,-183,-90,-90,0,-90,4
20:43:19.220222,0,466,0,-2147483648,-183,-93,-90,3,-93,4
20:43:19.231516,0,467,0,-2147483648,-183,-93,-90,3,-93,4
20:43:19.654045,0,504,0,-2147483648,-183,-90,-90,0,-90,4
20:43:19.654547,0,504,0,-2147483648,-183,-90,-90,0,-90,4
20:43:20.855733,0,604,0,-2147483648,-183,-93,-90,3,-93,4
20:43:20.855889,0,604,0,-2147483648,-183,-95,-90,5,-95,4
20:43:21.015957,0,618,0,-2147483648,-183,-90,-90,0,-90,4
20:43:21.027062,0,619,0,-2147483648,-183,-90,-90,0,-90,4
20:43:21.050181,0,621,0,-2147483648,-183,-95,-90,5,-95,4
