cell_id,action_id,profile_id,network_profile_id,interval,clock_domain,median_ms,p95_ms,maximum_ms,samples,missing
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,capture_to_feedback_receipt_ms,host_wall_clock_time_time_s,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,capture_to_installation_aoi_ms,host_wall_clock_time_time_s,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,cross_domain_residual_wall_aoi_minus_perf_round_trip_ms,cross_check,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,edge_ae_decode_ms,edge_container_perf_counter_ns,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,edge_frozen_tail_ms,edge_container_perf_counter_ns,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,edge_output_serialization_ms,edge_container_perf_counter_ns,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,edge_total_edge_processing_ms,edge_container_perf_counter_ns,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,edge_unpack_dequantize_ms,edge_container_perf_counter_ns,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,edge_zstd_decompression_ms,edge_container_perf_counter_ns,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,encoding_complete_to_ue_send_complete_ms,ue_process_perf_counter_ns,1.4423504999999999,3.676387,20.654452,2012,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,feedback_emission_to_feedback_receipt_ms,host_wall_clock_time_time_s,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,installation_to_feedback_emission_ms,host_wall_clock_time_time_s,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,preparation_start_to_encoding_complete_ms,ue_process_perf_counter_ns,38.243512499999994,68.570079,276.569355,2012,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,ue_send_complete_to_result_received_round_trip_ms,ue_process_perf_counter_ns,,,,0,0
a00__favorable_stable,0,split_noae_uint8_q0000,FAVORABLE_STABLE,world_tick_schedule_to_preparation_start_ms,ue_process_perf_counter_ns,553.0773000791669,819.4224825128913,1091.108719818294,2012,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,capture_to_feedback_receipt_ms,host_wall_clock_time_time_s,30875.211119651794,200554.23140525818,218509.6616744995,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,capture_to_installation_aoi_ms,host_wall_clock_time_time_s,30875.120043754578,200554.15844917297,218507.59744644165,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,cross_domain_residual_wall_aoi_minus_perf_round_trip_ms,cross_check,544.1726836427006,963.056981025511,1093.5050712795346,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,edge_ae_decode_ms,edge_container_perf_counter_ns,1.1965555,3.906762,15.396783,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,edge_frozen_tail_ms,edge_container_perf_counter_ns,179.8815255,351.915729,1040.129587,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,edge_output_serialization_ms,edge_container_perf_counter_ns,23.9241,64.814829,315.161324,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,edge_total_edge_processing_ms,edge_container_perf_counter_ns,270.006661,610.650816,1328.717544,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,edge_unpack_dequantize_ms,edge_container_perf_counter_ns,59.999324,91.591875,132.501978,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,edge_zstd_decompression_ms,edge_container_perf_counter_ns,0.0213065,0.026149,0.031114,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,encoding_complete_to_ue_send_complete_ms,ue_process_perf_counter_ns,0.051102,0.225956,5.493275,2645,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,feedback_emission_to_feedback_receipt_ms,host_wall_clock_time_time_s,0.09548664093017578,3.2978057861328125,27.29058265686035,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,installation_to_feedback_emission_ms,host_wall_clock_time_time_s,0.010132789611816406,0.0152587890625,1.3549327850341797,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,preparation_start_to_encoding_complete_ms,ue_process_perf_counter_ns,16.285688,36.937407,308.968438,2645,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,ue_send_complete_to_result_received_round_trip_ms,ue_process_perf_counter_ns,30316.733998,200042.034099,217768.497486,74,0
a71__favorable_stable,71,split_ae32_uint4_q9800,FAVORABLE_STABLE,world_tick_schedule_to_preparation_start_ms,ue_process_perf_counter_ns,563.5613584890962,903.1196422874928,1402.22039911896,2645,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,capture_to_feedback_receipt_ms,host_wall_clock_time_time_s,33721.7857837677,37749.762773513794,39675.93193054199,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,capture_to_installation_aoi_ms,host_wall_clock_time_time_s,33721.72021865845,37747.85590171814,39675.859689712524,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,cross_domain_residual_wall_aoi_minus_perf_round_trip_ms,cross_check,485.11138765002397,916.179422184814,1289.4913422926038,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,edge_ae_decode_ms,edge_container_perf_counter_ns,1.508998,5.715075,41.208555,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,edge_frozen_tail_ms,edge_container_perf_counter_ns,171.746284,370.99637,1026.505417,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,edge_output_serialization_ms,edge_container_perf_counter_ns,20.771137,127.464874,264.955886,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,edge_total_edge_processing_ms,edge_container_perf_counter_ns,370.369363,601.727054,1315.507003,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,edge_unpack_dequantize_ms,edge_container_perf_counter_ns,159.300993,244.792612,288.81902,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,edge_zstd_decompression_ms,edge_container_perf_counter_ns,0.082115,0.128347,0.947602,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,encoding_complete_to_ue_send_complete_ms,ue_process_perf_counter_ns,0.098218,0.58845,7.560685,2609,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,feedback_emission_to_feedback_receipt_ms,host_wall_clock_time_time_s,0.07462501525878906,5.573272705078125,28.537750244140625,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,installation_to_feedback_emission_ms,host_wall_clock_time_time_s,0.010967254638671875,0.0247955322265625,0.7369518280029297,109,0
a46__favorable_stable,46,split_ae64_uint6_q9000,FAVORABLE_STABLE,preparation_start_to_encoding_complete_ms,ue_process_perf_counter_ns,21.099397,41.532295,318.602424,2609,0
